gel,lane,oxygen,treatment,time,blot,hif1a,ldha
a,1,21%,None,0,816074035,14457565,10845481
a,2,21%,None,24,1193124570,90801515,25639557
a,3,21%,None,48,1755940080,278678080,38239913
a,4,21%,None,72,1840693390,792226240,42827434
a,5,0.2%,None,0,697603365,726172915,36954991
a,6,0.2%,None,24,1005379540,573825415,82321161
a,7,0.2%,None,48,1592309615,442576795,110606230
a,8,0.2%,None,72,1452016530,803437240,93484085
b,1,21%,None,0,616479822,59081001,11726876
b,2,21%,None,24,1114456077,349567332,22741044
b,3,21%,None,48,1723879584,197060805,33456292
b,4,21%,None,72,1619509437,209865864,32477658
b,5,0.2%,None,0,880884963,198434220,41076966
b,6,0.2%,None,24,1047880071,285004749,64489828
b,7,0.2%,None,48,1951466958,385288200,99122718
b,8,0.2%,None,72,1786777272,331400739,93376968
c,1,21%,None,0,719151330,21574700,24894612
c,2,21%,None,24,1299631104,52893905,43616349
c,3,21%,None,48,1389487704,70258190,56501964
c,4,21%,None,72,509041638,8696850,7276041
c,5,0.2%,None,0,723946410,84598280,50562240
c,6,0.2%,None,24,1300819644,104876500,91042629
c,7,0.2%,None,48,1535328816,84652855,101192091
c,8,0.2%,None,72,274714746,58088705,23957637
d,1,21%,None,0,388541830,62932976,42587645
d,2,21%,None,24,298639150,222411171,49257215
d,3,21%,None,48,337024280,12862222,48033330
d,4,21%,None,72,164115350,,
d,5,0.2%,None,0,238273680,367125558,76245480
d,6,0.2%,None,24,351533250,358343076,109281445
d,7,0.2%,None,48,1801666830,421992088,99905420
d,8,0.2%,None,72,85124940,,
