experiment,ion,filename,area
3,aspartate M0,M21,45111158.08
3,aspartate M0,M22,45564220.21
3,aspartate M0,M23,41772751.84
3,aspartate M1,M21,2370614.12
3,aspartate M1,M22,2398946.487
3,aspartate M1,M23,2210780.452
3,citrate M0,M21,73873078.52
3,citrate M0,M22,74650366.47
3,citrate M0,M23,77729470.78
3,citrate M1,M21,5355198.9
3,citrate M1,M22,5757132.804
3,citrate M1,M23,5707327.756
3,glutamate M0,M21,53229925.69
3,glutamate M0,M22,54229320.85
3,glutamate M0,M23,51109605.35
3,glutamate M1,M21,3533764.571
3,glutamate M1,M22,3543286.19
3,glutamate M1,M23,3409873.201
3,glutamine M0,M21,40282984.61
3,glutamine M0,M22,39670367.57
3,glutamine M0,M23,38223927.77
3,glutamine M1,M21,2776961.894
3,glutamine M1,M22,2777989.378
3,glutamine M1,M23,2646466.031
3,lactate M0,M21,202312925.1
3,lactate M0,M22,195680694.6
3,lactate M0,M23,188153802.5
3,lactate M1,M21,7657362.787
3,lactate M1,M22,6959013.231
3,lactate M1,M23,7245968.578
3,malate M0,M21,158059606.3
3,malate M0,M22,179609984
3,malate M0,M23,158718815.3
3,malate M1,M21,7884034.298
3,malate M1,M22,8690637.092
3,malate M1,M23,7853386.031
3,pyruvate M0,M21,130743733.6
3,pyruvate M0,M22,136183250
3,pyruvate M0,M23,128669356.5
3,pyruvate M1,M21,5257191.309
3,pyruvate M1,M22,5362125.203
3,pyruvate M1,M23,5126540.318
3,serine M0,M21,8253120.95
3,serine M0,M22,8324956.059
3,serine M0,M23,7989573.858
3,serine M1,M21,351286.4232
3,serine M1,M22,342338.8249
3,serine M1,M23,314690.6674
3,succinate M0,M21,22690477.23
3,succinate M0,M22,22732309.23
3,succinate M0,M23,22255282.14
3,succinate M1,M21,1128644.004
3,succinate M1,M22,1114428.724
3,succinate M1,M23,1114635.186
4,2HG M0,M31,139790909.9
4,2HG M0,M32,139738726.3
4,2HG M0,M33,139764447.4
4,2HG M1,M31,8459753.627
4,2HG M1,M32,8628746.496
4,2HG M1,M33,8459044.08
4,2OG M0,M31,48850879.4
4,2OG M0,M32,49365932.05
4,2OG M0,M33,47484708.92
4,2OG M1,M31,3047963.924
4,2OG M1,M32,3082454.546
4,2OG M1,M33,2948455.414
4,alanine M0,M31,56208432.48
4,alanine M0,M32,55771243.05
4,alanine M0,M33,56824285.68
4,alanine M1,M31,2244324.78
4,alanine M1,M32,2300249.79
4,alanine M1,M33,2113376.601
4,aspartate M0,M31,47444190.42
4,aspartate M0,M32,47873072.77
4,aspartate M0,M33,47863767.59
4,aspartate M1,M31,2464550.153
4,aspartate M1,M32,2525594.165
4,aspartate M1,M33,2584004.725
4,citrate M0,M31,86048171.64
4,citrate M0,M32,84622991.11
4,citrate M0,M33,85827809.93
4,citrate M1,M31,6143140.57
4,citrate M1,M32,6214452.179
4,citrate M1,M33,6331183.471
4,glutamate M0,M31,58726634.68
4,glutamate M0,M32,60097510.31
4,glutamate M0,M33,59347840.04
4,glutamate M1,M31,3826382.242
4,glutamate M1,M32,3855635.713
4,glutamate M1,M33,3764917.846
4,glutamine M0,M31,41996638.49
4,glutamine M0,M32,43426518.92
4,glutamine M0,M33,41531575.67
4,glutamine M1,M31,2942292.833
4,glutamine M1,M32,2995803.81
4,glutamine M1,M33,2928190.63
4,lactate M0,M31,209793817.7
4,lactate M0,M32,209801696.2
4,lactate M0,M33,215769030
4,lactate M1,M31,7785894.284
4,lactate M1,M32,7599191.514
4,lactate M1,M33,7955651.1
4,malate M0,M31,184909182.4
4,malate M0,M32,195716172.3
4,malate M0,M33,192115277.3
4,malate M1,M31,9191419.441
4,malate M1,M32,9618641.438
4,malate M1,M33,9479925.45
4,pyruvate M0,M31,147136635.9
4,pyruvate M0,M32,152567381
4,pyruvate M0,M33,157881150.8
4,pyruvate M1,M31,5684939.003
4,pyruvate M1,M32,5931824.19
4,pyruvate M1,M33,6005604.422
4,serine M0,M31,9119152.063
4,serine M0,M32,9163357.872
4,serine M0,M33,8977583.836
4,serine M1,M31,356619.4068
4,serine M1,M32,357798.6878
4,serine M1,M33,349237.2969
4,succinate M0,M31,25394116.92
4,succinate M0,M32,25622251.41
4,succinate M0,M33,24386564.96
4,succinate M1,M31,1235789.88
4,succinate M1,M32,1268898.539
4,succinate M1,M33,1198516.784
5,2HG M0,M41,150519845.9
5,2HG M0,M42,149517648
5,2HG M0,M43,150808459.1
5,2HG M1,M41,8978404.702
5,2HG M1,M42,8903655.98
5,2HG M1,M43,9087897.718
5,2OG M0,M41,53086417.9
5,2OG M0,M42,51970635.62
5,2OG M0,M43,54378997.39
5,2OG M1,M41,3238410.389
5,2OG M1,M42,3167048.672
5,2OG M1,M43,3345235.691
5,alanine M0,M41,62283891.71
5,alanine M0,M42,61695287.5
5,alanine M0,M43,65287490.52
5,alanine M1,M41,2551655.521
5,alanine M1,M42,2463715.598
5,alanine M1,M43,2668475.406
5,aspartate M0,M41,48398798.79
5,aspartate M0,M42,53194274.54
5,aspartate M0,M43,50297342.71
5,aspartate M1,M41,2535519.718
5,aspartate M1,M42,2785152.775
5,aspartate M1,M43,2597761.478
5,citrate M0,M41,95059615.37
5,citrate M0,M42,93925959.46
5,citrate M0,M43,95374105.88
5,citrate M1,M41,6844275.698
5,citrate M1,M42,6949818.435
5,citrate M1,M43,6994738.429
5,glutamate M0,M41,63804060.41
5,glutamate M0,M42,62878081.54
5,glutamate M0,M43,65004582.62
5,glutamate M1,M41,4100715.816
5,glutamate M1,M42,4034896.663
5,glutamate M1,M43,4212057.172
5,glutamine M0,M41,46337416.59
5,glutamine M0,M42,46528425.83
5,glutamine M0,M43,46012609.33
5,glutamine M1,M41,3182810.596
5,glutamine M1,M42,3174012.776
5,glutamine M1,M43,3129101.279
5,lactate M0,M41,245159260.5
5,lactate M0,M42,234635460.5
5,lactate M0,M43,244965726
5,lactate M1,M41,8900725.209
5,lactate M1,M42,8480534.489
5,lactate M1,M43,8790597.971
5,malate M0,M41,180589924.9
5,malate M0,M42,200549188.5
5,malate M0,M43,177385713.9
5,malate M1,M41,8598637.653
5,malate M1,M42,9742755.359
5,malate M1,M43,8572872.492
5,pyruvate M0,M41,162088634.7
5,pyruvate M0,M42,168110852
5,pyruvate M0,M43,165482858.5
5,pyruvate M1,M41,6176632.571
5,pyruvate M1,M42,6359935.648
5,pyruvate M1,M43,6284790.748
5,serine M0,M41,9908431.262
5,serine M0,M42,9996062.25
5,serine M0,M43,9966110.246
5,serine M1,M41,369292.3963
5,serine M1,M42,385764.9193
5,serine M1,M43,388848.8193
5,succinate M0,M41,27347060.22
5,succinate M0,M42,26804667.58
5,succinate M0,M43,27079426.28
5,succinate M1,M41,1340589.784
5,succinate M1,M42,1288559.51
5,succinate M1,M43,1299796.074
6,2HG M0,M51,160887451.1
6,2HG M0,M52,165417242.3
6,2HG M0,M53,162045113
6,2HG M1,M51,9781366.758
6,2HG M1,M52,10235572.29
6,2HG M1,M53,9786606.016
6,2OG M0,M51,56999657.66
6,2OG M0,M52,58459630.91
6,2OG M0,M53,57966717.68
6,2OG M1,M51,3523859.858
6,2OG M1,M52,3564448.544
6,2OG M1,M53,3596357.659
6,alanine M0,M51,67695590.22
6,alanine M0,M52,68977480.75
6,alanine M0,M53,68537014.77
6,alanine M1,M51,2526048.271
6,alanine M1,M52,2824232.16
6,alanine M1,M53,2763117.059
6,aspartate M0,M51,50410154.13
6,aspartate M0,M52,50477075.28
6,aspartate M0,M53,50138956.02
6,aspartate M1,M51,2648492.806
6,aspartate M1,M52,2660983.963
6,aspartate M1,M53,2616753.119
6,citrate M0,M51,107925931
6,citrate M0,M52,104172592.2
6,citrate M0,M53,104413014.8
6,citrate M1,M51,7747111.926
6,citrate M1,M52,7706259.147
6,citrate M1,M53,7537303.213
6,glutamate M0,M51,68292554.66
6,glutamate M0,M52,68706650.05
6,glutamate M0,M53,68626929.38
6,glutamate M1,M51,4391262.431
6,glutamate M1,M52,4432045.127
6,glutamate M1,M53,4362951.3
6,glutamine M0,M51,49553917.23
6,glutamine M0,M52,49149643.33
6,glutamine M0,M53,48406898.36
6,glutamine M1,M51,3370654.886
6,glutamine M1,M52,3321241.457
6,glutamine M1,M53,3338527.036
6,lactate M0,M51,267420391
6,lactate M0,M52,257329916.1
6,lactate M0,M53,254655942.3
6,lactate M1,M51,9654285.074
6,lactate M1,M52,9387909.549
6,lactate M1,M53,9108266.734
6,malate M0,M51,217066315.9
6,malate M0,M52,232103309.8
6,malate M0,M53,223896710.5
6,malate M1,M51,10661017.71
6,malate M1,M52,11109580.56
6,malate M1,M53,10773832.52
6,pyruvate M0,M51,186919052.9
6,pyruvate M0,M52,179461950.5
6,pyruvate M0,M53,178057389.7
6,pyruvate M1,M51,7133049.751
6,pyruvate M1,M52,6709603.298
6,pyruvate M1,M53,6789008.908
6,serine M0,M51,10471903.07
6,serine M0,M52,10704833.85
6,serine M0,M53,10921970.02
6,serine M1,M51,411495.8675
6,serine M1,M52,422878.5954
6,serine M1,M53,428100.0757
6,succinate M0,M51,27577236.03
6,succinate M0,M52,28721007.29
6,succinate M0,M53,29472114.52
6,succinate M1,M51,1345640.244
6,succinate M1,M52,1394568.87
6,succinate M1,M53,1433816.444
7,2HG M0,M61,173651880.9
7,2HG M0,M62,171818030.1
7,2HG M0,M63,168059631.5
7,2HG M1,M61,10604621.72
7,2HG M1,M62,10299299.12
7,2HG M1,M63,10182752.27
7,2OG M0,M61,62474777.23
7,2OG M0,M62,61731627.62
7,2OG M0,M63,58970906.49
7,2OG M1,M61,3714234.092
7,2OG M1,M62,3798629.479
7,2OG M1,M63,3529997.957
7,alanine M0,M61,74410483.9
7,alanine M0,M62,71042389.85
7,alanine M0,M63,73402389.16
7,alanine M1,M61,3027207.013
7,alanine M1,M62,2769024.737
7,alanine M1,M63,2875603.012
7,aspartate M0,M61,57333298.14
7,aspartate M0,M62,53300962.42
7,aspartate M0,M63,54245461.85
7,aspartate M1,M61,3023166.236
7,aspartate M1,M62,2733749.476
7,aspartate M1,M63,2783954.486
7,citrate M0,M61,109110337.2
7,citrate M0,M62,111366097.1
7,citrate M0,M63,110997996.5
7,citrate M1,M61,7872359.08
7,citrate M1,M62,8216602.736
7,citrate M1,M63,8164621.526
7,glutamate M0,M61,73598186.45
7,glutamate M0,M62,71280058.41
7,glutamate M0,M63,70691045.98
7,glutamate M1,M61,4563505.013
7,glutamate M1,M62,4490297.729
7,glutamate M1,M63,4608742.331
7,glutamine M0,M61,51901429.06
7,glutamine M0,M62,49518931.34
7,glutamine M0,M63,52350331.15
7,glutamine M1,M61,3585779.804
7,glutamine M1,M62,3370024.454
7,glutamine M1,M63,3574313.286
7,lactate M0,M61,281744698.4
7,lactate M0,M62,273790395.1
7,lactate M0,M63,294851144.8
7,lactate M1,M61,10226375.87
7,lactate M1,M62,9916871.928
7,lactate M1,M63,10687019.05
7,malate M0,M61,241830125.9
7,malate M0,M62,202284374
7,malate M0,M63,223674305.7
7,malate M1,M61,11622021.86
7,malate M1,M62,9987432.527
7,malate M1,M63,10846940.73
7,pyruvate M0,M61,195276266.6
7,pyruvate M0,M62,191729090.6
7,pyruvate M0,M63,197562287.7
7,pyruvate M1,M61,7434667.156
7,pyruvate M1,M62,7381173.621
7,pyruvate M1,M63,7542365.105
7,serine M0,M61,11326975.77
