plate,date,oxygen,treatment,time,gene,replicate,ct
a,2018-02-08,21%,None,72,GLUT1,b,24.353096
a,2018-02-12,21%,None,72,GLUT1,a,25.735052
a,2018-02-12,21%,None,72,GLUT1,b,25.777422
a,2018-01-30,0.2%,None,0,GLUT1,a,23.940844
a,2018-01-30,0.2%,None,0,GLUT1,b,24.014772
a,2018-02-04,0.2%,None,0,GLUT1,a,23.810593
a,2018-02-04,0.2%,None,0,GLUT1,b,23.840822
a,2018-02-08,0.2%,None,0,GLUT1,a,24.533443
a,2018-02-08,0.2%,None,0,GLUT1,b,24.545546
a,2018-02-12,0.2%,None,0,GLUT1,a,23.82528
a,2018-02-12,0.2%,None,0,GLUT1,b,23.836569
a,2018-01-30,0.2%,None,24,GLUT1,a,24.181887
a,2018-01-30,0.2%,None,24,GLUT1,b,24.16553
a,2018-02-04,0.2%,None,24,GLUT1,a,24.105001
a,2018-02-04,0.2%,None,24,GLUT1,b,24.092295
a,2018-02-08,0.2%,None,24,GLUT1,a,24.629223
a,2018-02-08,0.2%,None,24,GLUT1,b,24.6763
a,2018-02-12,0.2%,None,24,GLUT1,a,23.80987
a,2018-02-12,0.2%,None,24,GLUT1,b,23.803608
a,2018-01-30,0.2%,None,48,GLUT1,a,24.084991
a,2018-01-30,0.2%,None,48,GLUT1,b,24.106417
a,2018-02-04,0.2%,None,48,GLUT1,a,24.178705
a,2018-02-04,0.2%,None,48,GLUT1,b,24.224073
a,2018-02-08,0.2%,None,48,GLUT1,a,24.170666
a,2018-02-08,0.2%,None,48,GLUT1,b,24.185886
a,2018-02-12,0.2%,None,48,GLUT1,a,24.007715
a,2018-02-12,0.2%,None,48,GLUT1,b,23.996008
a,2018-01-30,0.2%,None,72,GLUT1,a,24.454508
a,2018-01-30,0.2%,None,72,GLUT1,b,24.474604
a,2018-02-04,0.2%,None,72,GLUT1,a,24.241299
a,2018-02-04,0.2%,None,72,GLUT1,b,24.236053
a,2018-02-08,0.2%,None,72,GLUT1,a,24.181385
a,2018-02-08,0.2%,None,72,GLUT1,b,24.196814
a,2018-02-12,0.2%,None,72,GLUT1,a,24.240038
a,2018-02-12,0.2%,None,72,GLUT1,b,24.194464
a,2018-01-30,21%,None,0,SERPINE,a,20.439335
a,2018-01-30,21%,None,0,SERPINE,b,20.420517
a,2018-02-04,21%,None,0,SERPINE,a,21.311024
a,2018-02-04,21%,None,0,SERPINE,b,21.319036
a,2018-02-08,21%,None,0,SERPINE,a,21.17907
a,2018-02-08,21%,None,0,SERPINE,b,21.143837
a,2018-02-12,21%,None,0,SERPINE,a,20.247887
a,2018-02-12,21%,None,0,SERPINE,b,20.257252
a,2018-01-30,21%,None,24,SERPINE,a,21.87573
a,2018-01-30,21%,None,24,SERPINE,b,21.86251
a,2018-02-04,21%,None,24,SERPINE,a,22.134499
a,2018-02-04,21%,None,24,SERPINE,b,22.241226
a,2018-02-08,21%,None,24,SERPINE,a,22.416485
a,2018-02-08,21%,None,24,SERPINE,b,22.497568
a,2018-02-12,21%,None,24,SERPINE,a,21.229933
a,2018-02-12,21%,None,24,SERPINE,b,21.286127
a,2018-01-30,21%,None,48,SERPINE,a,22.575718
a,2018-01-30,21%,None,48,SERPINE,b,22.592886
a,2018-02-04,21%,None,48,SERPINE,a,22.827093
a,2018-02-04,21%,None,48,SERPINE,b,22.797888
a,2018-02-08,21%,None,48,SERPINE,a,23.130722
a,2018-02-08,21%,None,48,SERPINE,b,23.134218
a,2018-02-12,21%,None,48,SERPINE,a,22.152493
a,2018-02-12,21%,None,48,SERPINE,b,22.178652
a,2018-01-30,21%,None,72,SERPINE,a,21.931616
a,2018-01-30,21%,None,72,SERPINE,b,21.964588
a,2018-02-04,21%,None,72,SERPINE,a,22.118065
a,2018-02-04,21%,None,72,SERPINE,b,22.086075
a,2018-02-08,21%,None,72,SERPINE,a,21.982306
a,2018-02-08,21%,None,72,SERPINE,b,21.91216
