filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc6 21% 1 a,16258409.64,1215929.405,2170188.445,442272.1928,358733.9215,264834.8816,3607476.205,0,218280.9897,0,0,0,3075710.281,0,1389078.381,46012388.08,9758931.84,694317.9576,7634549.857,1668302.121,1276104.347,1538245.125,0,9675584.285,738305.9582,1236846.16,790804.2655,441592511.7,33754596.99,78133753.51,97169301.95,15367157.78,107553031.7,12062701.82,110742850.2,25502170.95,20889881.92,21460382.36,3364532.538,924486.1426,0,0,485886.3056,0,3000959.993,52438788.95,3858268.946,746228.2126,76356.92392,10147386.12,1179744305,91330497.03,269798507.9,65390873.34,58358168.41,31850467.24,455178995.8,26313672.25,1797484.019,0,0,0,774118977.6,26631028.46,5034974.557,178111771.5,140245728.8,8150214.559,18417870.84,22193505.35,2825566.315,1099534365,186879650,16519950.88,0,0,0,0,0,0,877289.1015,0,6311815.015,8534766.866,59153930.48,1829073.674,1235797.036,44728486.54,536861.8234,0,248988.1363,0,0,0,0,0,29978258.4,815712.255,0,440059.3195,12673434.41,558792.2042,779862.5664,74064.91434,0
2,glc6 21% 1 b,15152059.99,937929.4075,2092698.749,453583.107,381566.6559,199175.0043,3445225.412,0,176650.6165,0,0,0,3712905.963,0,1594176.914,57681307.18,10027943.32,703448.3625,8874398.634,1759788.345,1333663.737,1534049.207,33396.94521,9856119.597,733764.47,1241326.652,839802.4944,456524062.9,33938858.25,81151033.03,99524486.2,16055779.24,109516218.6,12794124.99,117780382,27813589.73,22295928.13,23213134.67,3162501.72,1566330.44,0,0,568984.6291,0,3547761.569,60730063.94,4553571.986,597144.0792,140975.5019,12298656.29,1291275350,97920042.47,292044624.8,70172974.93,63675964.79,33123911.96,501871738.2,28328160.87,2118141.858,0,160598.5709,0,629213964.1,21311954.22,5896820.443,198121985.9,129266902.8,8430497.846,19298857.6,21680526.73,3449863.264,4452479069,764412390.2,57427708.43,0,0,0,0,0,0,1109505.026,0,1840758.359,11680324.02,45786484.7,1409909.314,980295.5244,38190252.36,389466.6134,0,111647.7845,0,0,0,0,0,27297882.74,709366.0425,0,416033.6956,21772498.17,582114.4753,937381.48,109884.3419,64135.00435
3,glc6 21% 1 c,17603422.81,1127405.623,2571171.344,556800.0375,454685.1553,213557.8446,4199317.073,0,302771.9848,0,0,0,3655796.589,0,1553117.955,57347947.63,11331893.55,1000850.008,10416984.91,2171122.739,1835221.485,1774607.764,67135.69575,11064494.57,998511.2805,1410519.536,966901.2345,520743387.4,40289747.51,95575744.24,115318593.1,18569381,135347225.4,16614350.42,151694369.8,35394934.05,28129324,30078889.61,4155884.806,1407212.327,0,0,766342.9853,0,4057622.406,67309399.36,5525793.668,574420.7292,131709.0385,15010245.07,1539045280,119316804.9,351669528.3,84053874.52,74576372.51,41915947.71,549039052.9,30433589.83,2942498.726,0,131701.162,0,1234301086,41740344.58,13999817.3,429380317,134442319.4,7781964.961,20063308.49,23760546.55,2917515.585,3137956951,542290933.7,42225891.49,0,0,0,0,0,0,1150555.241,0,5862940.135,12555948.39,53017268.69,1751708.941,1405424.967,49815646.78,308048.3642,0,0,0,0,0,0,0,31198772.85,852881.8233,0,454157.5705,21773037.81,636901.3344,1028134.428,118926.5169,158539.2143
4,glc6 21% 2 a,67467469.76,3754703.325,9727121.447,1962495.567,2486468.564,1767820.247,8499777.601,0,187546.6192,0,0,0,3348953.967,38141.29127,2588497.046,83894700.62,7104470.608,474720.2967,10865000.52,1900047.365,1946240.226,3582849.184,159599.1714,14026108.59,642698.9247,0,1577213.695,0,0,0,0,0,91778689.81,11038217.94,150563749.1,28475906.58,29030912.2,52195314.52,6998268.664,2219574.713,0,0,1171483.527,0,6842386.531,103791392.7,8439317.368,529584.5953,1256346.131,48276537.88,2015151894,134745951,378611116.3,81433797.7,111635313.5,75670352.16,770127034.7,43559472.15,3523076.394,0,524505.1777,0,1495565634,51142649.38,32200052.6,948037672.2,208896898.7,11337282.09,29939956.62,60621037.77,7813885.358,5786862718,991404586.4,78974575.88,21896.97042,0,0,0,0,0,1289321.492,0,8074696.299,19457156.38,60867012.05,1955193.58,2828707.539,94223422.52,316018.9155,0,28772.28836,0,0,0,0,0,45301518.91,1475194.716,0,724088.6098,20436163.56,605460.5702,1278327.804,123358.5172,384481.1137
5,glc6 21% 2 b,57389076.33,3905969.674,9462270.504,1811004.549,2386110.627,1824842.93,8542312.913,89889.38581,674638.5919,0,0,0,4155084.043,71259.23819,3242705.7,101349525.1,7513175.098,511707.918,11946722,2102987.78,2158042.788,3828538.422,308740.1483,13002281.91,743216.779,1985174.388,1616709.558,503399286.9,32564469.03,83582371.98,170995743.4,26192383.9,88939457.01,11053219.65,153654763.8,29296480.8,30552044.23,53361662.31,7653961.221,2190088.126,0,0,1082707.665,31741.30524,6629246.527,103725964.2,6579575.08,660275.5172,910941.3452,42091164.76,1728257344,114935616.3,327067987,70454793.82,97233851.75,64935144.15,696801326.5,38502462.51,3601281.422,0,366941.3009,0,1265861943,44894269.09,39063521.52,1145254654,218977447.5,12356582.66,30987962.78,64371973.36,9102324.362,5257289083,907925284.8,71868332.16,0,0,0,0,0,0,1163305.444,0,4400668.456,20942469.2,58380782.63,2025887.018,3717724.245,121298424.7,395472.4938,0,25067.26129,0,0,0,0,0,36448279.59,1110898.429,31125.86258,626423.8014,22178610.16,687211.3915,1343681.649,138693.6245,455460.0481
6,glc6 21% 2 c,51622617.22,3578514.209,8008521.548,1799707.694,1917589.333,1595451.869,8185836.797,0,517627.4659,0,0,0,3786230.387,0,2374483.008,79513124.82,13101573.27,808160.1134,10391700.59,1962482.817,1852404.326,3381880.662,175568.388,13916878.32,746682.7677,1839547.169,1632220.827,529615171.5,34031744.83,86301588.68,170161362,25872581.14,224212306,19727581.93,134483001.4,26484469.11,26366192.91,43949369.18,5880508.093,1859060.371,0,0,638725.9816,0,5356813.027,85521444.26,6833613.609,890226.6757,859371.2025,37937122.72,1698777577,113443818.5,318581955.5,69210466.61,89901056.61,60569401.6,745456148.4,41853589.47,3433914.416,272076.9913,549404.6257,0,947387677,32590612.25,17501481.86,541107569.7,182419574.5,9930933.481,25019325.2,50672307.52,6518254.439,3702994667,635197365.6,52107325.9,0,0,0,0,0,0,1441032.303,0,3501436.878,17159592.45,48954631.02,1547167.442,2396636.468,73383838.28,361004.0636,0,145264.6098,0,0,0,0,0,44030844.97,1327193.599,0,683821.2696,25768799.39,784324.0282,1403916.368,193199.3404,405504.9199
7,glc6 21% 3 a,195968319,11899056.39,24231687.47,3934782.971,7322939.28,5066518.209,23663578.12,357681.3535,764245.3966,0,376412.4621,0,4201660.503,82764.0805,3599679.807,109833395.6,8659666.294,424730.723,9929402.509,1357389.16,1525570.382,4254881.625,159885.8985,14498316.06,366205.4644,1990464.799,2301896.375,490594473.2,26952754.56,54991773.43,222006207.4,16561658.58,81478615.98,9308689.514,125082223.9,20581825.7,21720569.38,56339626.19,5416474.576,4054717.13,0,33379.55125,4323588.985,249802.9861,14727727.66,219834332,10725828.87,821688.8837,4693862.536,141211398.6,2721226515,170805291.8,350273737.1,60149681.93,111631827.3,80555346.91,859856356.5,47879884.46,3940523.133,0,419635.4735,0,846227248.9,31432912.21,77469511.44,2224198147,254015650,13253687.74,27973051.54,115417470.8,7348195.693,4936323984,846655484.4,64990315.35,0,0,0,0,0,1597939.138,1331459.051,0,3575761.238,22912838.66,44381562.35,1741663.418,6516250.719,199545604.1,0,0,0,0,0,0,0,16540.45375,44292023.86,1371192.013,112069.8684,1899215.507,25573292.7,715718.9573,1324465.421,103655.3678,551781.6213
8,glc6 21% 3 b,217930715.9,13143500.94,29177683.62,4811020.758,8582195.04,6121864.101,23075175.39,593675.1748,1337727.307,57480.02439,151546.6077,99917.5161,4246266.105,0,3693192.902,114081242.4,9314223.95,610252.9911,10007943.29,1565347.088,1606447.889,4424348.832,159032.6935,14159512.45,332920.8593,1842014.948,2073663.537,456102607.7,25988193.56,53973472.98,208420135.2,16257240.59,86951515.38,157812.697,127001689.8,21632858.76,208121.2321,57306569.32,5543742.033,4088482.902,42182.90101,0,4461912.604,233911.6803,14416426.4,217828969.5,10949052.44,787124.5358,4752447.585,142985221.3,2639984699,160717128.6,357711849.9,62043766.17,119075957.5,83826849.2,729026443.1,41305227.52,3503914.811,0,462990.8679,197998.6188,1175308436,43714974.89,75517590.88,2170748244,266845402.9,13991631.15,28870067.04,121545783.5,8364182.045,3712425780,629662190.3,50939109.02,0,0,0,0,0,538640.3395,1245621.024,0,13322494.6,23410656.02,54126938.8,1871283.771,5376722.989,166571356.4,9219.613307,0,27536.83935,0,0,0,0,0,41970132.71,1251122.686,63496.95298,1655422.971,25580807.28,740701.9565,1530053.831,101100.8929,565363.2071
9,glc6 21% 3 c,236037051.2,14321924.58,29974650.49,4989775.12,9003824.645,6373151.911,27684976.64,522080.0432,1876984.768,0,267160.4072,0,4428641.857,28907.47485,3769823.056,117969952.8,9872298.898,761392.5253,11419134.29,1774310.497,1748686.984,5126268.914,191776.8312,15016340.67,393219.1905,2274200.864,2211644.009,490274493.2,27786839.64,58597609.32,231228180.6,17127787.62,101240505.1,11063302.88,150156963.7,24468418.58,26517616.09,68754539.54,6619210.524,5006067.131,30279.72506,38811.29262,5320044.979,358176.2626,17061798.92,255019781.3,12624751.34,673145.2582,5094003.02,165092552.3,2982511999,184883028,401866454.2,68394249.15,129802152.3,95723425.32,883392199.7,49910521.1,4443712.016,0,430178.205,0,619867699.9,23555111.77,69197008.65,1947905411,282635640,14558021.13,31153471.92,131514121.1,9104967.434,3170290963,544981846.5,42936720.26,0,0,0,996075.6966,0,2003969.678,1505827.955,0,16095175.3,25042795.37,34948162.98,1189634.312,5219629.067,162643512.6,0,0,87894.00372,0,0,0,0,0,43992899.91,1402971.319,112644.3616,1882820.432,27021835.57,727703.3479,1418924.159,125641.9733,567552.8537
10,glc6 0.5% 1 a,10076387.02,0,778542.9441,179971.4275,121535.4291,94561.37797,1479258.843,0,0,0,0,0,1851927.922,0,285943.6609,16380701.92,8677288.145,333457.062,3255160.113,1155981.842,326250.5268,711922.7102,0,4147605.584,90781.19031,387763.064,420819.4078,167328932.8,9537289.104,16571644.7,45446486.32,3580711.448,86800733.96,8317130.971,52744424.38,21295093.95,8108928.108,14283478.24,1174594.245,137362.5987,0,0,1449029.011,0,1707755.56,34147461.91,1531072.189,259886.5576,21800.72149,3447552.815,641791546.9,45659901.63,135623768.9,35664323.35,28788468.28,18324322.17,406382299.5,22106842.29,878489.2902,0,0,0,513940377.7,17730457.72,1133865.469,43125780.93,42043888.87,1546138.942,2147050.897,5835650.646,0,1303387777,248125611.1,19957336.39,0,0,0,0,0,0,652554.7597,0,993465.6055,3676443.425,38358710.19,1045344.676,333362.8828,17542631.85,0,0,515975.0287,0,0,0,0,0,21485666.81,518887.281,0,254167.1053,18299948.77,507067.3807,299134.3685,0,0
11,glc6 0.5% 1 b,9281751.021,596757.6816,819359.2495,183560.4997,117227.6999,66931.66066,1616706.81,0,0,0,0,0,2813221.191,0,441538.2623,22642417.51,9667033.593,590215.2647,3883140.767,1688437.119,556414.8497,1054825.847,0,4182915.152,124301.3124,434177.3693,396892.2284,152864183.3,9243867.035,17610136.18,45594224.4,4020311.476,144305514.7,13403304.43,73381921.8,30377133.08,11951904.99,20886930.65,1588779.626,221642.5784,0,0,1788394.768,0,1918665.083,34950855.35,1396916.994,192518.3587,0,3141919.121,615539488.1,46016457.96,148018587.1,39951610.52,30707432.11,20268069.13,400285272,21808815.65,1143880.662,0,0,0,381652186,13316701.71,1020577.322,42603742.33,53537845.9,2157085.518,3457804.111,8305922.322,425776.8039,657586202.7,117940273.9,11092508.44,0,0,0,0,0,0,1013115.288,0,1179115.38,5408902.536,30537990.29,913536.7759,545663.7466,21822164.96,630144.5657,0,101744.0632,0,0,0,0,8576.56993,18350873.76,472126.7379,0,287804.0613,14045197.31,349374.3783,296230.4556,0,0
12,glc6 0.5% 1 c,8633839.393,195579.5309,770552.8104,172243.4801,121411.6065,92180.3961,702982.3808,0,0,0,0,0,2346124.591,0,383009.6996,19050138.25,9454100.2,426907.5848,3856927.214,1650764.428,411441.1775,940496.7655,0,4285545.024,168574.5409,479617.9075,361493.3674,177897880.4,10862495.53,19484878.76,50191848.79,4162209.864,105303193.9,10257760.66,61761887.84,26387625.73,10219939.65,16637487.06,1263349.631,193548.8836,0,0,2185038.177,0,2253315.725,40311385.2,1571050.244,145009.6452,0,3777678.004,629249360.7,47862019.85,150191314.7,40064096.82,31021587.01,19066235.32,444255870.6,24330849.79,979016.0013,0,0,0,756699693.7,26006350.04,1519825.654,49634489.96,55601716.25,1939226.641,3235380.842,7994247.073,257152.7545,855467988.9,147118960.6,11487406.43,0,0,0,0,0,0,715984.193,0,595038.3975,4377272.851,44738665.25,1416882.115,379647.1959,18835755.11,638452.3855,0,855153.0001,0,0,0,0,0,20970369.35,505619.7671,0,282790.3102,15929071.32,422281.9928,309925.6676,0,0
13,glc6 0.5% 2 a,46446230.24,2791079.117,7289511.526,1497287.324,2232092.456,1552816.089,4262090.303,0,187476.7531,0,0,0,3994832.739,0,1527982.42,55039500.05,9019888.834,480418.006,8153759.207,2491554.044,1311773.776,3868808.323,121867.4872,7744186.859,211407.9028,1219024.927,1266513.342,279581228.1,14677979.2,31171213.47,132245072.2,10792984.68,118513954.4,11553359.97,130111917.1,41027721.9,23064571.97,63346071.93,4917509.204,599316.1149,0,0,2418432.048,44272.55404,3538391.875,57643757.3,4667243.477,221115.9032,227054.5256,16971427.08,1183894273,75404886.68,215459045.8,49187481.33,72016318,51112704.76,845466390.7,46273986.54,1698764.112,0,0,0,1035014768,35246869.77,7767932.7,236581965.6,79074598.93,3032769.144,5694119.364,25061028.39,1854519.168,190885867,28020267.04,2662727.978,0,0,0,0,0,0,1232798.475,0,2523789.816,13936166.47,43130124.06,1254770.853,1322789.348,48277652.54,617826.4784,0,130142.5911,0,0,0,0,0,38474222.37,1094586.536,0,628178.719,17462010.07,420929.8015,650522.0684,43017.83319,232722.0202
14,glc6 0.5% 2 b,29068049.93,1938086.349,4609339.314,1023417.948,1192686.016,906815.5344,3501129.445,0,161963.6716,0,0,0,4343949.69,0,1291052.47,48624766.82,9378797.211,491554.2873,7525719.213,2497452.828,1392718.023,3217936.304,105194.3405,5905157.022,144912.2317,878142.9611,865828.3147,207438245.6,11784617.76,28145785.76,92783330.22,9049934.925,98970907.47,10738385.1,122817317.4,41393922.86,23798705.83,52674665.88,4759947.994,0,0,0,1591515.791,0,1858281.087,36171684.42,2897492.928,276546.3022,129542.5299,9364171.944,807621843.8,54973398.24,178083408.2,44275409.09,56094596.96,39931340.55,595174960.3,33470089.48,1589815.805,0,0,0,466908485.6,16011281.57,3330849.103,111813454.2,56354867.36,2147273.894,5190447.654,17807767.56,1493136.991,183348797.5,31635816.51,1940025.401,0,0,0,0,0,0,1280489.058,0,2899453.944,12099204.39,28474687.89,737327.8829,822781.4618,30721165.2,22033.84154,0,86932.77977,0,0,0,0,14735.93388,24560493.5,691235.9962,0,550074.1255,14483776.36,431863.6739,650486.337,37063.93466,234257.2489
