filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 dmso 3 a,6529713.01994766,510632.039595683,880905.732252841,343462.402111565,222181.673509054,1528523.25418584,1342774.35029347,0,24732.9357939321,0,0,155715.95787667,6613769.73507908,348006.130618307,5723624.70578774,53521.4930955872,6272072.6547982,752001.65418023,4524076.64013665,609490.939932783,1990561.66484221,269910.318076679,485690.130624366,45199704.2044452,1588941.84901938,6054399.98307341,37387.5852881817,101940552.572892,9233814.25467896,33084370.1339363,4681234.06312737,25863910.0647379,83851007.7288253,11885926.8219673,69000342.2007328,9515998.98063531,31976678.0685815,4426686.28749035,9489678.12892974,190098.602984569,0,1152051.69839838,3300.7786342984,748784.228607426,98500.1033510202,6842576.59869474,303606.480185912,861875.628357646,0,0,2466837.15742468,329627.99822046,2438829.84823153,28127.8550957177,413847.924409698,60964.2530499156,4475658.16527729,209725.653291772,13696.9653913994,0,0,3294455.93171155,33804.1978645724,3944987.4043235,0,2680672136.60896,147578811.200976,11465507.5727637,4973075.07455012,52808587.4026542,1607465897.6387,951548563.726475,86949439.7603495,204595299.986329,87649401.1986776,55768484.1434638,418529555.183292,95747443.473752,4366718.22226322,25298496.5631108,593462.96611103,61299577.1782955,5308856.75457587,16787378.0892062,2388731.91677476,13559549.3012517,12431052.5999677,537436.459619654,3217632.05372369,0,102614888.783338,3487073.49779281,1216282.5764133,0,5248178.7543535,245171.641781168,170239.020178466,11106.1466119715,226726.788519749
2,glc2 dmso 3 b,8281478.68189072,682323.754394127,1364287.53172846,531714.6016819,367404.17581797,2320141.55215697,1494208.94687959,14892.2033127412,123313.560090288,46942.8111274805,4252.25141993834,447600.068663949,15815741.1987424,956399.233489056,14019299.9146823,279500.846058649,6298411.24226459,797048.547140869,5038575.36674223,698319.631948728,2205303.5949981,308190.082033431,681220.280111385,29996910.8232016,1009511.63478828,4514755.58955574,32014.9226340501,107282568.659301,10323026.9358102,36599412.460511,5303424.31155541,27740856.1881076,104050168.691853,14789156.4207488,87687685.2937602,12181747.2283909,40797655.1718279,5941064.65487713,12107667.900338,424714.901115148,6912.29693109769,1672259.5218398,3379.89449508378,1038887.20365104,179557.608278679,9621032.6342175,439106.972437527,1269827.3409787,9144.23274371195,0,3784566.77771215,484442.775547368,3610682.69986048,104567.446952827,578423.750764798,102955.279732881,5840206.63074935,251596.837973538,64759.0345910258,4821.55622390488,0,3365203.26553303,24136.1579219174,4231755.86572643,20111.0323941931,2749220922.40434,154298675.621295,12671105.465976,6498593.90146491,57924184.3170161,1719482247.2591,1081828872.9083,101219070.447864,237587729.281771,104603873.736932,66426502.7110711,475733315.791209,91055901.1479363,4200592.38143016,28390785.5610472,644564.119636299,58648717.1898785,4971596.90698387,17426854.6400303,2395809.23916859,14797580.9906828,7659071.34230589,423304.470849385,3822849.92356274,55907.508935861,92626962.7058005,3042824.01961015,1373906.78514306,0,4524508.40787114,223002.031213267,143248.736242167,14214.5696125169,240449.67390148
3,glc2 dmso 3 c,7894479.35724635,588186.213618461,1241139.75691494,503254.529398764,310985.558371181,2290020.34030245,1785856.55899994,63427.8797923952,85754.3028788471,6554.75933222018,7197.34373490303,169837.166336529,17339793.0630756,1020206.61749094,15462299.3351075,248219.06105069,6094820.69094962,755753.667426256,4619337.69643242,670674.11680016,2148732.51659648,274892.166697137,568830.192891683,28907504.3166862,911786.29933814,3944162.01276305,14511.7361054287,108519715.077793,9580869.43196759,36468736.2948888,5328722.07919295,28254725.1929665,108332420.855471,15330344.8166052,90408964.0788745,12459278.7492035,42305323.8012294,6122980.53056378,12807403.6145888,571485.082836233,3238.15293642686,1813407.93112449,7907.60804299224,1170000.03365114,218726.527080225,11110365.0221609,542969.763671776,1534762.13243694,2661.61392888596,0,4053560.8252919302,564518.719485648,3668917.91363507,117902.541369087,544342.420852844,82089.2863377513,6211133.84094062,221585.270531163,42043.8545180333,0,0,3603454.063923,66311.7398539036,4462704.56108105,8901.60441499942,2919614346.98582,162829496.361183,13365515.6742969,6178711.33012322,61189241.9553364,1832136968.19805,1104220040.07018,101024756.686059,237174907.799388,104973593.787824,67488108.7019006,489936806.102621,101850850.86009,4674334.50025816,29087895.6747456,613850.233076939,56404590.1574918,4972676.73720305,17188642.7280216,2274159.88062249,14019787.9105126,7758212.15309523,413189.656500258,3689941.6199376,48172.682060062,94197663.9204224,2871178.6210817,1160404.35339049,0,4883651.41858293,214517.891536125,155736.092331637,18065.3813107831,282693.862676686
4,glc2 bay 3 a,6812943.22298103,433733.923327287,1208417.64274313,154144.409580115,333048.596046631,1759977.34531453,1720512.89930108,7812.67834440892,123320.678316425,0,2928.04062535223,297516.424155966,23207919.8910541,1380482.5382169,20228576.0755807,348034.578257982,3950985.69764727,294146.438678466,2734520.85346359,239413.141251847,751346.764469825,182494.991877883,19376.5446599089,22814431.2369701,745078.73288574,3649011.78132218,0,80723264.6606454,4451550.23226203,26029459.537026,1959997.49186836,4244707.13707745,77388847.5594295,7986962.94625492,59390853.5352604,5255964.26759855,17502635.4698454,4110804.93801024,2372957.24917907,889899.075236837,18531.8239296555,1926703.76766787,2836.84151700103,4171526.75802021,698127.004213745,18048205.3671638,1149273.94605019,4546099.86562295,112377.81582507,0,5088777.35113697,665446.702596569,3674149.67231417,107790.272605639,472150.332224524,108030.40063141,5521237.0418484,215085.374790021,12287.0337022242,0,0,1858274.20614352,16215.3637775316,3612045.05360227,25058.732289802,2865627049.93309,160684442.952426,6980815.41415164,2194907.32865023,56661468.8192137,1805909844.30481,952830351.218098,65972206.6732146,212775317.107033,31595772.4273673,61938389.1565594,361235982.900696,90083116.8533885,4241129.00517219,33386454.8806395,624163.082049162,25732059.5086198,1267264.22880559,7266398.77390123,466011.544094598,1232658.0601021,6608091.78190401,334686.426783323,3387161.07134564,34028.3557921364,93173885.6581399,3035516.26543618,2961500.03712813,0,3651977.18000402,177102.343507117,18074.0942251599,2033.61922051349,20175.4207117976
5,glc2 bay 3 b,5559299.34597866,314766.035714196,763083.628964223,87052.3022774353,186263.4132451,1150014.67956732,1261007.44550323,0,65494.8385568415,2718.49761575613,0,220586.134908924,18426127.1319094,1022327.23986812,15939022.1552862,241077.621085528,3531002.70655299,232919.491558413,2238437.75019868,150815.868802454,631757.568859949,116897.392080522,11337.7110718089,18110561.1822873,635395.548707223,2200556.8392458,0,68626735.3288864,3976753.40080111,20869958.9978079,1477301.42528546,3231899.40206081,65104120.7917803,6458294.90532127,47583790.6820367,4125811.42603828,13526624.5333405,2999092.84401773,1758380.29405269,873398.043255693,17840.2655532059,2071274.32887564,15433.5182581097,3998639.99695728,567358.849781039,17197796.7952497,1061142.21185897,4301003.98072982,133311.451169915,7299.99987416972,3840916.50927688,670604.621403527,2811416.54188954,124649.078278369,402781.470296334,51828.8762888164,4438505.48215803,193147.084677015,28172.3511014872,0,0,1574577.37365204,32584.0768681135,3650931.56907499,16096.2043153716,2501687814.01127,139349378.282681,5951274.54653659,932038.339882824,49431235.6503812,1572962450.91898,764803338.423829,52614703.0681586,168132326.131644,23900051.513823,46967181.8577437,285936309.433133,90519324.4361744,4377094.07724402,31666840.6582979,589237.479809688,26225742.6319428,1052120.21637659,6102142.00412129,326105.24005587,932266.745674179,7132781.28842887,367202.569623229,3600773.58129352,48724.4692271946,74936215.0449764,2624782.08348094,2495962.42444886,0,3952878.64311918,161274.136499145,9730.00741936669,0,8779.61360192862
6,glc2 bay 3 c,5558584.01266876,343682.062360564,908761.599603422,108666.433770595,228296.101656961,1337760.44492336,1126706.75319667,4474.74445917227,88721.1540513027,0,0,188224.032730067,17825237.2844013,971854.870698201,15390537.5915943,248168.477267127,3647358.53817514,279338.315658802,2661545.61738693,199516.587026615,772818.615122557,76326.5970961742,20216.3150539936,20784613.2314009,520287.770404901,3030416.17830476,0,73541832.3285404,3976101.15467558,23047961.5451237,1719179.2436335,3908149.68229989,77035998.8242961,7458866.47743725,55365731.1225892,4814369.40866174,16467394.7312638,3343163.40920819,2161967.84848979,1134847.69198035,19052.6728394629,2055499.07122951,14288.3630985865,4826926.28751368,768680.234861958,20713459.1590764,1374218.00863459,5339574.23210321,133521.243104193,0,4002390.92876626,649180.297699622,2843287.167326,133746.93143075,440126.87143641,95564.674813481,4900144.90843113,182958.60104456,0,0,0,2018824.20548986,12680.6740900876,3938217.61911497,14355.7353256059,2583374557.76724,143824103.66169,6480872.80241879,1827847.82667808,52788620.6443685,1628156695.32454,842271994.521959,57656933.1520121,184963975.971803,28022878.9221589,53059118.3142674,317484520.8716,99478177.977696,4325109.10133409,28596585.8679591,516221.531223698,24438521.9591741,1065453.10755654,6700944.81219544,333413.01381266,1090636.07973502,6589512.6993949,331792.453155157,2930293.64403542,31490.5667120067,84909170.6198247,2703876.37415318,2533808.90258011,0,3231165.80440227,115702.315469886,9488.85958200224,0,17521.5917661797
7,q5 dmso 3 a,6331342.72034835,487169.317601592,181596.377114305,1007743.31776536,175364.557692177,4526401.3397622,1040233.58927964,8274.60829646583,0,37893.4267414073,0,1003419.3370664,22136855.174348,684444.112992202,0,0,9882209.69774644,1018309.43341043,1076351.36745161,643441.66442359,4696087.40957805,481944.960317112,0,33802500.9922477,1049451.51198304,0,0,92545781.2447362,8643466.10107373,13981472.0239343,4889317.98205027,61995241.6038337,139831138.426546,16447106.3116633,19019801.4450228,9449695.87078441,76321145.9766137,6645631.99462192,1128.24573407926,1022431.45270726,0,1109921.49470771,0,9567260.91214531,572632.58175402,215861.171141731,0,2084.45134680943,0,0,6482770.55609021,514548.301191008,0,11581.6941938972,6126629.38142329,342887.582622753,0,0,0,0,0,4845972.15873465,50860.9504700315,2787620.4382643,9145.57243354571,45830740.4152995,5000350.93005142,1526614.85013105,13398961.3406808,133561717.094206,4197976832.43799,483433488.721328,66304607.3387391,39666083.1457893,227280902.859111,40814830.2262895,1112541849.08443,151680145.487806,5242786.26056994,36336.9467107786,159654.965998567,64390798.9463143,4673314.10564207,6623011.5706891,2364361.20299531,30600250.2149029,13938880.4747834,493323.570014708,0,17943.5389957614,113932424.65618,3181132.04349252,0,0,4248416.56340219,198077.191797634,116719.29247734,13467.6322098319,596293.160810149
8,q5 dmso 3 b,6467199.43663074,340345.408474999,19332.6956095656,198532.231035371,78843.724211119,2917139.24090671,1144215.257713,0,6702.5653178505,0,40.1420687698337,562694.786444483,29384314.7969265,962065.560128456,0,0,7420663.33084106,435958.010876875,5618.59168779108,192050.176094589,599917.159717643,333981.124613445,0,18308389.6031903,409462.442884293,0,0,89507050.2068305,3944433.94910899,703156.449311044,2431456.84156082,7820804.02705542,119710867.979082,8548510.72364259,1530244.33975683,3390147.1376744,13840621.8031234,6041909.7413745,3041.96312900881,1944464.83270677,25008.2508131436,1211606.99861769,2277.93247831799,27828127.4650774,1878522.9659665,33030.0586176516,2126.51842136471,0,0,0,6702687.84778017,681521.002816559,6738.89312073638,0,4835133.56143055,243718.667129378,0,0,0,0,0,2429020.97514108,0,2492402.76951398,4515.86281364815,33288723.1507348,1637230.68860711,0,4118194.94674801,113895532.856978,3613667602.32497,533568622.687713,31313482.3290436,8333877.64616978,46715586.1955538,25178618.5657398,745555118.006385,101716257.382153,3572996.30746107,5941.6156616178,0,43900999.3594963,1645896.14146053,39725.7286106497,515786.875853662,1887849.71080981,8981051.63319539,311094.554964851,0,0,85580779.93848,2753463.08107064,0,0,4283983.65468661,220037.416760227,0,3441.73442190103,87834.5873805734
9,q5 dmso 3 c,4653652.26042175,405311.446259669,154663.263117835,888090.643281367,146775.67865926,3791824.92230139,788181.752810587,2529.55781331592,0,15445.3071893831,0,764049.497850095,24489086.6279803,745361.149151606,0,0,8882608.36406568,930371.903205142,1125519.96120734,504121.834683819,4268489.09531508,438558.538910538,0,29815740.4928235,812768.049395479,663.139202446051,0,90080940.3451647,9232921.17610165,14443956.200598,4621698.74006597,57555512.1302621,147095687.170151,18521763.7688026,21602351.0087048,9674299.12452848,79105577.4986421,6802091.56346904,0,754005.21167908,2731.05461553706,1301187.98898506,2204.85810632682,9955412.27565149,577210.783678854,23880.1830964893,0,0,0,0,6008074.65397802,438374.122246117,0,0,5196428.68305847,263764.457083522,0,0,0,0,0,4824267.39531775,8576.17897076768,2692658.72908031,10852.7825721226,42006996.9459208,5089415.58641283,2038449.41417672,13676650.0961402,119907728.864916,3730213869.83524,486846972.329535,70447151.7446134,41932886.924124,222610439.51439,37261812.8105846,1000297891.92572,92711080.9945042,3259270.44024393,8282.15206187157,89250.4759190079,54198350.2884276,4704578.52309255,6803229.79361669,2295805.49163851,28147187.48185,8293157.41992137,291212.040833535,0,9130.52160855148,102061875.492547,3099849.45859078,0,0,3404058.39934189,174192.371928697,91986.6657193038,3033.98014269345,416949.664186806
10,q5 bay 3 a,4712842.28177613,246259.92007481,7950.97745775459,106451.464649174,68719.6470430374,1928217.39141854,655032.615229623,2476.6079029303,0,0,0,327802.400705884,24534059.0262821,742557.893724568,0,0,5682051.06524362,361958.564981229,0,108768.92743207,415265.687681518,250494.923326973,0,17519654.4352289,369963.60841647,0,0,82341805.7768679,3447542.3013112,715709.896717297,2011232.54848461,6987820.26727796,110745934.34411,7706203.62782679,1200298.55736036,2816354.22900469,12412218.3936594,5266654.14676241,1396.08460772842,1694686.6467678,13967.675677799,959645.03870652,3475.04318894098,22471537.5666909,1407749.96481358,0,0,0,0,0,5886697.05019088,500838.778454791,0,0,4173877.67716356,264885.534722122,0,0,0,0,0,1974185.95735344,0,2777029.83558139,19200.3292907721,36569699.1755818,1434016.3008313,16103.0592124692,3858592.40008949,112198430.459916,3488696772.61347,471917354.558558,27159461.4644208,6753012.69414783,39099556.3093828,23939176.9777748,699668911.037742,91150996.2730065,3208977.24742766,0,0,34839070.9431371,1376954.7289033,32771.0667966695,403891.276962575,1353858.92692431,7984164.95528261,281869.163170876,0,1370.52368479844,80126511.3904423,2435401.80794098,0,0,4311634.0218667,155415.136337258,0,4252.94637867328,93716.5937509437
