filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 21% 1 a,50937734.35,1006479.991,92475.70583,0,0,0,4288710.178,18647.94789,0,0,0,0,6718240.643,84013.75245,5105991.054,0,13727842.83,1264363.14,4722470.877,458755.1231,555958.2318,0,0,6228054.976,286910.4414,521026.7354,0,290762688.9,22316450.03,47137887.67,3982526.865,2453451.448,112058681.4,12424042.68,49418546.42,4582718.777,6642337.085,559700.6391,0,1123006.604,42403.79522,14842859.63,495951.5816,1241890.376,0,0,1840886.091,398911.3155,958032.3073,0,1010410134,84352428.21,150489682.1,17807572.08,14390075.71,5238523.585,505507857.5,27852611.67,2629863.643,0,170000.2755,4101810.67,514879544.2,19091026.59,43044624.64,379025.0261,148167813.8,9318919.75,17456911.84,870637.6763,521438.8861,506939298.2,87487561.69,7962815.57,0,0,0,0,0,0,1044792.721,0,1718323.915,17572.02654,32992429.36,1173110.604,5741509.348,15831.09284,22714.05758,0,0,0,0,0,0,0,24795249.15,683411.4785,316467.8492,0,25784474.08,785894.5523,281266.5587,0,70199.13843
2,glc2 21% 1 b,25472014.22,229661.8146,112755.1882,0,0,0,6849364.151,0,0,0,0,0,7640785.818,175630.1674,6271121.254,0,15021286.55,1352487.306,6104114.117,564465.1068,696656.5644,32368.36221,0,6516127.757,358039.9936,618792.2662,0,315261010.6,24996873.87,54074582.79,4380047.313,2034871.787,138421544.4,16370866.51,67997438.47,6476648.071,8657052.292,590255.5625,47207.42551,1169560.902,55878.04727,17016751.08,428028.3752,1380204.766,0,0,2074768.834,335733.5156,1043567.312,0,1133562289,97445635.2,181417648.9,21435188.18,18849811.88,1420227.625,534691729.6,29171637.78,3262508.881,0,0,0,507043525.6,18656151.35,52819114.87,566053.9071,134801757.5,8908194.781,20290494.15,1178915.462,239293.6238,174970758.6,35605741.23,3331530.995,0,0,0,0,0,0,1407638.505,0,2516672.765,0,48715898.67,1656533.749,11406438.68,25106.70338,0,0,0,0,0,0,0,0,25662160.43,735636.4312,352772.4394,0,29223476.58,815200.1686,411080.5024,21087.8614,159927.0714
3,glc2 21% 1 c,36126582.63,1684411.012,174702.785,0,0,0,6157371.398,0,0,0,0,0,8629880.16,197716.5934,7027289.926,0,16749523.84,1608923.543,7269446.433,720207.5851,948477.327,0,0,7745228.876,498021.3439,740035.9277,0,369384336.3,30711669.88,66804921.16,5736178.898,2520851.562,155706165.6,18668551.51,80113025.92,7820978.603,10496853.93,797115.4339,70834.54389,1459252.513,113622.9708,20012991.4,588744.9432,1720158.857,0,0,2538772.143,445323.6845,1297019.939,0,1277446154,110831612.1,212006894.7,24887243.81,22976885.22,1887956.693,649951588.2,34964731.89,4066654.901,0,96339.07466,0,395924395.8,15078328.05,59902247.46,780371.569,160180542.9,11683725.24,24077611.55,1461198.621,474721.1918,233974562.7,31146743.05,3161357.982,0,0,0,0,0,0,1768098.848,28699.14409,3958884.383,20221.17952,43147354.04,1608622.669,11720488.57,0,14596.23591,0,0,0,0,0,0,0,27216233.16,810433.0439,360452.3255,0,25024745.93,748075.3397,462354.9937,22298.56189,77659.04942
4,glc2 21% 2 a,7816084.205,2688891.241,394121.0529,0,0,0,10338398,86084.64704,552129.4695,0,0,0,11894203.86,397510.0979,10285289.57,0,20098425.31,2371671.533,12232978.87,1348025.561,2085289.794,115037.2583,0,9483638.677,870678.6238,1235226.479,24903.50762,476947987.9,46026201.62,114623222.5,12974068.73,6097357.801,189203844.9,26245514.7,127670344,14897872.26,23096409.17,2195610.741,814735.4556,1706049.185,125812.0289,24303205.4,808232.5671,2245161.847,0,0,2436498.085,705725.1811,1648500.506,0,1340000887,129059634.3,288816247,44262143.3,41539617.66,4338849.176,1005136576,55425995.28,7322037.005,498735.7362,592655.9754,0,937850352.4,35130896.36,120377599.9,1763668.349,222665269.5,20183258.32,47222680.05,4413931.616,2282571.986,383793139.4,65123084.66,7573876.186,0,0,0,0,0,0,2273141.499,43604.77079,3533187.553,19198.14831,61497362.73,2599032.764,17665899.52,104736.3567,0,0,0,0,0,0,0,0,43996012.65,1458614.443,631570.0173,0,26869421.12,829984.2105,641360.8366,54851.73906,75596.91102
5,glc2 21% 2 b,35595697.16,2282266.42,523949.7413,0,0,0,10346313.14,103589.492,564542.7798,78087.57343,0,0,14427820.89,465743.0813,12798832.47,72369.20022,22239760.96,2970782.359,14180005.79,1743248.967,2545005.848,155829.5311,0,10608876.77,924421.1657,1413739.9,76208.56589,488182662.1,50501755.19,127390894.8,14924652.83,7499900.85,213871598,30645564.39,146259547,18841038.96,27824184.94,2795277.019,988858.8402,1868961.179,190300.1174,27516644.39,942698.24,2632683.595,0,0,2387783.236,693035.1717,1830731.824,89175.30285,1376107340,144669100.3,322380069.5,53255125.63,48048997.77,5776145.544,959289365.4,52301513.61,7409476.486,548110.1656,549887.1612,0,729515074.4,29617682.7,156585228.6,2630152.914,233097457.2,22753220.26,55798632.84,5791534.758,2739409.347,445489073,79337632.96,7347957.964,0,0,0,0,0,0,2555997.418,52242.66767,4045419.984,0,62035045.09,2657267.809,24008506.5,178802.8587,0,0,0,0,0,0,0,0,43101928.98,1490896.556,742237.4901,0,29450188.6,810902.7348,715362.817,71344.85031,93657.5725
6,glc2 21% 2 c,38981178.03,2153302.756,536980.7699,0,31464.04684,0,10092389.4,119723.5901,383729.7565,0,0,0,15269722.33,539047.1105,13255040.22,67522.10286,22791962.51,2824280.943,14367443.81,1624786.724,2424833.272,197539.3902,0,10644900.06,1012824.702,1551304.304,0,523652157.4,52043805.72,128543306.4,14609596.54,7024039.426,222145082.2,32603240.16,154605900.1,18500264.88,28223009.59,2880534.067,1024615.672,1864171.268,165457.416,28402815.98,1002171.333,2559498.411,0,0,2474909.945,471551.3283,1730090.273,0,1583360484,158212656,349919926.5,53750740.23,50528700.89,5403151.26,1101664991,61676199.37,8473648.82,0,657731.4436,0,938500910.3,35630001.54,134277012.1,2223038.129,220011132.6,20325920.24,48416330.02,4652578.973,2134418.951,412255270.6,57351442.8,7316411.281,0,0,0,0,0,0,2808190.467,68363.36174,4429247.613,14269.11861,61629692,2488591.112,18964655.65,161981.4766,33762.12258,0,0,0,0,0,0,0,46733256.29,1633143.438,711760.9111,0,25589064.05,867490.3681,746489.5852,0,86399.63062
7,glc2 21% 3 a,53692459.16,2716046.68,1152539.315,101537.0309,135717.631,0,23011421.6,770382.162,2430356.239,0,0,0,18799244.13,797715.0634,17050155.42,69367.25155,24793562.18,3120465.468,16586768.72,1777046.442,3308273.084,120372.5816,0,17264646.81,1399783.355,2181357.252,0,751626616.4,69089158.79,190762266.1,18959460.55,11334018.14,236852273.8,32899123.66,172427743.4,19787725.62,33395258.41,3010615.598,1254108.047,3958535.987,501425.5112,50940841.58,2319998.274,5129538.999,74158.3338,0,3903675.001,619892.7144,3469033.668,0,1949509860,174950751.1,395490830.9,58062187.41,63040091.5,6607067.569,1053623642,57705246.71,7318946.318,0,510163.2077,0,1320864920,53052510.97,292919968.2,5124144.064,413100032.8,35811792.81,100229315.9,10032010.49,4824566.763,651498551.9,102896524.5,9593707.889,0,0,0,0,0,0,4541447.137,174159.6597,8659110.162,48759.36486,95517335.51,4050089.595,33760924.53,309285.8013,0,0,0,0,0,0,0,0,67095413.29,2379608.094,1180522.508,0,26160425.23,940620.3739,1198018.505,174742.4664,125392.1334
8,glc2 21% 3 b,52264560.32,3029073.429,2008491.461,246058.8684,284709.6113,0,30564494.51,1565741.147,4327482.446,103037.4634,176321.9499,0,28722275.95,1319941.155,25937541.31,170611.0127,30042892.59,4027775.43,21551712.98,2697473.744,4453768.977,320718.4216,0,17836786.81,2007866.631,2680368.426,75513.16402,893492489.7,88539524.22,242236080.7,27546236,15244567.21,288600373,43646995.15,222904449.5,27754873.62,44572236.95,4354718.161,1581011.362,5288743.945,802948.7005,69760535.34,3126866.912,7448663.648,151402.8755,0,5588025.818,804629.086,5728595.42,86321.34659,2268606666,219130683.4,509711455.7,83274190.32,85299154.49,9755092.283,1177538383,65649467.08,9977501.043,1127013.814,885135.6691,0,1145012174,52214678.57,417712966.2,7992004.401,525928870,50459770.35,138150793.7,15083767.25,8386425.308,685253478.4,117384305.9,10683896.55,0,127474.0808,0,0,0,0,7424712.181,304810.2524,10823002.86,74507.63408,81917750.26,3975366.361,41611238.31,579525.8906,0,0,0,0,0,0,0,0,67411436.01,2582744.047,1541270.326,0,30398339.93,1264646.476,1871240.427,297438.9471,228627.8555
9,glc2 21% 3 c,70274715.6,2940982.993,1347350.284,137248.889,144351.6124,0,24814269.33,185811.3158,2106660.168,0,0,12149.60445,23619067.47,999515.3361,21752257.59,191438.8943,27447093.17,2949888.062,16304557.27,1734677.707,3041036.987,153829.4007,0,18784159.81,1456277.19,2276492.929,75840.57268,788698919.2,68605427.2,188433529.3,19024073.31,10616348.02,361981119.8,41710262.87,176545921.1,19896528.84,33877095.15,2958965.605,1281484.977,3809086.284,448408.4758,53357241.22,2585413.37,5221775.465,36217.5498,0,3906304.075,569097.1877,3709483.973,0,2021146840,182076673.9,411613007.8,61982176.81,65099546.4,6693448.035,1151280189,62843235.32,8705475.913,541631.5078,594533.8469,0,746698927.6,33841882.35,261117625.1,4647858.285,418347891.6,35166327.11,99937342.8,8649992.699,5143468.52,447118655.2,81974283.58,7360696.195,0,0,0,0,0,0,4702678.048,133330.7209,6916891.112,44691.60964,70484258.44,3410541.111,40189215.69,489474.9526,143800.0096,0,35106.57544,0,0,0,0,0,97156969.51,3456850.119,1411727.218,0,30540372.54,1056966.591,1429609.729,177904.0781,181379.9007
10,glc2 21% 4 a,68780713.63,3519237.755,4237271.929,544133.0655,544439.2158,57737.60357,41335189.07,2633530.142,7068040.486,132276.1224,110613.9232,0,33442777.12,1609962.976,31426304.34,427447.9027,35388738.82,4580018.98,25339260.93,2959541.488,5060746.018,361579.547,64952.61611,28424706.02,2301108.683,4040491.295,154378.1205,1098989353,103679337.4,285942096.9,31570264.99,16379726.07,312641029.6,47546155.98,241063997,29526999.34,48288993.49,4870452.605,1857472.864,5726996.737,794795.443,65105789.46,3136545.593,8077684.521,112833.6844,0,11137534.61,1086874.743,11956604.97,0,3020455947,280324766.2,643180381.8,98757888.39,105284366.4,11235701.61,1382098188,74960051.62,15397575.7,1077354.123,1459228.396,0,1776635396,94052253.62,839587896,17998460.11,685967116.1,64249688.96,177339746.6,18097686.1,9576636.364,682739307.4,118388794.7,10392692.7,0,493539.5617,0,232421.4749,0,0,7494941.644,344271.1867,10460808.69,142486.0431,95974384.49,5558920.391,57096942.95,1069903.579,0,0,0,0,0,0,0,0,91218309.95,4459666.329,3992626.976,0,35554370.63,1485158.459,2321693.743,338432.593,292877.2897
