filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,7037061.433,683897.8321,9962484.925,680980.3735,109705661.5,8670519.08,117733370.2,2621917.336,7963000.793,583091.5733,3166764.397,70538.73626,51648000.5,4757324.395,1024244.174,0,38881.31621,0,100662185.7,11061058.07,22640350.15,2390705.343,4172912.354,284463.5944,5583771.421,339386.7813,268112.9203,28557.06641,17205243.99,1769854.376,6774112.491,405538.4823,343154.0913,1872479.012,200037.6302,477986.81,55694.63272,88818.80651,48420.80769,348907.7944,46770.48895,53640.8835,9439.420878,137137.6985,685184.9931,70441.09888,210562.4613,0,29189.54761,9838.901026,17893110.48,1722725.42,6797387.653,439888.6768,345793.8076,1303966.546,212515.5369,1543119.889,138806.2054,287298.7637,24985.47419,25559.57914
2,glc2 21% 3 b,7738972.192,750918.1224,11511151.43,426754.0557,139992642,11120851.5,156570320.4,3546458.224,7074443.339,490287.0383,2701772.671,83874.97477,47276804.15,4464151.736,942532.938,0,36637.62069,0,97562511.5,10542267.74,21910336.16,2494511.311,4149580.557,293861.9027,4576885.635,291169.9692,232985.2989,4406.707812,17043864.06,1719424.446,6921845.646,421589.2083,353089.7752,1885159.197,215631.5398,512063.65,62741.15281,116140.5857,21400.6679,318384.6388,43921.19636,46601.65985,7751.171553,0,685405.5026,72156.17126,167682.1419,0,42510.0087,0,18136616.41,1698161.722,7149837.352,482235.3851,355773.2576,1866402.873,299228.3646,2268541.439,206296.3579,471396.3997,26183.55317,23276.74291
3,glc2 21% 3 c,7483088.456,769884.5112,10968747.18,208436.3183,142744911.4,11133219.06,151083863.8,3391266.884,8079581.895,577109.7046,3060622.624,81561.22719,56869700.6,5301460.59,1175114.128,0,20203.45181,0,113851645.8,12214571.02,24789656.5,2775978.186,4480852.352,268003.0976,5493907.833,332645.4813,273775.159,0,19402628.79,1898620.978,7440380.458,408300.5452,372938.5778,2150791.755,234802.4508,595809.6947,68366.79942,142842.2643,68533.45978,432481.2888,42361.68942,55877.83036,9170.471384,0,711743.6201,73109.76433,167207.876,0,46510.38046,0,19100157.98,1884314.262,7486323.285,491827.1542,393681.8083,1952358.155,322662.5336,2427214.585,211401.9675,487811.5885,28561.93932,14023.71494
4,q5 21% 3 a,13701925.86,721494.4374,155915.5146,209297.2675,254207239.5,12115578.99,3203171.851,1638916.219,9625895.192,516179.5946,95509.37117,94742.69991,611274.5916,67187.92596,8519.984309,507183.2471,4161976.902,137298023.3,27297741.22,4827109.15,4953324.634,23325484.74,6902307.737,211459006,5486348.486,316780.9494,54404.194,10384.14951,12276334.27,1426665.065,2655749.687,4863930.812,17151716.48,699020.748,131807.5536,156259.7537,534595.5353,165609.705,4485019.69,213630.0819,23259.3442,60562.72195,20123.48636,529258.3162,179517.9822,27973.76478,38183.09559,173616.4346,56382.58441,1706839.328,12841391.28,1378234.023,2906973.694,5533210.063,18773190.36,1712879.793,248809.6507,378609.0533,600385.4899,2090399.122,636013.4705,27869.53526
5,q5 21% 3 b,21536541.99,1146270.327,250404.7501,358883.0449,380161511,18203599.48,4980684.051,2417237.906,10414105.35,615410.1082,64242.60756,58211.04444,720631.491,79895.83091,21465.14013,642883.3842,4755806.452,156369385.9,35109235.85,6369400.146,6476929.37,29956797.38,8916748.294,261370277.8,5690136.297,323748.0633,81039.43412,0,15747381.56,1769227.227,3417239.181,5990686.28,21030826.38,979628.1786,160054.3345,164516.5464,688580.3159,224684.7532,5780734.219,203107.3461,37996.22689,91501.91835,26896.43511,806770.0963,225608.3247,37406.61948,47886.99892,205857.7202,64404.47904,1937494.761,15205453.88,1646285.351,3397758.836,6465202.891,21422933.77,3194374.833,484842.2653,679982.6144,1075296.013,3717357.893,1144726.771,50714.00457
6,q5 21% 3 c,14437779.7,735716.5334,150272.577,168901.6267,293191788.4,14144724.93,2972086.496,1720947.498,8906264.205,476517.3907,97986.42695,52695.04505,626274.299,60265.49988,27147.75052,545470.8348,4070942.974,135408938.6,24365074.26,4247510.128,4281317.973,21049844.52,6172783.891,185338249.8,5312459.525,291606.9884,81068.09518,2572.433216,11140161.02,1272756.268,2695509.288,4151961.902,15637695.33,639309.8984,116550.5221,106633.633,468809.0911,326142.1498,3956620.881,183050.2381,25204.06057,62822.47704,18457.28371,524622.0906,149521.4483,27966.30608,31874.78275,146252.9008,49657.89965,1464827.02,11242556.33,1286074.611,2681476.775,4806620.028,17243282.2,1643896.428,238599.0286,356102.5921,554643.9993,1994261.407,568643.1545,23519.80363
7,glc2 0.5% 3 a,3490185.501,271659.0985,4193952.628,120608.2595,86134807.44,5772557.899,72707874.79,1391420.391,4109833.998,247901.7636,1111115.894,28783.23819,42044416.63,3775074.804,668928.655,0,0,0,40287500.99,4492307.208,13573006.98,1372065.084,3255832.991,192685.851,5330230.897,283705.9411,261755.5125,0,6742053.481,635282.7315,3362512.595,162061.6176,150360.4091,909763.6271,106648.4059,296127.0054,29329.00965,86945.22565,49447.77349,212862.5666,24913.03683,53428.24816,5436.677616,0,292582.6297,31136.35674,104046.7018,0,28796.50307,0,6464927.088,571069.0479,2827055.891,142713.3597,133749.3173,1211576.278,166117.877,1427178.368,124071.7843,341753.2703,21111.25888,23868.94524
8,glc2 0.5% 3 b,4838236.367,397606.442,5758258.661,127380.0326,88184226.48,5862493.004,77095017.01,1334013.414,3903769.972,250511.1382,1026657.983,0,42150858.3,3936592.51,790749.7625,0,0,0,42261705.31,4860151.837,15420615.28,1738931.876,3760609.08,244434.7611,5282700.253,285870.8143,243028.2333,9020.768745,6764903.228,636262.0702,3408264.706,109210.2613,171006.5457,953997.27,108366.3828,382879.7356,38490.52277,98179.09738,44333.84225,318100.1676,25710.20988,62529.81468,4948.742705,50066.43995,370259.5345,41069.35341,139479.7337,0,21308.49347,3906.948409,6812680.251,630226.2026,3056658.083,164614.0242,165626.7427,1543002.014,224447.7352,1822652.329,140416.034,471017.3859,25808.12412,41226.1987
9,glc2 0.5% 3 c,4090060.579,331522.5161,5144303.878,146147.6035,92789304.8,6081603.075,71983563.86,1290411.062,4133331.384,271401.3394,1123779.698,0,44892296.79,4232289.238,791479.9906,0,34631.87221,0,41330002.07,4711777.157,15642533.73,1626111.486,3770621.63,248010.9447,5297006.436,281067.4559,286206.228,4278.084714,7054199.488,696268.0002,3599059.981,162621.3994,187342.5479,896174.2088,99771.53345,308147.6348,30081.72452,58388.97004,42770.12496,224400.1228,35956.49939,70880.29032,7973.126468,0,319236.4691,35887.89692,117383.6795,0,29261.5613,6017.223671,6788660.616,628573.9509,3112543.892,174740.511,200883.1351,1254647.646,179375.9129,1440695.958,130823.5827,373237.7353,23847.79075,29989.94506
10,q5 0.5% 3 a,6608935.503,352908.5276,64155.10102,342923.6311,140453621.2,6742819.157,1964939.753,34654.77271,4722449.293,323691.3502,51066.134,0,549502.0157,36562.6508,0,239597.7946,3150289.392,104728876.7,21005645.65,2513978.956,1894143.73,7605702.265,2378125.547,69551802.39,5605840.47,260863.7381,59910.99615,7426.167714,6936282.452,551601.9416,588633.7092,1030855.827,3002460.054,563199.3822,56450.69434,50555.62734,161051.6415,267739.4014,1488447.08,142864.3148,17704.80261,29244.86759,3042.907577,289293.2178,179071.615,18511.77936,9619.986765,73746.30652,16457.13948,658511.051,6848558.044,523255.8335,554393.0759,1014043.164,2929709.477,1730577.559,175882.63,119625.9906,290363.2836,593221.286,451851.2239,2130.187492
11,q5 0.5% 3 b,5938052.886,304034.8428,49082.90837,200807.0201,147745869.4,7076279.746,1949342.176,45015.09125,4887045.251,263705.3706,84485.34156,0,549508.2484,23775.25207,12849.17974,231166.2094,3186064.627,104864470.4,21718397.95,2598844.388,2051873.63,8301470.44,2211499.464,66878027.02,5335864.837,262806.8078,71475.27392,10002.51857,6911142.931,577277.2939,633972.1997,921784.2995,3074764.413,608871.6626,75682.7467,41325.24467,180924.1085,36761.59767,1343440.072,202095.1751,17854.67792,35490.39465,10322.51184,222807.6002,195289.5708,21586.95272,18938.04298,82120.67042,20614.48963,686949.7694,7022836.835,550877.5206,618327.9997,985127.5813,3179413.965,1841121.409,214461.6233,143630.081,315778.4135,686276.4324,468493.9534,3214.260684
12,q5 0.5% 3 c,5055832.421,289007.2206,49017.36511,88438.41767,116592328.8,5456427.083,1762426.545,54126.27094,4680757.412,310634.2185,83955.53315,0,534675.604,25010.433,0,235617.9957,3043319.009,101812046.3,22431376.28,2897649.038,2222403.632,9018910.722,2319409.87,70241302.34,5657400.306,277469.9219,62534.04251,10985.5918,7310194.196,604738.1339,705777.6344,1004802.654,3346776.885,488833.3542,66232.06845,43831.27652,170915.1056,270464.4645,1385477.373,183955.985,22737.71525,34705.83586,8150.398333,328704.0437,164708.5865,21093.42038,17577.54325,81041.20774,19908.3264,623488.6921,6586651.22,532804.167,625658.9606,964506.7115,3191227.287,1554890.573,171235.8999,121000.0797,260161.3766,627183.4966,442414.589,486.6864515
