filename,id,2HG_M0,2HG_M1,2HG_M2,2HG_M3,2HG_M4,2HG_M5,2OG_M0,2OG_M1,2OG_M2,2OG_M3,2OG_M4,2OG_M5,alanine_M0,alanine_M1,alanine_M2,alanine_M3,aspartate_M0,aspartate_M1,aspartate_M2,aspartate_M3,aspartate_M4,citrate_M0,citrate_M1,citrate_M2,citrate_M3,citrate_M4,citrate_M5,citrate_M6,glutamate_M0,glutamate_M1,glutamate_M2,glutamate_M3,glutamate_M4,glutamate_M5,glutamine_M0,glutamine_M1,glutamine_M2,glutamine_M3,glutamine_M4,glutamine_M5,lactate_M0,lactate_M1,lactate_M2,lactate_M3,malate_M0,malate_M1,malate_M2,malate_M3,malate_M4,pyruvate_M0,pyruvate_M1,pyruvate_M2,pyruvate_M3,serine_M0,serine_M1,serine_M2,serine_M3,succinate_M0,succinate_M1,succinate_M2,succinate_M3,succinate_M4
1,glc2 21% 1 a,2064631.163,133633.1982,26202.54919,0,681.1850383,5133.959502,1875825.087,123946.6808,140539.6921,5347.549027,10527.50125,13074.41878,190448.9203,2676.474644,0,0,21940932.36,1314682,2009503.77,89994.41203,34110.00553,52690869.15,4831889.978,9144708.19,601532.1704,787949.4815,16060.47766,164.8526372,77731984.83,5618731.233,5953864.829,378567.3818,449549.915,3325.943412,127033811,8163779.09,148017.4926,0,0,799.8285343,397069308.7,15755174.83,23322245.88,471017.3632,39419749.61,2324499.992,3384978.136,156405.7756,67206.09495,10112556.06,518477.0221,2333751.913,17968.07556,3192986.736,160067.0609,113781.5131,0,994676.296,48654.4475,15024.25711,0,782603.5212
2,glc2 21% 1 b,2091406.583,160010.8938,28242.7333,0,0,4309.70562,2162891.081,154641.8077,161604.5793,8266.449388,11972.86432,0,161707.7813,79108.76099,233657.0716,2044.024008,25938123.34,1568472.521,2308830.481,93341.75873,46441.07294,51785939.04,4777241.271,9594419.21,630138.3077,838325.4152,15834.68025,310.0227155,97588568.99,7050865.542,7824690.791,480459.0918,546491.5853,9306.39823,189760420.1,12254283.58,200911.4202,0,0,1523.743544,998595191.2,38385109.07,26127457.48,235687.4946,37838703.62,2269082.084,3457451.176,152913.0651,67688.14488,23169666.35,1027601.766,2732329.214,14052.38242,6357134.757,274409.6023,132367.2124,0,1224344.917,50527.92503,12679.0554,0,2284827.696
3,glc2 21% 1 c,1858110.31,131601.6304,19128.08436,0,0,7048.068768,1464494.11,98755.50516,101304.0083,3249.08808,6438.806305,5438.978713,298477.5802,2306.607795,0,481.8363001,18779428.94,1127408.471,1655087.326,66907.18652,30485.2962,40829893.47,3718850.526,5910606.446,374584.1316,480235.1192,525.101257,398.3290726,71401105.52,5198337.532,5383241.907,344003.5518,357998.5918,5691.9167,148775554.5,9520965.716,188198.5127,0,0,1862.994433,187365796.6,7479509.73,18227199.38,333606.2749,31528877.93,1819202.937,2563819.499,101978.0667,38712.09341,8182978.452,433223.0509,1822474.859,14243.40213,3059963.385,170765.7895,100953.533,0,878008.7098,21275.27481,11801.46097,0,2617889.127
4,glc6 21% 1 a,1668016.13,102187.3884,32356.45252,1089.304896,1201.446494,5305.302148,1127685.779,74639.85569,156049.4354,22162.42469,22244.23386,27597.13878,1751.413443,0,0,0,14550384.33,906863.6046,1152815.27,2053068.199,164489.0951,40526299.99,3642785.733,9809264.379,2329795.401,1081938.117,1741132.979,105370.8373,51245949.7,3749876.124,7319401.241,1108832.461,1005821.535,526568.7976,91207407.37,5859510.009,105856.7426,0,0,888.0388349,170695035.5,6476339.914,1043878.43,33041001.67,26852523.08,1586098.847,1848889.749,3201399.247,275246.7626,4153812.525,211148.4852,2996.289722,3141379.808,2650918.034,160190.9975,10315.31268,191513.5144,589466.1395,15118.05191,26764.47023,0,1700845.435
5,glc6 21% 1 b,2308622.689,176650.0441,55019.06561,5992.462508,1153.257746,12528.57158,2022999.212,148509.1839,273975.5544,40849.0709,35573.53825,35945.61996,170514.1501,1097.321794,13354.33329,369.693962,27509647,1711942.792,2063158.47,3821233.856,293828.9303,46822898.71,4330917.278,14740713.57,3734647.335,1528400.919,2466484.856,148422.1904,100933429.2,7495950.063,14204383.25,2287743.728,1758481.575,936159.2785,217612595,14126661.44,267872.1639,0,0,559.705136,712092059,26745456.15,2103474.166,64615669.42,38591731.55,2321822.606,2711986.15,4787117.324,403648.8783,14194361.31,655361.405,92659.85841,6706954.008,5946800.329,223370.5644,18357.16206,344759.2278,1261569.641,88787.20509,64948.95821,3602.389095,0
6,glc6 21% 1 c,2468330.995,157460.059,52709.50372,7620.308666,1542.941591,6026.633366,2120319.657,153935.989,274387.2257,47339.3505,33830.77417,36176.05158,101963.6424,3762.920976,14890.87161,824.2207945,25449845.7,1564034.364,1976696.902,3711755.687,265263.5574,63895262.54,5734670.334,15507014.82,4015886.206,1574707.885,2647286.248,142100.6319,122038264.7,8782782.314,14701253.39,2364554.068,1860564.762,986000.7952,193201209.6,12721597.23,217582.2271,0,0,0,488185588.8,18642167.19,2102849.317,63290709.21,44357235.82,2619680.733,2696755.023,4870067.654,388167.786,10896962.85,505981.1551,140505.5188,7650159.646,3648098.252,146061.1387,24320.93164,332094.4741,1332679.119,57768.00294,70123.87731,0,744368.6749
7,q5 21% 1 a,1752341.275,131223.0879,5425.052048,64356.67326,18325.40191,616174.9294,623837.8304,55037.32382,38121.83677,329319.3612,99388.12762,3342947.555,185230.7658,1311.739134,0,1429.543725,23435909.02,1654481.604,2391178.068,2444684.954,18486782.65,51497260.16,4797907.258,3004213.755,4089424.411,21375717.78,6113599.854,130251.1247,31410600.98,3439492.017,2731622.729,18077269.62,5641474.914,178236842.9,1424253.401,9734.912131,0,46938.7455,9511517.118,329423148.4,456956229.3,17642018.47,102990.2804,285006.7589,29361931.79,2043367.224,2856669.202,2840456.97,23351283.14,13094725.42,579696.3536,0,21791.39147,5309370.567,177578.495,0,0,626945.5865,16576.00587,54146.28239,2531.962448,1839610.595
8,q5 21% 1 b,2018368.526,163883.531,7241.931245,68831.29312,18230.92802,616152.0096,689308.2211,67468.93251,47946.96172,363377.0847,107662.8415,3610749.769,155645.2326,647.6066492,0,417.8375801,20834445.01,1454189.297,2100653.072,2173500.995,16163081.93,47116070.76,4372567.752,2625588.23,3734252.604,19399016.69,5562297.242,118894.7354,28948331.55,3061598.777,2592038.388,16422339.74,4990786.211,158129546.5,1008943.655,4220.733797,0,64792.59447,11388339.71,399450814.1,421759774,15957306.85,91287.98143,487801.7505,28932074.13,2050723.602,3060546.149,3007254.944,24333118.47,15649659.06,662681.7216,0,38191.39906,4235054.894,141054.8943,0,0,793173.3738,28629.48366,52131.86522,3855.72662,983705.656
9,q5 21% 1 c,1870594.967,107368.8302,3555.562155,52285.3324,12069.25485,475602.8171,576641.7969,51563.25811,33816.27668,272929.0531,85830.13704,2728140.989,152990.6707,1494.025133,0,364.8667601,19192014.23,1366319.256,1939183.001,1970513.282,14700534.22,44922078,4115876.509,2225305.679,3177047.365,16631933.92,4723941.374,86534.82324,25363951.61,2850702.916,2259627.95,14641106.62,4305448.098,141229999.6,906948.4104,227.5740088,0,71880.07993,10860407.15,375264837.9,356276850.8,13316297.8,77648.07048,260274.3176,30177821.46,1997858.753,2613587.896,2531137.738,20844787.86,15395943.56,682298.4712,0,24384.25619,4429110.352,157431.7395,0,0,639387.0903,30419.3302,74059.01691,5127.640625,2512932.463
10,lac3 21% 1 a,1910366.109,123757.5279,41464.64493,4935.51942,1089.396941,7190.451256,1608870.332,113456.2869,193897.7097,29454.58589,18172.2344,20149.70421,144129.3072,4357.188171,0,0,20731976.32,1246939.883,1360767.405,1948208.45,141372.855,47159694.11,4249182.266,12574917.41,2893025.129,1389670.141,1503989.886,67380.68051,92275933.92,6712632.461,11795699.07,1608936.478,1110625.263,530108.0347,164592913.1,10666979.21,219450.1458,0,0,14086.896,404098485.5,15235253.32,5660893.807,289514351.6,32639398.55,1924638.955,1935581.795,2702703.329,202585.1263,9457562.792,421705.0475,3237.761044,4741344.201,3640359.008,149166.7655,0,11955.79302,1004147.788,34900.75366,49537.59394,0,3276932.649
