filename,id,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G1P M0,G1P M1,G1P M2,G1P M3,G1P M4,G1P M5,G1P M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7
1,glc2 21% 1 a,1102092.94,0,873192.4877,0,9647067.901,665593.8963,2828940.563,0,0,0,0,42967657.8,3603148.263,10250404.74,349203.411,519459.5583,0,0,813545.8988,0,952270.9589,0,571416.9843,0,4915543.554,83625.24668,533046.3352,0,0,0,0,0,0,0,0,0,2592903.429,0,330390.019,0,0,0,513581.611,0,0,0,0,643583.1094,0,809524.8511,0,332134191.1,59168961.08,5833672.804,0,0,0,0,0,0,194934.8644,0,143019.6318,0,0,288275.6277,48831.73833,156181.4719,0,0,0,0,0,0,0,0,0,0
2,glc2 21% 1 b,1506029.338,0,1167001.755,0,11697022.72,913747.3067,3649083.075,139603.107,133177.0567,0,0,61758228.94,5173474.094,16384716.3,643804.4636,1040202.501,0,0,1274232.793,0,1318754.141,0,928180.3572,0,5276147.801,0,743616.1057,0,0,0,0,128790.1604,0,0,0,0,652223.312,59914.2427,579048.5693,0,0,0,0,0,0,0,0,795549.047,0,465455.9273,0,585065726.7,98448881.68,8382475.254,0,0,0,0,0,0,344735.8582,0,157101.8143,0,0,434249.2266,0,256696.4854,0,0,0,0,0,0,0,0,0,0
3,glc2 21% 1 c,1426045.825,0,1095496.073,0,12416879.78,1073262.515,3583208.19,0,183077.7557,0,0,53680020.74,4434477.13,13918860.92,376631.4467,683077.4729,0,0,1044911.243,0,1605379.409,0,998745.4096,0,5090480.157,59416.54709,786352.2415,0,0,0,0,105228.3367,0,0,0,0,2929012.331,0,660275.6534,0,0,0,413728.3983,0,0,0,0,637089.1597,0,637663.3842,0,218621807,37461662.52,3701160.678,0,0,0,0,0,0,326700.8664,0,170524.8554,0,0,498344.9464,0,233383.2882,0,0,0,0,0,0,0,0,0,0
4,glc6 21% 1 a,120941.7486,0,0,4038749.763,10909235.83,855949.9276,7459094.522,1543912.671,498210.4034,1168977.577,0,50215817.96,4425465.892,28240557.73,5765089.689,2445699.89,3867658.705,44356.11932,0,0,0,2528300.215,112040.1954,0,0,260344.0997,0,250508.361,8534735.137,175707.2283,0,0,0,0,0,140874.5147,2790933.708,0,0,2122777.149,0,0,0,0,0,0,746181.407,410404.1435,0,225061.5783,456604.8484,363408687,62488231.96,5903229.107,0,0,0,0,0,0,0,0,0,845100.3487,0,0,0,0,0,1653487.345,0,0,0,0,0,0,0,0
5,glc6 21% 1 b,113135.2358,0,0,3677625.66,9932270.63,705325.5592,7214023.715,1288255.326,640904.2282,1065934.882,0,52901999.83,4764080.947,29518585.95,6125382.698,2687805.309,4213535.466,62380.16112,0,0,0,1521843.902,96671.95226,0,0,294043.0653,0,192704.2539,8259372.123,0,0,0,0,0,0,126580.4826,2590663.627,0,0,2183560.153,107586.4137,0,0,0,0,0,699550.7636,500840.4406,0,266049.7227,0,114374367.5,20799091.26,2420744.86,0,0,0,0,0,0,0,0,0,754102.0501,0,0,0,0,0,1523451.433,0,0,0,0,0,0,0,0
6,glc6 21% 1 c,176285.0293,0,0,3514727.767,10155745.02,918719.7315,6454793.179,1299514.716,452064.9151,934740.0165,0,56391166.32,4623835.083,27329324.48,5838818.924,2098314.294,3773835.223,100981.5218,33468.18704,0,0,1721512.097,90607.06511,0,0,338998.601,0,255898.2819,8665198.338,0,0,0,0,0,0,126341.4467,2838534.551,0,0,2019743.083,0,0,0,0,0,0,710835.6392,509328.2755,0,0,0,192876001.2,34671665.67,3054283.242,0,0,0,0,0,0,0,0,0,699833.043,0,0,0,0,0,1467899.243,0,0,0,0,0,0,0,0
7,q5 21% 1 a,3709611.122,0,0,0,11472185.04,725372.5543,574015.6277,981343.6141,4215811.883,1706475.121,0,50422560.79,4306090.213,2992274.648,3787590.246,16414223,6012836.454,0,990125.5578,0,0,0,9036318.254,236769.3772,0,0,0,0,0,568285.6947,0,0,0,0,0,0,4239766.401,0,0,0,928338.2603,0,0,0,0,0,0,1144093.929,0,143513.6554,0,142763476.9,25721869.91,2953134.591,0,0,0,0,0,0,957895.8663,0,0,0,1173567.414,0,0,0,0,0,0,0,0,0,0,0,0,0
8,q5 21% 1 b,4273087.982,0,0,0,12194363.71,885494.0182,592883.0191,1215456.642,5010130.26,2017485.097,0,85205773.84,4866768.769,3385189.961,4310580.112,20070126.3,6652711.034,0,3132055.311,0,0,0,9878850.554,378081.3282,0,0,0,0,0,735436.3545,0,0,0,0,0,0,4786114.78,0,0,0,1059953.458,0,0,0,0,0,0,1147152.956,0,0,0,402991411.6,66717818.25,6076604.896,0,0,0,0,0,0,994117.31,0,0,0,1668702.869,0,0,0,0,0,0,0,0,0,0,0,0,0
9,q5 21% 1 c,3179994.135,0,0,0,9485058.358,587697.0372,562026.8257,940384.1064,3779359.773,1528882.076,0,48806053.57,3844600.257,2648357.389,3885065.938,16061052.88,5924623.598,0,2617769.383,0,0,0,8294895.784,163674.4629,0,0,0,0,0,551010.5001,0,0,0,0,0,0,3910220.358,0,0,0,886431.3646,0,0,0,0,0,0,894688.5855,0,0,0,398132121.6,66819571.24,6476494.409,0,0,0,0,0,0,804182.3152,0,0,0,1519458.896,0,0,0,0,0,0,0,0,0,0,0,0,0
10,lac3 21% 1 a,4188618.276,0,0,185368.2023,13485437.16,992199.6172,5987303.144,1149885.723,498407.5475,537368.2929,0,99625392.48,5746495.878,30150132.4,5396377.08,2451378.743,2479569.127,0,1050307.038,0,0,0,10812932.92,397964.6722,0,176832.9012,0,0,0,479784.0591,0,0,0,0,0,0,5275319.643,0,0,0,1238309.601,0,0,0,0,0,0,1438937.338,0,295082.3947,2303267.038,113581268.9,20594884.13,1853327.094,0,0,0,0,0,0,965267.0464,0,0,0,1112205.019,0,0,0,0,0,0,0,0,0,0,0,0,0
