filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
17,glc6 0.5% 3 b,7583186.491,554261.9062,1342112.683,333440.8722,619658.0678,482423.3068,2583540.645,180912.2556,418202.5162,98425.37143,213309.3738,187565.6955,3590950.932,43197.06009,21045.50026,826711.0342,34872930.24,1927002.016,3987438.058,28771079.22,1546013.438,15702203.03,1933530.818,27895263.39,9994000.685,5597288.69,24434252.93,1310170.864,123440734.8,8919364.449,22217586.39,5186220.941,10023152.82,8356503.192,132800936.3,8477959.541,364185.4694,3511.203598,59026.38252,47331.32869,2215390100,82482166.86,28757637.72,912352195,13553913.35,779311.2129,1461395.049,10315029.98,571126.4773,48972007.62,2085812.393,2415005.853,77462420.25,17759396.44,633512.9578,14925.40575,516374.1818,1536808.546,107637.4392,176693.551,21456.11364,52834.64844
18,glc6 0.5% 3 c,9569243.932,721385.6163,1844165.807,483325.8764,803147.4311,622839.1953,3144603.489,218863.221,582532.3391,140316.4732,272387.6275,231258.4135,3611089.568,7290.184957,24653.2538,834025.8968,0,0,0,0,0,17285723.87,2133785.374,30070859.84,11041912.09,6246962.225,24783775.44,1479459.422,184162904.3,13466962.6,36540005.29,8630581.778,16566933.05,13159606.25,220976455,14527061.19,701018.2788,37059.59777,86556.49182,79339.73275,1275334009,47851532.28,25591891.72,828302757.4,14222946.78,816473.5721,1523707.277,9630537.073,639242.6453,41514480.25,1850779.034,3234539.346,102691935.6,23203255.72,814116.1993,14367.32559,617041.4402,2035949.463,117850.369,229576.2397,31527.02652,51368.55866
19,glc6 dmso 1 a,2290177.303,201367.8426,368930.7556,76784.04693,61079.20896,49534.5616,2223894.972,192934.7637,549844.4194,123700.4473,117913.5999,72509.17728,2018401.545,0,5834.310922,300445.8119,85087372.98,7193831.701,16889403.59,22044191.54,3440172.282,22688985.51,3092825.663,27285348.98,7475950.251,5710076.963,6494764.203,893469.0083,293211692.7,27123941.02,75828976.73,17968979.97,16061342.67,8605744.118,150381071.8,9952647.519,670930.8823,76846.05733,29190.41639,24714.76616,1637979311,61800541.2,14930137.17,473368945.3,27573706.17,2119152.935,4511913.254,5550308.02,902015.6675,65623742.04,2867699.853,2025004.205,65663377.13,15838097.06,550303.6024,8935.401685,371053.1117,1808869.469,137060.7861,273248.4362,46385.25999,0
20,glc6 dmso 1 b,2313843.49,206396.2605,398268.7847,94763.7361,65471.9632,54961.32752,2473753.35,214559.0781,617850.9134,152319.0829,142927.4516,86615.84437,1737966.184,0,8614.509521,291271.2816,91321530.09,7876973.169,18884697.93,24063549.63,3947559.436,20295249.54,2917588.081,27718194.64,7650539.169,5920941.331,6578968.25,950564.6608,261540472.4,24268625.27,70518333.16,16816327.86,14973466.39,8512014.691,134075811,8662663.178,699024.7611,56593.83367,65412.29784,19990.01191,1134771656,42309326.16,13213544.76,430300651.4,24078908.36,1969440.681,4424254.243,5422175.169,884262.5714,53109669.54,2292796.509,1744262.497,58902558.2,13038575.8,443749.8055,9975.701018,308613.6335,2060699.048,162775.4954,338168.063,66511.68259,0
21,glc6 dmso 1 c,1914798.249,162812.1628,360522.1628,83360.3489,61975.43487,56725.41986,2370922.475,208918.3853,610690.652,149119.2199,146640.5957,88125.34641,2602764.539,0,11869.45026,454301.0019,85258081.05,7404054.038,17740851.99,22617843.79,3688547.194,19643767.52,2969011.092,30115232.69,8112361.492,6460361.811,7146813.886,1013897.508,248624902.4,23408504.2,67464857.96,16248803.7,14268480.69,8109441.514,150672849.7,9824915.959,759533.4896,73003.67744,63711.03689,43618.24686,1478038823,54941057.28,20285487.62,651079709.1,22422158.4,1907955.073,4597900.185,5530518.658,939117.12,56886031.99,2377372.995,1869273.509,60889727.91,12353006.05,425725.0727,5080.911856,318718.0975,2279116.474,199883.4803,392602.7518,77426.61058,0
22,glc6 dmso 2 a,4350028.463,403864.0437,987111.7465,261971.1296,313094.8983,234527.3063,3096361.241,245062.9918,778004.2432,185562.9674,259455.9796,200669.9297,5935808.481,0,54483.28432,1514221.174,0,0,0,0,0,15665467,2537078.356,39380160.39,8938836.992,10186960.61,16462044.1,2780377.221,373439307.4,31562912.55,99988137.58,23451468.53,31895215.79,22131303.81,237735303.3,15416774.41,1395521.119,191623.823,278138.6409,188521.338,877815542.9,32523477.83,45999357.54,1459751963,0,0,6488357.646,0,0,15341243.66,1793560.099,1439968.054,102847355,21953919.21,813249.7459,47470.3972,618266.4148,2779650.739,196071.0335,566209.6957,133192.5355,143510.1301
23,glc6 dmso 2 b,5430300.653,474041.9237,1263607.945,316331.425,394057.4179,299117.4927,3479904.996,271391.0873,897375.9609,217686.1984,302592.8299,216003.9532,4690669.01,1082.85146,36571.61843,1188692.393,0,0,0,0,0,18672096.96,2977072.906,45241049.81,10695733.04,11998617.13,18855204.16,3248632.912,392240463,32793840.72,107838411.3,25644632.33,33812532.82,23676029.8,223513064.4,14567270.18,1337039.317,153133.6694,290233.2808,155682.6557,1758836195,65699927.25,47554703.82,1509049823,33425136.7,2506326.548,7130246.238,12456349.81,2416335.619,39536961.81,1861841.403,2952142.441,93851418.71,24987946.67,945763.455,64533.01177,656871.0675,2659306.558,211674.9603,554150.1186,122097.9844,134044.3975
24,glc6 dmso 2 c,4750903.441,389292.4764,1141148.924,296998.6338,345213.393,240837.1337,3019430.021,234425.9506,770244.7567,186737.8421,246406.2497,186600.1063,2443894.4,4846.527987,31357.45164,1108913.364,108146335.1,8597530.344,25374174.94,44683439.78,8514401.201,19845683.01,3082678.654,46528005,11278720.74,11951991,18680816.59,3149003.838,344755095.9,28887405.73,93364675.29,22633666.41,29500544.87,19325749.73,194793313.7,12443999.55,1145154.562,153085.8174,213172.7469,154339.3665,1887224781,70616363.86,45207136.09,1425189635,29963956.08,2258066.894,6297720.372,10952446.81,2067616.893,0,1844274.37,2607803.226,81282257.25,20292846.6,707177.3188,38403.22857,499275.4471,3518704.965,259116.5592,640455.7596,147335.8402,140259.2766
25,glc6 dmso 3 a,22333826.58,1592819.837,3738850.637,768986.2824,1349432.354,1065284.367,8171538.621,583448.9668,1347301.535,281451.2824,496144.3552,410461.5256,6532729.667,100610.8273,175602.3259,5024174.405,119107286.5,7905979.298,19272215.67,68652722.58,7423211.893,16131800.97,2353841.626,41051097.4,8082313.126,9297431.701,23541294.29,2890646.104,551361432.7,40807919.53,97084695.64,18899614.26,34342726.47,25829302.88,287421609.2,18813581.18,1498154.096,108409.7882,259782.9564,272843.7981,1699632117,64266238.29,115373454,3645898510,58489318.89,3761383.469,9070139.72,32527155.51,3351182.528,32202206.92,1448768.168,4711790.798,143429377.4,30431579.99,1149054.264,175121.313,1394940.548,3533912.362,222598.1549,540961.9531,94464.50837,186164.372
26,glc6 dmso 3 b,30066315.73,2152148.815,5395350.51,1068205.673,1997013.647,1532145.002,11711418.72,849088.503,1948070.807,395452.3774,776080.9448,608512.7387,5124727.283,52270.86789,166001.2958,4340428.982,117451664.8,7683632.536,18258832.88,72741090.97,6868892.683,19664581.33,2933949.278,50110972.36,9480069.982,10810478.91,30218530.87,3230624.661,759583719,55937422.69,136728377.6,25489917.15,48159091.7,38135569.61,339786096.2,21833579.97,1934467.842,230403.6967,414316.836,291872.5627,1146412710,45573882.21,156020989.2,4812762995,70604043.64,4633977.231,10958493.4,44039853.66,3863838.414,44234792.17,2092511.779,10564425.14,319657961.4,26987908.1,1059869.206,170943.5512,1670479.593,4113401.773,249651.7349,633525.1582,120030.5162,242418.5077
