filename,id,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G1P M0,G1P M1,G1P M2,G1P M3,G1P M4,G1P M5,G1P M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7
1,glc2 21% 1 a,89251.10437,0,0,0,12134639.79,846978.305,3214877.765,103532.678,88916.56154,0,0,8731251.553,462575.4075,801272.4744,0,0,0,0,244349.4226,0,0,0,68744.36981,0,1629970.666,0,0,0,0,0,0,0,0,0,0,0,2840342.277,0,231283.9495,0,117644.0873,0,391077.39,0,0,0,0,800816.8493,0,666477.3701,0,566651843.4,96422950.02,8611981.983,0,0,0,0,0,0,377043.7735,0,274430.9303,26461.8972,0,185666.1114,0,49897.69918,0,0,0,0,0,0,0,0,0,0
2,glc2 21% 1 b,1132386.842,0,356886.123,0,12467656.89,891721.6811,3342364.072,98014.17892,113507.43,0,0,8891121.351,176145.8152,990845.7425,0,0,0,0,1036718.912,0,0,0,111433.5236,0,2079263.091,0,27592.54213,824922.9876,0,0,0,103101.4249,0,0,0,0,2907388.822,0,559944.0556,0,0,0,417931.349,0,0,0,0,865493.8835,0,1733302.776,0,176881986,30601890.35,2958537.057,0,0,0,0,0,0,448046.4414,0,417895.8511,0,0,474375.2801,0,260323.9278,0,0,0,0,0,0,0,0,0,0
3,glc2 21% 1 c,704284.771,0,909223.2067,0,13712756.03,1050437.736,3467063.171,88919.08131,148604.1509,0,0,7841253.822,152744.1626,1349667.742,0,0,0,0,1152146.611,0,0,0,206654.1717,0,2422590.212,0,31021.98658,0,0,0,0,72372.28826,0,0,0,0,3179926.861,0,590038.2971,0,124994.2869,0,185861.4956,0,0,0,0,1110459.201,0,2107569.105,0,67531706.98,10476278.67,1148423.912,0,0,0,0,0,0,594645.4245,0,611376.7256,0,0,480587.478,0,228435.2679,0,0,0,0,0,0,0,0,0,0
4,glc6 21% 1 a,73212.70305,0,0,1052564.681,10891016.08,817972.7761,5414180.824,1237415.004,361779.2823,808219.0216,19957.32253,5823210.509,105155.3049,1542429.193,186324.1809,52357.05715,77967.16532,0,151044.3736,0,0,2042868.236,13132.3799,0,0,0,0,826151.6728,3378392.313,0,0,0,0,0,0,197459.0178,2368571.834,0,0,1579803.58,0,0,0,0,0,0,556282.8435,620387.5019,0,927041.8387,646857.0194,132950500.9,22886690.2,2555960.702,0,0,0,0,0,0,119708.0378,0,53525.58898,910132.4675,0,0,0,0,0,1185496.275,0,0,0,0,0,0,0,0
5,glc6 21% 1 b,68644.30918,0,0,1053807.291,8976403.396,708798.6082,5408855.212,1109919.98,372836.736,685062.8928,0,5934480.058,106356.5916,119423.4334,325632.2092,55913.06487,0,0,0,0,0,0,15699.80028,0,0,26338.47466,0,1124999.59,3608222.68,0,0,0,0,0,0,155355.0068,2308296.804,0,0,1519949.195,29180.73856,0,0,0,0,0,516009.7061,769621.4697,0,1182723.01,468874.5038,149297973.7,26890559.17,2450046.053,0,0,0,0,0,0,155001.5181,0,0,922434.8423,0,0,0,0,0,590323.8083,0,0,0,0,0,0,0,0
6,glc6 21% 1 c,116252.1459,0,0,3207066.355,9795157.403,778391.2281,5583666.943,1243345.264,454655.8862,777416.0882,0,6260402.392,109226.0553,2460345.537,440353.283,0,219715.816,0,107379.8087,0,0,2015494.986,19505.33655,0,0,50899.50739,0,921354.7732,4193851.056,23664.15753,0,0,0,0,0,0,2787852.89,0,0,1644607.157,68113.8703,0,0,0,0,0,586206.4672,542130.5168,0,0,599637.6127,119375368,22076692.45,1889906.419,0,0,0,0,0,0,112114.0565,0,84624.35532,982855.3802,0,0,0,0,0,1557027.947,0,0,0,0,0,0,0,0
7,q5 21% 1 a,1779655.704,0,0,0,9252708.468,714843.5644,737246.5131,1077590.551,4948304.255,1664914.644,0,4380139.355,85249.88311,169701.4077,0,1081461.209,100210.2468,0,1948306.042,0,0,0,3185974.348,0,0,0,0,112527.8392,8045.774618,0,0,0,0,0,0,0,4029916.751,0,0,0,892955.9229,0,0,0,0,0,0,1810032.977,0,705855.7659,0,80597168.08,13366931.56,1828034.058,0,0,0,0,0,0,942934.4956,0,38017.60853,0,1343326.888,0,0,0,0,0,0,0,0,0,0,0,0,0
8,q5 21% 1 b,1382621.65,0,0,0,10417438.42,814332.4988,896950.5913,1124442.687,5273544.165,1846157.654,0,4465062.195,291996.4565,268759.2539,306421.2089,1474253.384,494291.1541,0,2055469.148,0,0,0,3530252.23,0,0,0,0,60988.66283,0,252082.69,0,0,0,0,0,0,4276197.156,0,0,0,813716.865,0,0,0,0,0,0,1484629.835,0,0,0,63156623.18,10406552.99,1063985.937,0,0,0,0,0,0,1043844.353,0,53153.9333,0,1512499.55,0,0,0,0,0,0,0,0,0,0,0,0,0
9,q5 21% 1 c,1172997.138,0,0,0,10455719.52,782506.0237,869245.3491,1155101.313,5286225.566,1777796.649,0,4892928.007,354119.1471,208682.4435,152439.5051,1406764.618,224837.8328,0,2186452.151,0,0,0,2714330.269,0,0,0,0,734572.0751,0,0,0,0,0,0,0,0,4261925.559,0,0,0,877582.0516,0,0,0,0,0,0,1749090.741,0,655763.0018,0,65750782.78,10647486.42,1328988.013,0,0,0,0,0,0,932569.6283,0,42884.31193,0,1552985.015,0,0,0,0,0,26244.02002,0,0,0,0,0,0,0
10,lac3 21% 1 a,1284729.284,0,0,12436.26216,12011952.78,917014.6,5179833.463,996656.4972,279590.4557,395357.3858,0,5298156.594,405802.1502,1587060.001,140742.9888,0,80195.11817,0,2378176.69,0,0,44322.12438,3788158.459,0,0,0,0,93786.67875,0,640684.9147,0,0,0,0,0,0,4654290.585,0,0,0,1260043.565,0,0,0,0,0,0,2251139.109,0,1069414.012,3281831.875,75992278.09,15053374.14,1585036.473,0,0,0,0,0,0,1088986.944,0,0,70929.55913,1691308.66,0,0,0,0,0,343243.3514,0,0,0,0,0,0,0
11,lac3 21% 1 b,1262699.982,0,0,37182.05572,12881515.67,927869.6255,6934219.907,1323265.212,436715.9299,610123.4276,0,5444092.677,431562.1749,2011428.121,158176.9349,161325.4339,73571.32177,0,1102036.751,0,0,0,4745913.839,0,0,0,0,0,0,310839.7494,0,0,0,0,0,0,4927901.573,0,0,0,955577.0259,0,0,0,0,0,0,2667688.098,0,324258.4944,3750986.497,52828268.1,10573761.79,1760908.717,0,0,0,0,0,0,1032364.265,0,21724.10762,53151.01079,1499708.377,0,0,0,0,0,0,0,0,0,0,0,0,0
12,lac3 21% 1 c,3178617.46,0,0,51795.46503,11081810.44,843042.8935,5664389.207,1123490.67,384921.8598,479302.5994,0,5155212.269,483589.4756,1834267.499,191571.266,98232.8215,92491.82066,0,900878.2956,0,0,0,3628872.449,0,0,0,0,493824.8158,0,207323.6729,0,0,0,0,0,0,4388062.037,0,0,0,933667.601,0,0,0,0,0,0,2070731.441,0,1781615.37,3717705.702,49833117.81,9356180.991,1137186.648,0,0,0,0,0,0,866689.3709,0,69739.53493,96325.66927,1092405.582,0,0,0,0,0,0,0,0,0,0,0,0,0
13,glc2 0.5% 1 a,594996.8527,0,341304.7216,0,11565906.68,763328.443,2460122.936,63871.56029,110489.9349,0,0,4550547.442,242833.3901,1073912.489,0,0,0,0,1337366.46,0,0,0,571858.7276,0,7099574.847,33108.8409,423516.6493,0,0,0,0,107029.0539,0,0,0,0,2119114.868,0,404506.499,0,130519.0557,0,2239908.482,0,0,0,0,444150.5319,0,2521732.824,0,107522505.4,18160995.19,1964962.055,0,0,0,0,0,0,187100.4348,0,500411.038,0,0,217132.014,244390.6511,190418.8625,96244.51284,0,0,0,0,0,0,0,0,0
14,glc2 0.5% 1 b,559454.4207,0,444791.8733,0,13443167.55,897419.3123,3124128.357,43049.37329,165105.9145,0,0,4644142.731,289288.9773,888105.2365,0,0,0,0,1557024.137,0,0,0,774144.0268,0,8094092.871,0,344512.0449,790861.08,0,0,0,172851.3295,0,0,0,0,1996615.981,0,447168.9086,0,43726.29316,0,2511009.97,40601.03486,0,0,0,583149.8421,0,2633867.195,0,54266792,6601879.458,830093.9336,0,0,0,0,0,0,215064.7923,0,424112.7992,0,0,256511.0335,174671.6815,178295.0477,116484.2867,0,0,0,0,0,0,0,0,0
