filename,id,2HG_M0,2HG_M1,2HG_M2,2HG_M3,2HG_M4,2HG_M5,2OG_M0,2OG_M1,2OG_M2,2OG_M3,2OG_M4,2OG_M5,alanine_M0,alanine_M1,alanine_M2,alanine_M3,aspartate_M0,aspartate_M1,aspartate_M2,aspartate_M3,aspartate_M4,citrate_M0,citrate_M1,citrate_M2,citrate_M3,citrate_M4,citrate_M5,citrate_M6,glutamate_M0,glutamate_M1,glutamate_M2,glutamate_M3,glutamate_M4,glutamate_M5,glutamine_M0,glutamine_M1,glutamine_M2,glutamine_M3,glutamine_M4,glutamine_M5,lactate_M0,lactate_M1,lactate_M2,lactate_M3,malate_M0,malate_M1,malate_M2,malate_M3,malate_M4,pyruvate_M0,pyruvate_M1,pyruvate_M2,pyruvate_M3,serine_M0,serine_M1,serine_M2,serine_M3,succinate_M0,succinate_M1,succinate_M2,succinate_M3,succinate_M4
1,glc2 21% 1 a,3399263.249,231917.9123,53927.327,908.0066888,399.7715661,5684.768813,2934540.323,197758.0331,224965.5264,12165.02404,15278.49667,6948.191965,2535144.439,152997.4601,308096.6174,8974.45727,39142840.28,2274152.969,3202305.088,127816.6275,53924.28367,3237453.208,268198.5156,749.992515,33.88241237,53.32966045,812.9611584,31.16884169,150755148.3,10797294.83,11712505.22,678743.7483,850769.7409,4507.404664,338420080.2,21960292.31,411261.0368,0,0,1559.358629,1540691741,57666203.76,40250474.65,369019.2898,40798489.43,2374877.538,3805330.808,155968.4701,124142.221,46047512.6,2169161.556,7604795.299,100414.9587,8792096.052,370808.4848,204351.3618,1145.545262,937593.3808,63297.58133,39914.92377,0,270410.4921
2,glc2 21% 1 b,3090138.219,219991.6498,54268.2671,407.9262535,2357.790345,2596.788756,2934045.314,213921.7577,216233.5222,8107.840449,15892.99142,8268.447409,2116613.603,104433.2354,295184.4599,7599.401566,37248717.8,2156859.187,3070190.888,116646.7562,48734.04789,2919473.314,249048.2377,7442.971209,259.6312254,456.4236081,16196.48067,36.06003672,142067145.1,10362589.69,10947992.53,729148.04,766443.0484,0,364222413,23113820.31,422316.0134,0,0,1313.188982,917859562.6,35048746.84,36235552.96,364457.9562,37678890.8,2243297.999,3472482.081,149235.9063,170875.3285,56773613.95,2696174.526,11783553.37,178458.747,7537294.281,346853.6846,214198.7146,0,1261055.688,60084.96312,41595.02159,0,0
3,glc2 21% 1 c,4045378.746,291588.0008,70311.8322,956.7747549,5118.638767,3729.622079,3110406.955,206786.4069,241868.0203,8604.216034,16649.90551,3038.064072,2303396.66,117175.7361,312248.13,8062.401567,39750431.96,2320352.986,3363979.393,139199.2233,58336.65509,3097186.939,258741.1708,14373.24741,362.5348608,415.1745829,522.0874546,0,152238944.4,10781041.08,12076641.94,702561.1815,823598.9761,3178.829678,366938911,23755265.89,441472.9513,0,0,12883.08599,930515564.9,35774379.26,37816320.89,394282.7385,41432848.04,2399065.06,3655367.086,156227.5967,119455.2951,55766188.16,2634567.956,11787484.37,186633.92,8881994.561,375167.7488,249003.7613,0,1082010.966,67876.38872,39140.41251,0,0
4,glc6 21% 1 a,4265737.226,285131.3965,93004.90169,14704.15459,9078.730508,25018.69703,2941200.988,214252.6425,397438.4585,63084.46164,55678.922,39400.71381,1565333.574,0,18043.84374,796886.5154,36405575.26,2149604.668,2559460.22,4926287.153,356836.6643,3108345.038,264063.3545,33913.30999,510.4518601,1535.858672,810.865443,38.67747938,144480163.8,10445316.69,20190655.98,3205888.546,2645495.876,1441944.236,336120307.1,21496420.09,398621.5102,0,0,0,719769860.1,27163871.91,2741344.17,88136530.91,40035548.88,2357683.027,2876516.366,5439464.716,469826.3434,36642944.85,1563249.619,634312.4494,24073648.58,6306197.389,359345.2464,28741.05154,563343.6762,989944.0029,58044.58775,74069.55255,1804.474437,304447.4778
5,glc6 21% 1 b,3103216.662,209322.3196,91545.22709,34662.1772,2396.681598,19704.83296,2538585.164,178283.084,357717.503,54664.3569,44501.02704,44664.64983,2218936.512,0,11261.12321,743956.7836,36329886.46,2094790.999,2442981.954,4722699.069,330285.453,2747509.78,227754.0293,50640.96191,5671.171593,2463.517454,24865.28858,48.53666396,134057015.2,9812503.207,19263254.67,3122733.382,2451601.24,1287231.616,382689402.8,24853740.72,434077.8355,0,0,1004.270252,1278638703,47794390.62,3023861.528,93691581.53,33695096.86,2024420.341,2821532.562,5208687.206,529356.5429,28979874.38,1254732.844,322886.4872,13675432.49,7800722.419,370807.8044,28089.85625,516437.5634,657337.5167,50221.60351,60694.32285,899.3709989,327812.8522
6,glc6 21% 1 c,3915225.665,283057.9407,80899.28188,19642.09247,7876.164756,20560.22399,2975730.896,217898.5804,415726.4627,64897.48725,56506.56255,43045.89767,1503491.329,7055.060255,22207.75652,809586.6877,35696709.58,2108314.239,2488282.015,4899271.847,338460.1692,3103299.205,265760.854,67478.33685,20296.3188,3200.903019,8704.499144,82.49236427,146972530.6,10719862.65,20375963.14,3156102.709,2623827.597,1400912.125,342173375.9,21983375.84,362503.5574,0,0,0,440804883.8,16287964.3,2657217.622,88016424.45,35543429.23,2163063.098,2833635.676,5342319.904,443815.1002,36986665.53,1472185.326,658731.1799,25758950.84,5574311.291,293952.924,26755.72964,562113.9442,864185.7836,46229.29877,54003.58796,0,326939.6898
7,q5 21% 1 a,2233482.377,65242.61531,9581.402507,74085.60928,7272.111558,759829.6186,864966.4851,84434.71787,66477.49212,453600.3804,137836.7771,4478814.281,3778346.938,177715.5348,680.4850294,16730.12548,32204592.88,2003062.481,2386487.07,2564419.947,18119399.75,3377694.319,290586.1695,517742.7205,26793.02927,10390.07774,17491.10487,39.04234226,38491614.89,3941873.067,3127395.968,20266187.69,6243828.374,198844469,750220.0947,611.629147,185.4108816,69203.41355,14538942.48,518400341,1570007189,58449642.31,316355.6796,3156458.834,26276310.76,1828267.394,2853028.157,2908334.358,22287777.95,67681071.22,2797871.354,0,117457.5032,14013838.56,490389.5384,0,0,791240.4066,55811.8854,58636.88572,5313.727725,315640.5928
8,q5 21% 1 b,2832405.35,92076.04132,13904.83107,79412.43831,26752.64295,799754.2877,835626.4368,83460.43389,69206.93528,449529.0977,135608.978,4326869.01,2366432.293,103118.2092,434.9962301,13153.30999,30120485.04,1945410.952,2550341.578,2762080.649,19003215.08,3056526.132,259409.523,56578.54186,25313.16872,56449.84904,26237.80492,43.10302009,38239131.99,3923814.492,3190732.055,20457214.49,6280127.324,199755499.4,666817.7538,1682.181213,0,73726.06136,14807359.55,523157372.9,832712425.8,30834964.76,57355.81418,125848.5984,28275370.55,1949877.261,2938986.02,3007364.503,23133967.34,46496928.01,1843359.081,0,102890.9459,7927796.168,260528.6625,0,0,731113.0214,59267.31286,76734.49102,11576.41806,328235.2466
9,q5 21% 1 c,2199831.22,132132.787,10523.8369,74481.42217,11134.92728,739932.515,885826.2652,81243.35547,69106.64454,453634.1783,136740.3103,4457380.842,4229116.697,208156.6487,0,8174.051942,32424918.75,2088267.09,2409096.78,2490643.553,18143668.56,2396817.559,208531.5658,26180.35089,20324.96317,63635.1463,25673.31638,41.42277472,39752329.09,4088996.349,3376721.845,20469448.91,6145054.419,196313232.9,1211700.905,10161.59119,0,102992.7631,13153704.07,462208102,2018494990,74808173,187982.9821,18491.14777,26675941.68,1885844.194,2907679.78,2943082.149,22303160.39,66982919.24,2837917.688,0,70813.22431,14393082.88,463278.6285,1034.218591,0,876637.9247,59670.43142,55273.73851,8205.762083,0
10,lac3 21% 1 a,4998798.023,322465.3926,84886.49999,10158.79434,3869.087297,8922.544538,3495078.347,253812.9157,436623.1985,53796.42492,41111.78086,27380.00521,10908484.99,515774.1243,15474.07014,710005.1258,53712289.09,3015505.668,2038050.438,2862740.653,214557.1774,2677635.188,223852.6851,23611.38059,11733.24943,102154.9776,226724.7066,41.3801376,155496389.8,11192282.52,20427446.85,2959505.651,1990237.307,891998.5692,279422481.7,17933444.23,304867.3469,0,0,123768.801,5972734018,222774756,8976638.154,383575615.1,50933845.77,2979219.489,2958359.746,4121341.672,452820.9091,121010380.9,5003299.576,287602.6322,17930362.15,41133429.89,1615088.62,8123.071871,22747.90064,1618393.884,90728.84633,68658.22269,0,0
