filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc6 21% 1 a,1859615.043,146987.7467,198255.2739,43794.37959,25540.67071,0,2842308.137,248533.5061,702550.407,165292.6482,133025.5474,136527.412,2999446.058,119626.3044,10747.96828,435505.998,109327101.3,9308646.34,20065992.08,24645655.48,3751857.487,21659142.15,3029662.505,26730588.03,7178076.027,5281796.21,5658986.983,748749.3892,244306730.6,22078908.27,60115455.1,13816323.45,11664919.06,6353128.22,96467367.78,6214321.25,603995.4028,67270.01778,49288.17555,75313.7936,2269492967,83205654.91,15163112.93,481368452.4,27130522.73,2123103.272,4100180.743,4808063.703,778046.5266,56378882.06,2590894.105,1175092.184,43338384.58,19443664.19,643399.1982,0,331996.3427,1731124.968,284637.8126,320938.1207,63411.75918,0
2,glc6 21% 1 b,1067518.185,99813.59623,137965.6881,36081.05547,5530.052909,49862.69446,2155329.134,185085.369,539518.4676,112078.0625,105779.841,107364.2648,2979138.138,0,7882.867597,319987.8042,75812869.33,6399058.523,13879597.55,16881263.87,2446707.567,15939454.63,2289179.443,20525501.25,5604770.405,3927403.218,4190776.785,523150.4759,201964745.3,17790481.6,48108668.57,11015679.61,8828170.275,4882663.193,100419105.2,6509350.692,493941.9303,54329.33064,39702.61095,54131.48895,1232448542,45085269.69,15444285.39,486482155.1,18854033.43,1534532.019,3407523.015,3897772.562,570049.9621,124050167.9,5040418.066,2932533.968,99717861.18,22336097.06,788464.8365,0,460114.1544,2117565.793,166473.6071,251278.5777,33743.25048,0
3,glc6 21% 1 c,1321881.496,116894.9512,181811.8333,42859.54245,27095.56184,55249.23371,2185547.016,190482.1526,566955.8387,122182.5182,115867.3433,103643.49,11722.19695,14906.21476,14815.28437,430220.0425,98232003.08,8232494.984,18557347.41,22957894.17,3500902.174,17478063.45,2556206.74,23947593.67,6450250.871,4767103.421,5073954.583,649642.4336,262152134,23230602.8,64741169.53,14774683.1,12669575.62,6447570.629,133960056.8,8678332.635,679913.2105,72306.34727,62635.62941,7372.6476,1082567614,39819673.69,17145228.95,554918495.2,20971668.81,1705776.701,3859648.978,4446524.54,700856.7591,104997561.2,4478788.633,2953730.305,96488936.7,23471268.41,762101.3639,0,529267.7355,2533364.811,156523.7969,334533.7023,61651.62682,0
4,glc6 21% 2 a,3792122.221,305108.2324,733442.7387,160868.4509,204706.2815,170966.6644,3463793.44,262165.5235,765260.8138,168162.7765,214386.9585,178258.1055,2822572.372,113732.8341,44476.23955,1296469.129,113184233.1,8523998.712,22892307.72,42759486.66,7104445.442,18027551.22,2652355.855,38451448.38,8776135.884,8723576.588,14304271.67,2086463.49,363882135.8,28319303.66,81766631.85,18578119.7,23683644.76,15746506.48,193420278.8,12561962.64,1298637.406,157009.208,259910.1038,234460.1017,1209579361,45247863.92,42310425.27,1357944540,29416302.56,2052759.474,5289251.694,9911275.499,1631534.105,50493476.84,2397762.633,4446851.261,140201332.2,28724139.92,1078281.037,11747.64253,783911.8856,3493511.788,243477.0279,489127.3929,91415.18364,42159.56855
5,glc6 21% 2 b,3999598.627,314109.3603,839394.0158,186806.3584,228297.0664,197785.814,3401823.621,256603.7892,773789.221,162437.483,221223.9346,192103.1746,4846527.795,175561.9912,56509.11741,1336970.418,118475158.1,9051354.246,24672597.59,45000778.32,7970739.542,16623939.12,2608224.045,40713577.5,8904659.157,9513738.35,15271466.51,2333859.05,386520666.5,30468513.51,89497801.19,19714519.73,25573618.72,17866972.06,181393843.2,11923562.47,1211135.467,212535.5237,247373.2064,265041.1281,1543275276,57482977.62,57701949.02,1818032863,30453963.8,2173771.637,5927180.485,10800551.98,1757891.827,37287623.89,1854592.415,3550764.566,111721429.2,25510194.55,906458.3384,2874.665036,759840.8185,3848623.161,247784.698,535943.1173,117901.1477,68977.45995
6,glc6 21% 2 c,4312730.689,338753.0964,889852.216,189109.2257,245727.7679,195894.6289,3448156.324,268676.2095,787634.1578,166313.196,228829.4195,191056.9474,6202688.504,184992.4141,73746.59005,1931863.276,124933814.4,9452065.365,26571124.38,47845033.16,8120064.481,17564733.55,2670035.444,41609979.11,8956837.571,9794464.008,15682540.11,2479163.121,406028783.5,31476518.66,92724798.07,19917702.34,27153535.7,19123689.85,195599329.1,12638014.58,1374189.237,194242.0802,353854.1144,279887.0905,1567832465,59054587.23,61441780.51,1920255221,32178892.72,2151072.634,5914045.575,10748036.45,1796320.439,45701116.8,2239667.177,4319073.88,135919026.8,29056566.64,1095259.017,14652.39219,858208.0421,3689965.929,248984.2833,563536.772,112802.2834,52526.01287
7,glc6 21% 3 a,19016828.33,1397456.103,2693658.649,518941.6415,853728.068,672269.7176,9046168.53,643559.9115,1173796.838,214087.6943,383419.3414,325924.9827,6447973.846,177275.4634,201741.4547,5385365.869,134632376.1,8612203.606,16986641.78,68321591.67,6048395.252,15694610.67,2033731.868,31796964.27,5722765.397,6205180.371,16971122.06,1857298.7,636077555.2,45725632.37,86269771.21,15184000.71,27503441.28,20653132.01,258402574,16365704.28,1297624.128,161349.5294,245222.2631,294913.2721,2731207911,102704927,128024682.4,4047314648,54287559.5,3302545.68,6535830.923,26195153.32,2069792.032,64452268.85,3003094.598,10062381.65,308276180.7,38802689.31,1511835.561,133625.3375,1959305.289,4706927.408,275300.7233,416056.8449,60327.058,38327.18922
8,glc6 21% 3 b,17766298.37,1276816.888,2640549.986,478090.4006,852311.2218,692867.9678,8357432.766,595271.4942,1114265.005,201936.1109,379538.5435,318657.9933,7235471.39,275010.1487,160873.6115,4595154.383,142785200.4,8930808.518,19741264.78,76743598.23,7108704.296,16328684.3,2159605.61,33877547.4,6514962.42,6783724.141,18789801.04,2032704.526,654099717.7,46395855.23,92923661.71,16925284.67,30770153.56,24482590.65,234980908.5,15070523.47,1236822.936,96854.06913,247812.6322,294602.1488,2021598465,75990325.92,107070139.3,3533925924,46442735.82,2873051.334,5718261.646,23655618.13,1998366.115,35688448.44,1702589.883,7004523.007,217856162.1,37453024.6,1457729.628,120542.9662,1877245.664,5289820.275,327505.6308,520555.2894,83706.38158,94668.6155
9,glc6 21% 3 c,15770124.51,1132025.304,2142813.775,399318.8533,680633.7343,542193.0851,7375847.772,501630.1215,943017.488,187482.7829,320846.7269,272821.2812,5469641.514,164895.4599,175921.4158,4661545.41,121898637,7877703.702,16389530.07,62739120.21,5824782.179,17216652.87,2149088.063,31390538.43,6000078.051,6202479.536,16772213.01,1892181.102,587280989.3,42491907.89,81659517.39,15076231.87,26888297.7,20066632.73,243377023,15613404.96,1267770.66,125997.6718,257669.1912,233176.7772,2236160958,84060790.28,118900602.2,3764343243,47478531.95,2862686.024,5046937.21,20689690.65,1698874.768,35183322.24,1791282.719,6765744.317,207593358,36724065.85,1415803.739,122667.3119,1781764.163,5162690.019,267358.8972,435833.0052,0,81890.41395
10,glc6 0.5% 1 a,840773.423,68641.80455,68748.45748,23371.98397,0,30538.24997,773169.8574,63563.39924,233455.7542,49454.58442,57734.44047,63885.44184,2894330.626,75770.37188,31152.43367,191755.7091,34118337.61,2260315.656,3828411.829,10489033.62,989244.4737,11208532.77,1340063.302,9987017.321,4697998.891,1888185.429,3426000.978,276680.3849,83420469.03,7314643.44,23056669.3,6449410.073,5221763.784,3521326.31,91886297.01,5974756.078,245962.5632,17815.18106,11511.06713,77838.44881,2088444981,76508683.24,4688031.006,135943531.3,8234810.49,526970.0899,880794.9638,2201946.699,209286.7207,89004633.65,3456288.173,1067058.811,38808012.73,35013471.52,1028846.464,0,598422.7207,1866181.016,107758.1408,97733.44028,10363.73239,0
