filename,id,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G1P M0,G1P M1,G1P M2,G1P M3,G1P M4,G1P M5,G1P M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7
76,glc6 21% 4 a,0,0,0,5478692.581,8018882.513,693719.589,12452012.87,1594688.298,1901812.948,2571862.612,57903.28477,144147037.2,13391176.1,131084661.5,16437232.88,19626878.9,27707780.16,3053423.333,0,0,0,3859875.381,75591.16751,0,0,0,0,321668.2439,6558887.741,0,0,0,0,0,0,223721.0873,1703532.222,0,0,3811594.982,0,0,0,0,0,0,534909.7636,434345.7528,0,0,2384050.916,38801212.99,6345950.92,738753.6074,0,0,0,0,0,0,0,0,0,1081177.3,0,0,0,0,0,1069323.646,0,0,0,0,0,0,0,0
77,glc6 21% 4 b,0,0,0,5063319.899,8857863.604,509922.3886,10533731.39,1334386.681,1655912.506,2373076.993,0,191186215,15713717.19,113562198.1,14743310.17,17544605.78,24093750.6,2584733.795,0,0,0,4162142.128,168651.8449,0,0,49290.22494,0,252804.8606,4748592.9,0,0,0,0,0,0,237844.6824,1758342.253,0,0,3074442.266,0,0,0,0,0,0,376805.5572,463485.9111,0,153334.8581,2414382.262,24210458.08,3509243.699,507683.6708,0,0,0,0,0,0,0,0,0,1053553.034,0,0,0,0,0,965394.7538,0,0,0,0,0,0,0,0
78,glc6 21% 4 c,0,0,0,6603089.097,9757036.501,868660.3368,15277042.97,1882495.613,2312531.187,3205696.347,208825.4774,162433979.1,15393576.35,158065267.4,20726059.03,24535391.38,33964119.36,3533630.067,0,0,0,3584779.385,189681.786,0,0,155024.6396,0,557400.3727,9920372.08,0,0,0,0,0,0,478501.2855,1870898.498,0,0,4431863.792,63160.81756,0,0,0,0,0,473500.5954,401489.9213,0,0,2932723.337,44219193.94,7790017.685,751757.0558,0,0,0,0,0,0,0,0,0,1376846.214,0,0,0,0,0,1659940.565,0,0,129440.2468,0,0,0,0,0
79,q5 21% 4 a,2216254.936,0,0,0,11201378.61,589310.1999,517233.1924,457153.8598,3108453.448,848007.9979,0,306014789.3,22908018.58,5865502.084,6735466.929,32433858.71,8803868.93,0,3490139.564,0,0,0,1182223.129,0,0,0,0,0,0,0,0,0,0,0,0,0,2873442.697,0,0,0,529089.873,0,0,0,0,0,0,1361939.221,0,0,0,23846936.53,4400371.677,565488.2145,0,0,0,0,0,0,301069.3448,0,0,0,555294.8635,0,0,0,0,0,0,0,0,0,0,0,0,0
80,q5 21% 4 b,6091885.824,0,0,0,14024925.29,1112667.456,1432278.206,1618916.671,7003199.887,2109594.879,0,214812918.3,18676645.44,15929947.41,16014112.92,75090800.38,20732494.5,59561.55985,4255610.125,0,0,0,5915932.28,0,0,0,0,0,0,519771.4155,0,0,0,0,0,0,5555885.737,0,0,0,695650.9887,0,0,0,0,0,0,3648447.992,0,0,0,48126213.27,9874643.348,952625.9921,0,0,0,0,0,0,1204529.724,0,0,0,1193427.909,0,0,0,0,0,0,0,0,0,0,0,0,0
81,q5 21% 4 c,7745028.721,0,0,0,15856445.47,1073641.787,1630118.719,1719568.957,8156303.802,2174441.299,0,220393790.6,20256307.9,18279544.31,18569368.69,87297603.54,23344160.53,283185.2558,6148162.692,0,0,0,9972092.086,499789.0939,0,0,0,0,0,539664.5651,0,0,0,0,0,0,7047438.16,0,0,0,1017966.503,0,0,0,0,0,0,3720943.154,0,0,0,85956919.58,14746731.74,1531908.414,0,0,0,0,0,0,1520477.712,0,0,0,1746222.943,0,0,0,0,0,0,0,0,0,0,0,0,0
82,lac3 21% 4 a,8550428.724,0,0,88539.7324,22034419.32,1741686.666,10343856.65,1857015.041,654655.4829,538120.3679,0,290374597.6,23280226.73,105416980.9,19075649.03,9141446.583,7087118.118,150936.0157,8895784.253,0,0,0,8690134.511,237684.3679,0,0,0,0,0,1430199.14,0,0,0,0,0,0,9324885.924,0,0,0,1187478.168,0,0,0,0,0,0,5297895.819,0,0,3784191.108,67483424.78,11767327.66,1160170.289,0,0,0,0,0,0,1472909.214,0,0,0,2193523.406,0,0,0,0,0,0,0,0,0,0,0,0,0
83,lac3 21% 4 b,5800528.025,0,0,137174.5199,17395724.7,1231613.058,8419753.784,1441182.771,419325.4774,377781.4106,0,231989001.3,19432708.06,85940796.39,15986804.91,6907640.835,6198960.26,117757.8441,3667357.279,0,0,0,7109697.096,310279.9862,0,175773.9442,0,0,0,324996.7947,0,0,0,0,0,0,6947605.085,0,0,0,876361.4075,0,0,0,0,0,0,3857920.894,0,0,2448621.034,33803899.73,5627517.968,910960.2842,0,0,0,0,0,0,1128157.778,0,0,0,1624847.172,0,0,0,0,0,0,0,0,0,0,0,0,0
84,lac3 21% 4 c,6559066.324,0,0,0,18596402.71,1349843.965,9067016.789,1544434.246,610974.4146,364465.6371,0,245487816.5,20892127.88,94939196.82,17531510.98,7606793.704,6534778.742,134006.1385,4047544.363,0,0,0,11361295.55,522182.192,0,402620.281,0,0,0,353011.0476,0,0,0,0,0,0,7128246.916,0,0,0,1040122.435,0,0,0,0,0,0,3979228.091,0,0,3050724.733,53808499.01,9769441.972,1205177.742,0,0,0,0,0,0,1377206.24,0,0,0,1880656.806,0,0,0,0,0,0,0,0,0,0,0,0,0
85,glc2 0.5% 4 a,2686048.32,0,2243739.448,0,9634464.221,331205.3738,2214433.159,0,0,0,0,160386042.7,11425911.21,27628588.9,1110665.473,2195127.688,0,0,5193568.913,0,5735029.565,0,2113793.043,52699.62208,12084362.21,434678.5861,2631039.665,34262.86135,0,0,0,152363.4857,0,0,0,0,2700825.376,0,724117.9285,0,0,0,1125853.683,0,0,0,0,594709.7427,0,476388.3486,0,50203962.54,8026393.03,1078649.082,0,0,0,0,0,0,287529.594,0,429677.4405,0,0,642235.986,162261.0173,423916.7091,193796.4776,0,0,0,0,0,0,0,0,0
