filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,lac3 21% 1 a,1871498.325,174801.5348,296303.6757,70183.96152,48338.79515,46426.58115,3462465.412,334392.5514,867025.5835,192743.8155,145963.3113,81200.59855,3864196.273,145274.5044,12177.82696,553568.6662,141254848.5,13622842.48,26952594.95,24295076.69,3864252.77,39816172.66,5742577.017,39895971.14,10749554.97,7396197.617,5938084.512,752765.4178,333376842,32332873.52,84296575.69,19496288.4,13764000.6,6205219.648,187343778.7,12394351.35,1289222.357,225575.1399,116699.082,36769.77366,2115041313,77945336.35,47396747.35,2422581775,25675866.38,2369003.388,4629407.02,3681825.386,582798.4993,264963496.6,10475549.97,3689059.584,176782786.1,21395937.77,742913.3909,788.9001675,39335.32438,3165400.567,263621.6294,467900.618,96748.95636,0
2,lac3 21% 1 b,1113547.18,99701.07083,167225.1657,46013.25856,26602.13033,3782.506594,2180897.822,207771.9911,541370.7629,124348.7975,92518.25706,51223.42693,2967290.748,120724.1244,11580.67209,461433.3435,101007806.8,9466032.952,19159092.56,17459767.44,2620637.085,33612302.8,4791176.07,33025362.58,9126208.071,6148746.242,4970700.165,638012.9565,271262146.1,26763698.82,69983658.24,15648818.95,11323881.32,5331389.247,161098166.7,10704750.86,1038039.699,153855.0487,115567.1264,27887.53913,1815809169,66402482.99,54887544.13,2770910555,23119792.93,2171081.571,4156994.44,3474969.921,538927.4304,127705193,5216366.507,1789569.947,80965920.04,19039097.18,680887.0846,0,39631.40498,2890041.624,245226.1901,412831.9628,80008.33888,0
3,lac3 21% 1 c,1275595.227,122368.9561,194902.7485,42627.26899,33426.32772,36703.73564,2393502.374,224338.0555,595073.8645,136009.6613,101888.9872,55605.70332,3626230.369,140091.9745,16723.71546,467347.9712,106114195.5,10297018.44,20407700.53,18092339.97,2800889.151,39997427.2,5707345.399,39472676.8,10784930.21,7355926.835,5830697.735,764848.7045,282281273.5,27637170.17,71397264.72,16610892.32,11488272.44,5629409.284,141470509.7,9243801.238,1005371.403,184049.5151,119722.7875,38558.30151,1823975209,67668558.79,37542564.8,1864021908,24275894.07,2183050.828,4343352.564,3477096.735,543709.8872,133296901.8,5413709.672,1807156.644,83382662.13,19362888.68,682945.4861,0,35052.31121,3059636.437,247981.3831,494203.9721,91183.81129,0
4,lac3 21% 2 a,5704545.399,512823.3364,1093289.326,231337.7832,164467.1856,108471.0496,4793668.71,395935.6263,840381.4164,171059.4032,129018.6292,72826.91208,7494788.456,280090.0419,46524.53661,1683989.363,155187588.6,12691217.82,24038280.76,25578037.04,3352110.717,51558038.01,6714914.259,50658911.02,13065796.41,7961001.662,7529039.906,831079.5081,462024350.3,38813348.14,85326358.74,17727370.48,12370115.84,6434387.901,269492409,17718739.9,1881742.397,307266.4634,150229.4197,60548.78446,3250679304,120125955.5,55776976.49,2687318269,41914952.85,3263980.634,6149094.185,6238567.438,814830.6749,113062068,4766548.557,1921427.364,87653762.13,32106806.59,1145125.286,6781.37889,58458.03348,5105133.356,387225.137,776024.1951,124023.4771,47369.29318
5,lac3 21% 2 b,5942065.13,522066.6183,1117561.456,237694.5078,165855.882,105724.5869,4919377.801,406096.6882,881474.1118,172764.7477,135065.5021,71096.41707,5968115.615,231536.0758,53425.76858,1418091.366,153545010.1,12738421.68,23764365.49,25498763.34,3459304.449,53300370.04,6957700.782,51634927.76,13418192.04,8123939.575,7760860.635,880824.9879,497583241,42686018.89,95895367.37,19445518.53,13941182.68,7081414.548,248463140.8,16079833.84,1920258.229,295915.5462,190686.0756,71913.86022,3394373151,125919161.4,46724770.45,2238033160,45834871.03,3605666.006,6695121.067,6655470.594,891773.4538,104876751,4454683.085,1588671.939,71363104.22,33353899.53,1175704.96,0,73998.93161,5133075.363,375488.722,736670.2464,116533.6136,44758.16882
6,lac3 21% 2 c,6346895.158,554112.618,1091417.174,233077.3827,158699.0438,94975.55903,4997349.358,411649.53,876950.4196,184461.626,135936.093,72192.78141,8097400.61,283040.8003,49940.57689,1662472.726,162730534.2,13331223.02,24031115.24,25627284.86,3307825.243,0,0,47320211.01,12172852.56,7385018.825,6963207.157,750593.2622,473105622.1,40475469.58,85507423.66,17514402.84,12747981.05,6439276.269,293797046.8,19300777.33,1833945.831,302848.8171,163675.9788,57497.75554,3479880474,127261661.5,46662549.68,2279023502,38816753.73,2974602.993,5385646.285,5327374.244,651923.19,180841756.3,7331191.392,1721305.442,78435982.93,38712983.73,1394816.477,3685.606413,80137.02165,5877595.803,408610.4681,769418.6338,124142.3296,44445.28992
7,lac3 21% 3 a,27432031.27,2039730.843,2834299.631,513400.0537,322781.9654,224464.6562,12365405.16,897284.3832,1147570.175,227728.0163,149043.6506,86136.88831,13476265.13,519156.7721,122121.8234,4561359.129,168164843.1,10541300.1,11670153.3,23766456.7,1370523.667,58776201.89,6176067.396,32492115.14,9710361.587,3039253.403,4243175.286,246920.132,727710670.2,54351166.84,73202836.42,13680178.18,7866481.406,4774045.612,324462032.8,21050519.65,1548092.679,150085.2856,90075.69044,13553.97904,7177137195,264508578.7,81898021.8,3881929008,76092227.75,4778905.468,4987701.734,10475564.33,582469.6584,216429014.3,8785012.355,2787105.645,123475365.1,52957067.22,1937546.525,10222.81043,120522.1933,7428591.634,458931.347,590476.9574,66141.76395,9719.770886
8,lac3 21% 3 b,25396777.97,1933700.817,2745326.971,519369.1309,324879.1603,202319.4224,12308086.6,896088.8142,1142990.352,242828.2097,153280.8592,91184.25661,23664362.43,859824.925,105548.6712,4007469.402,210965810.4,12871183.28,11508499.38,23135145.77,1417439.452,62893371.18,6579473.157,33133941.79,10039083.25,3224014.552,4469961.271,247128.0535,672815985.7,49051801.35,69310015.67,13326730.92,7862795.111,4471513.672,268179628.3,17671065.14,1391049.994,175050.5785,74712.10877,27421.37728,13295006064,487259351.5,70069850.65,3259913209,82274326.52,5191643.001,5539441.354,11388570.88,642825.0883,290576452.7,11851341.27,2443644.868,107766393.6,94818259.35,3530648.895,16373.26316,91438.06045,7506894.168,438952.7542,597051.8091,72363.71722,12070.85761
9,lac3 21% 3 c,22197736.28,1639898.907,2345844.497,428411.5215,270395.1575,212965.7519,11577747.63,837515.4736,1097650.142,213674.3481,130418.7312,100944.4201,6896614.956,305885.3496,55594.42238,2100488.919,164014689.9,9998749.72,10704042.53,21500735.89,1275836.48,59347465.04,6215765.457,32964139.22,9804431.055,3171171.926,4417657.9,255286.4217,601210288.1,44421198.41,59143116.68,11349868.7,7018546.807,3952007.844,167973402.1,10684564.35,855139.0919,82627.21301,45558.96091,17157.73122,5766452550,213119690.3,38616883.27,1982402802,68860389.64,4325759.627,4694438.783,9430589.076,534720.6417,133079953.8,5449897.119,1145338.772,59854528.5,60001009.95,2141367.064,0,82617.59111,6993540.727,429273.3333,519142.9129,53542.41462,0
10,lac3 0.5% 1 a,610358.8768,65408.59255,76052.94529,20637.94429,12363.46297,0,933614.6764,85823.28565,293981.5694,86244.48088,76166.21437,62148.53862,980988.504,43058.75784,7825.781891,177388.4908,28675213.35,2267086.09,4495910.669,9717556.064,1049624.637,21658190.41,2775021.356,20145152.48,9067227.168,4078748.598,5988112.676,587082.1643,83079122.74,8388895.779,30167413.21,8655953.467,6931263.232,4361379.711,48582814.54,3146957.227,241132.7619,37064.59669,28450.01466,15237.09278,825560836.9,30228992.03,13494912.12,850333697.4,8164342.05,608810.8152,1257513.85,2241388.067,275006.0066,38280088.88,1615001.816,280543.1836,18707282.05,14652171.55,514565.7624,0,51576.28986,2138217.487,145049.6934,209598.8891,28224.63258,0
