filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
36,q5 21% 4 c,286932149.5,11961064.65,1038224.856,4080497.936,5847851363,227499337.3,12477957.98,48295563.25,28129077.48,1067694.146,78472.57075,270059.5607,12354225.44,3112493.699,2413123.485,10617306.53,35755971.32,1161401340,335296781.5,99418809.99,91402222.65,350516752.9,54187042.11,1409398496,59164156.58,1958098.433,16384.72588,5751.968439,206684578.7,38753422.9,73685439.47,47395471.67,253252085.3,1127979.013,346152.3856,317435.6585,1458796.731,226698.6059,5846071.304,2534824.331,643608.2536,1514981.945,213831.3686,5780923.347,7726675.631,2311662.229,2177601.608,8493280.923,1366640.334,35389594.87,92838116.55,17903064.76,34191068.5,21764757.21,118630039.8,143348232.1,35079230.08,56650664.94,45587285.53,178418601.8,37527253.87,1823600.389
37,q5 0.5% 1 a,68910409.42,2828757.992,5073.710557,7195.403537,1970616649,72352552.67,296682.4789,NA,4871880.766,149700.2741,9688.498107,NA,1932989.537,104558.2719,12635.33892,405790.2163,5709112.091,182561343.7,79174915.43,8445379.963,4414895.212,23249626.45,4648518.96,131052792.6,20336132.14,542321.1034,NA,NA,64373880.54,4199094.928,3833482.151,2855551.497,18727201.31,1298460.051,76835.03969,7223.663851,43600.38114,8910.569513,278658.9577,1806690.626,128140.4578,70464.52994,9596.525838,352639.7447,947578.5978,78504.60846,34105.5467,212673.2594,40553.89517,1155109.304,16331734.77,1063703.785,699699.3913,442987.1992,3173514.592,64276733.74,6492426.061,3745612.469,4684034.637,17560695.33,6470249.365,640.8520372
38,q5 0.5% 1 b,91203624.93,3653752.794,12313.29524,43253.26585,1207765281,44448237.67,62542.21046,5266.31677,5077682.943,172849.7557,4026.173692,NA,2089677.644,105593.8881,24554.40753,444547.5211,7124440.3,234508297.5,102148728.3,11082356.97,5730017.415,29278053.54,5626816.446,159580700.9,18300737.85,480607.7106,NA,NA,72756165.9,5020178.801,4856428.322,3426437.491,21795178.23,1093718.396,73285.5969,9578.525924,62924.75523,14025.41821,345751.6843,1661809.189,94694.14014,93599.51547,14046.87752,417823.4952,1235524.132,119010.6496,53722.47165,314950.1155,55086.75089,1634075.448,18160275.92,1233337.711,933690.6315,581980.0854,4174840.11,69841937.12,7272448.917,4657440.236,5601933.15,20070256.06,7563706.909,794.046501
39,q5 0.5% 1 c,103245438.9,4175744.886,15501.93268,13248.61124,2180499635,80397358.82,372194.2965,NA,5553083.014,160981.2251,4110.480796,8152.532435,2407499.569,142212.7287,20665.74597,520150.2648,8037363.766,261882030.6,101631063,10804576.77,5688839.843,28327762.16,5471185.502,157467672,22509150.66,682495.223,NA,NA,79939206.11,5430271.808,4905709.194,3406712.811,22165693.51,653279.8352,49165.79122,8349.758081,59198.26843,11679.89173,340713.7736,1576738.927,93758.61277,91614.98967,13580.39677,419594.4099,1164189.168,112441.8909,52052.03946,302010.3647,53089.66824,1619335.573,12729871.45,926035.002,847789.0505,545675.0674,3862770.083,73183778.39,7648139.628,5074312.863,6214882.708,22177145.21,8456026.641,733.2527784
40,q5 0.5% 2 a,86018250.55,3437468.804,15480.35167,103894.1192,1271196787,47250428.95,74789.63194,14360.97398,6436473.826,149060.8147,2288.617983,15767.90844,3704076.859,304253.6006,101700.3937,1133762.079,10706766.25,350665942.9,119187403.5,14726339.54,9151023.916,49158533.06,9740573.681,271798166,22290235.74,668470.0254,NA,NA,93051225.36,7013424.517,8768303.56,6329860.404,41182309.54,1165929.948,83735.39842,25092.65482,135591.5869,30523.17489,752562.0936,2539124.69,170451.193,137395.0571,19163.64598,653035.1388,1643116.466,187274.3148,107777.819,645670.511,114140.7708,3467627.869,17100862.75,1320607.831,1538035.55,993525.1152,7207186.583,81827544.51,9268019.268,8280075.985,9420136.241,36313302.41,11819807.5,1327.535169
41,q5 0.5% 2 b,89351135.11,3480100.18,20721.72711,99231.71719,1358088949,50170942.91,160697.7711,9387.857719,9099438.217,277250.4883,10980.82148,4587.218265,4775663.475,347814.9615,73299.26084,981532.7673,9200443.834,298726537.6,140251965.4,15962862.73,8998606.823,45527386.09,8711830.613,242742597.5,21367455.53,655103.1087,NA,NA,93117577.26,7004404.639,7917442.74,5192103.742,35561741.45,1547056.571,102434.0792,25763.49171,145670.9487,24922.40935,760743.2877,4323756.961,276517.407,149940.3592,26773.22631,684962.7272,1819052.923,206691.0871,125421.7035,673382.1851,114762.8567,3447752.527,18585298.88,1395191.886,1479747.625,893367.5517,6655946.623,88099762.34,10100463.17,8537333.259,9543943.565,35660843.64,11870744.04,1063.522433
42,q5 0.5% 2 c,78566700.75,3171576.221,8234.918909,92123.04337,1455482668,53538411.43,103791.2584,NA,6036121.486,167213.0958,407.561546,3430.140199,12637246.52,877221.3546,83534.27996,1038158.344,9369248.377,308068954.3,115515726.6,14055784.69,8297177.639,44106558.66,8242101.009,236658073.6,23686861.51,745527.585,403.4049866,NA,88882342.2,6928210.693,8207016.325,5268015.655,36316601.64,608853.2933,53647.4992,17376.21576,127574.7027,20966.40311,654432.3159,1666012.858,124950.2652,143211.582,22025.39021,641544.8957,1442783.973,162948.1842,96029.37156,528041.9569,97897.72381,2781242.164,15165325.52,1212951.409,1367645.244,838527.2894,6210584.472,86116954.52,9923335.607,8602292.448,9589253.904,36568250.52,12067675.56,2887.418086
43,q5 0.5% 3 a,95507528.6,3824908.174,241198.2363,205707.3024,1568522697,58241324.51,1944153.484,118671.0526,5931870.864,286012.4399,9211.243936,9073.67778,6607433.234,577224.646,248233.0145,2023740.668,15653125.19,507970720.7,149158990.2,19072617.35,13308157.58,66059073.01,12629182.51,356211083.1,30146939.89,980371.3676,NA,NA,118108440.1,9422379.424,12533343.08,9926243.241,58697118.59,1345313.175,104531.4071,46549.76257,240857.2171,45807.64943,1347898.103,1723892.385,141496.943,201388.2886,30226.31591,896762.2927,2086080.712,252186.3293,163468.1919,922002.4124,175924.9844,4848744.58,23073116.26,1745474.547,2238588.636,1600443.116,10318336.9,92830797.27,10868538.34,10877303.96,13199091.92,44939233.86,15973008.6,6979.986877
44,q5 0.5% 3 b,109920909.7,4385049.742,48137.16505,254533.5871,1765953478,65457080.43,118899.5953,36707.77513,7626473.583,219654.6228,6982.146478,15641.07994,4859686.915,448414.7302,229248.4315,1725206.554,12595704.08,407967480.3,142401798.6,19573938.56,12593805.65,62319798.08,11161260.56,308220995.6,26717341.85,852635.3204,NA,NA,105992317.9,8919811.14,11991350.38,8099328.84,49633932.22,1483318.72,109578.9188,51502.61224,265117.0953,52083.90084,1353243.782,1912552.187,147541.6956,226995.4833,28166.24776,883373.5001,2347654.223,301563.9223,193243.5294,1012955.792,173203.4796,4930060.428,25610178.28,2088944.829,2491267.656,1536707.647,10477893.89,104392808.6,12782983.91,12452603.2,13964798.92,48121560.23,16403876.13,12143.90483
45,q5 0.5% 3 c,76254422.03,3076132.936,21350.04962,156171.0402,1067093437,39528273.9,138882.6972,74987.98197,7441591.887,223092.0614,NA,NA,14990512.73,1096832.8,183846.6212,1570223.459,12433282.91,408543715.8,125659106.8,15275493.93,9652362.715,50192139.24,10020509.59,279471338.6,25679887.31,783232.942,554.1720443,NA,105467164.9,7742538.989,9905163.456,7268004.79,46447835.1,1123234.028,79613.27718,27057.69495,179339.5989,33387.9731,981511.7792,1887093.945,146516.9479,157225.3256,26529.62973,782152.2321,1692868.961,187588.8362,113015.4919,649891.1,125393.4163,3646812.507,20966223.94,1561040.076,1701081.11,1180304.392,8082276.32,87017402.84,9859695.372,8655090.909,10631181.05,37878176.28,13162745,1478.249326
46,q5 0.5% 4 a,277612543,11078021.4,212347.7865,675422.202,4149642138,154700237.7,1081834.279,724196.3944,13170287.1,494633.3764,9010.962957,9727.720539,13118446.86,1149808.872,877523.4819,4341766.512,31368059,1013446350,253780337.7,30210949.93,26040924.81,100789103.7,18185670.97,527763337.6,59278590.51,2021273.712,5942.755011,NA,189949316,14117968.27,17648919.51,24554778.99,73202512.52,3256764.392,332440.525,222515.7007,1026841.394,194350.3414,5578854.559,3458392.907,245739.788,315950.1124,47469.95839,1377798.739,5012100.871,580967.1256,477703.1508,2018733.822,377538.4191,10647203.02,47440859.95,3568931.214,4270692.582,5689545.723,17802273.24,110235605.3,12622345.74,11737572.85,21336496.92,40207447.1,27916439.85,315782.8402
47,q5 0.5% 4 b,139654441.4,5605507.98,97214.71276,345113.5811,4531074469,166584776.1,846000.3791,320625.658,11379796.85,421565.0839,8064.303481,10926.87262,10669172.38,1046345.765,647453.1061,3672611.323,22096742.86,742143991.7,213503226.1,27039306.71,20994577.79,84400725.79,14107346.38,393341414.6,47104436.49,1593005.2,3386.818187,NA,147576383.6,11803895.65,14957100.77,15067336.19,55683105.94,2201258.596,210529.9192,145957.4225,647950.1509,114854.7122,3056769.972,2038300.546,181008.1857,275463.4988,34147.63039,1066036.424,4450696.326,553841.1138,416178.5402,1789867.433,294756.9229,8344498.042,36914561.04,3063197.763,3675043.161,3587183.396,14164353.8,124492801.5,15111032.7,14193549.5,21385456.51,46725710.04,25748501.06,226843.892
48,q5 0.5% 4 c,142874111.9,5778645.721,78849.78438,369193.2424,2899060795,106384961.4,659063.9891,532817.6275,11356587.39,402548.9242,9447.113161,10590.06933,11950387.35,1241430.555,747513.0717,4315432.187,28317896.58,916357769.6,221617308.7,26697481.23,20364504.88,84634848.07,15261319.62,428560895.1,48705051.91,1609058.923,1842.670079,NA,169736390.3,13259667.29,16241367.17,17951550.36,67865096.18,2005177.192,170898.7546,123050.2581,547600.1522,102726.7844,2950484.665,2253376.533,162675.5166,260424.3874,31362.70992,1097920.835,4350350.462,517305.1279,392999.545,1704755.998,299164.2099,8677029.632,36306339.85,2752017.892,3576004.111,3680269.379,14896681.53,121833266.9,14289502.57,13007900.07,20500517.78,46584832.22,26139674.24,231986.6132
