filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,lac3 21% 1 a,136626596.3,5285812.961,1570307.687,75801607.76,956500390.8,34873260.1,77392175.8,3908899504,7459935.207,207163.1015,4276.958842,341914.5252,176402845.2,11503852.51,1133246.49,183348.7584,137176.4175,31541.34997,194225460.7,19997898.74,53509492.58,13958963.61,11039498.27,5212844.461,26329668.63,958195.5577,581.3561027,NA,69378744.19,6336597.642,11307508.44,10606038.31,1891057.545,437354.4427,29029.29447,68139.5561,16628.33254,27134.27815,NA,1213895.369,124004.6956,149201.9247,35052.09374,NA,1600331.448,157517.595,446430.0118,110605.7384,90995.02249,56996.27116,14684304.41,1458237.312,2941003.748,2462176.507,446326.3377,23182018.87,3334732.65,22977917.7,6772944.839,5130681.891,4206970.392,672444.6171
2,lac3 21% 1 b,115202145.8,4486853.141,1329013.453,64903656.29,865230934.1,32304733.77,75137216.44,3860717398,7908315.153,227381.8474,6337.829745,394765.4896,161712947.5,10458589.45,1177867.738,221714.6645,126822.4325,71565.01491,178013633.6,18709834.7,50894295.13,13175829.38,10420245.38,5007358.043,37447610.92,1398265.499,NA,7372.236423,57996767.57,5440368.91,9937787.028,9069653.032,1685193.375,554970.2352,27885.6678,62453.85812,17502.54571,23343.89552,NA,1802511.464,129894.7514,182112.4036,36126.29389,NA,1480734.404,143516.856,420153.8046,102916.0057,93463.84158,50733.21338,15704113.01,1523288.987,2891092.819,2403217.377,461441.2642,25326414.28,3659386.864,24464971.37,7225016.747,5471974.467,4521980.907,721034.1628
3,lac3 21% 1 c,81203238.96,3191278.769,979947.0922,47449323.16,839050235.7,31143121.44,58182143.03,2955571694,7609721.538,204798.8253,4681.059927,394250.3165,161021187.3,10406261.4,1226319.734,227783.8947,175603.1326,68212.01713,187879029.4,19691940.44,55340260.84,14446013.6,11007128.44,5397787.718,36284529.64,1342354.673,NA,5536.424891,57924725.43,5537107.371,10907215.8,9557845.318,1897308.312,518325.3479,42758.57079,65627.41222,19458.41496,22191.5342,NA,1718865.027,163961.8121,207210.2753,45400.40509,7669.062554,1561933.096,158049.0156,450571.3733,113705.8788,93386.51837,56392.40013,17951644.71,1781354.819,3555590.409,2903740.45,570417.3684,25714097.66,3860350.649,26322478.1,7694612.127,5955381.548,4846117.05,781149.9507
4,lac3 21% 2 a,23066721.45,1074146.976,378339.958,18193079.87,1223061897,45978444.36,24091117.06,1191241465,9058660.394,355479.219,31845.95225,1258536.922,191855405.4,12651124.59,2144460.241,365031.0881,314457.2631,102216.0239,298897011.6,30939087.19,87605249.77,21580143.06,16683790.58,7588596.813,42999383.4,1572062.224,NA,7410.171539,87829534.89,9113421.319,19980285.47,15625904.96,3037497.274,851323.8645,50529.68823,154844.9449,37233.1243,30986.59769,NA,2926110.201,231218.9781,393473.2111,91777.38678,34901.70367,2746171.01,267119.5873,783802.3008,182891.3036,152872.6701,79030.81512,34441196.85,3276842.637,6438030.1,4868395.115,942901.3214,41138338.18,6133802.153,43549115.09,11211204.74,9496796.987,6914238.262,1152863.11
5,lac3 21% 2 b,20414405.62,902917.82,393017.821,18600592.24,806998423,30357648.84,20529830.15,1022483081,7669297.83,274916.2386,23186.87222,1099407.131,187319961.3,12333053.12,2214402.427,473910.0528,356944.8376,155547.1626,290582687.2,30867415.43,90715729.15,22896972.84,17748458.73,8325270.709,39098748.15,1450294.823,NA,11761.76462,79958261.58,8663640.872,19303682.27,15054481.05,3074897.142,664579.3081,52037.53293,173432.1771,44083.46071,33137.72722,NA,2385640.071,241441.3951,433343.8748,106357.9005,45333.09852,2700628.789,273218.668,833674.8099,200868.8885,166438.3935,86907.78862,31771177.81,3330838.951,7065487.435,5310761.211,1063016.125,42787489.09,6804000.524,51333953.55,13492536.71,11626359.85,8480763.341,1452236.518
6,lac3 21% 2 c,20622649.56,932007.3345,374244.1138,17867050.91,851623920.5,32267394.98,19650938.09,976699143,9530672.736,358541.9563,30422.79243,1479290.919,221144853.5,14794872.88,2688486.759,606030.0778,489435.5119,125761.3995,339207038.2,35905317.01,105231802.4,26239829.76,20476512.19,9209215.21,44187572.04,1628084.527,NA,14635.65655,100753073.1,10966005.44,23831082.13,18963710.36,3683756.346,934246.5756,78001.95331,211418.461,44583.7779,42182.52989,NA,2788501.875,279986.4126,482835.7113,117209.978,48370.54325,3059497.294,318752.7486,952705.106,232396.7796,184821.0044,98654.62844,35162664.16,3621399.155,7385008.057,5510489.874,1082770.278,46380241.64,7323541.988,54042501.08,14107529.69,12143003.31,8670769.716,1463997.313
7,lac3 21% 3 a,36445410.68,1632710.382,663036.3565,30451097.82,2086723453,78442044.4,42704224.95,2001250315,22121128.81,860949.354,126195.0283,5319131.724,399398794.2,26711834,5504534.655,1070021.081,663068.294,212264.8725,708812146.5,68638394.59,163206074.7,33659331.35,22474964.17,10112039.38,83535758.01,3162217.944,NA,44881.27807,203920069.4,19389163.46,35552925.42,26535562.18,3915662.389,1770216.205,173907.7155,497169.9171,114410.1811,74060.57269,NA,4918917.537,451385.9184,835419.9289,156494.8917,64380.86704,8268151.399,796125.9253,1980148.283,405929.4243,275605.808,129828.5892,86779690.43,8140800.687,14947404.82,10782613.55,1614906.397,77040095.55,10917475.64,69196550.57,16522041.79,11123290.45,7660809.093,992389.1043
8,lac3 21% 3 b,40831952.74,1755952.751,726816.9832,32598066.58,2147016898,81072974.77,42048588.21,1968145741,24096906.07,865734.4066,148992.5093,5973309.293,403361152.2,26691601.03,6280040.793,1340148.661,825940.693,207146.6521,761908286.3,74370232.12,177307338.6,37533992.66,24254124.49,10576252.46,87388000.94,3228772.571,2584.638509,35263.70535,218223079.7,21029937.06,37972836.39,28366404.54,4253049.603,1753885.887,176968.5675,582089.9505,143733.7341,91906.74802,NA,5287197.939,477528.2278,963999.0003,171130.9899,86933.56681,9384010.925,922155.8664,2236914.779,478156.4487,326431.394,143447.6266,90403492.91,8735547.706,15888082,11554356.38,1700765.315,92062910.78,13202190.62,81712053.23,19727542.77,13033911.87,8740413.573,1100584.616
9,lac3 21% 3 c,35487750.64,1629046.558,576739.8624,25211614.38,2175690427,83226269.3,36693769.41,1725200784,24795375.26,933934.6069,161978.2616,6529183.829,422414476.6,28350582.46,6678802.883,1295635.122,954013.7909,246722.0531,751144992.9,72359585.93,170047997.2,34246464.68,22629577.3,8808720.731,90700918.83,3321231.124,4780.423869,47784.38525,216356024.7,20855890.03,36109506.45,26831190.97,3897936.703,1908979.866,176214.2528,558903.1647,120079.4637,85614.76074,NA,5579838.244,480246.8413,880360.3928,146377.505,64257.53119,9297587.212,891711.1282,2126101.363,438205.4914,287013.1391,138688.6185,93496485.73,8781336.96,15749517.42,11160116.49,1644902.151,85208552.71,12128631.14,73792626.42,17536552.55,11392621.32,7507514.423,911227.0474
10,lac3 0.5% 1 a,16033945.35,730169.8726,17354.65327,2774040.847,915027962,34117588.14,7724120.043,399475135.2,3034569.885,119318.1455,NA,155237.1312,56672481.97,3738896.601,488425.7272,116706.8932,96699.91304,54721.17733,68145222.92,6564700.941,22557927.26,6603924.261,5732233.162,3778199.409,41332375.5,1557480.171,NA,18137.30409,19151641.63,1374852.95,2539152.054,5032913.916,697578.506,406646.9149,30941.62041,26193.17991,2328.040587,8604.051988,NA,1342460.348,127565.089,80760.51867,7865.926612,NA,457174.3313,30719.57265,109378.6965,28459.91203,29895.1844,30734.27807,8032121.081,544324.0781,746685.7961,1289621.346,198081.1282,16670040.77,1808715.82,9772351.263,3903923.505,2192144.995,3051030.464,351270.346
11,lac3 0.5% 1 b,6509491.027,329148.6823,1903.196867,1535132.741,458960636.4,17007610.92,3797854.123,190794608.1,2140286.615,82495.18676,NA,162423.1116,61049861.32,3971333.748,610198.9908,167307.7728,143165.9348,95228.7839,75964172.87,7578008.295,28013628.77,8230897.802,7255652.235,4764292.763,30014415.74,1094375.037,NA,27186.72493,16910581.06,1371670.481,3125703.006,6067192.852,849788.8802,459796.6539,35663.72193,34739.98832,5493.527685,8813.891679,NA,1279519.869,90029.35024,85368.91631,12586.7566,NA,534632.5088,41200.31538,157915.3008,42311.93187,44320.2864,43707.05263,7494644.711,546872.7782,874770.7384,1473069.059,238977.152,14765098.7,1898836.764,12078607.7,5026461.665,2824778.163,3888593.549,484587.5178
12,lac3 0.5% 1 c,6732852.132,378054.4038,1135.133668,1431890.76,354697317,13391479.48,3992230.956,206191756.2,2587813.313,90196.48394,NA,190545.4025,60175649.75,3957063.953,588621.4375,152264.0679,114698.0925,82427.1169,70340725.6,7092158.049,25467090.77,7557914.613,6441297.222,4242308.491,28842196.07,1041242.292,NA,29224.48759,15407524.43,1255980.82,2833802.083,5607055.167,778649.4663,406364.7999,29177.95607,29231.13586,7283.505685,7295.979119,NA,1304698.189,91634.60698,110446.412,14659.2788,NA,406141.4578,27244.9732,104341.9246,28529.2406,23950.87346,32517.881,7274614.763,522383.828,829310.371,1343710.435,216691.832,14981223.79,1873677.883,12254367.79,5045398.091,2880913.745,4017327.644,494870.3812
13,lac3 0.5% 2 a,20580474.25,922071.6166,204604.8042,11136189.71,759001777.4,28357474.38,17621473.06,889755347.5,3859681.006,148127.2593,4067.591341,299664.4994,97680164.38,6286037.31,765884.8894,156991.528,147089.8729,82517.92544,112689287.5,9890682.807,31369282.74,8120204.149,7347707.076,4885728.278,43023837.49,1553211.737,NA,33317.31871,27274243,1941714.831,3649695.158,7336489.395,945669.2517,688481.1856,34081.71798,49227.03413,11742.63965,10369.25661,NA,1694830.98,113612.0877,86087.43103,11812.75576,NA,759444.4252,53519.89945,174988.3686,42156.87964,40305.7651,34403.43774,10903020.46,698947.1628,941926.6989,1586015.239,241058.1293,20238651.35,2272679.103,15338873.5,5499214.466,3143907.303,4471576.944,517420.9956
14,lac3 0.5% 2 b,19774603.54,887540.032,200554.5182,10942216.19,566799286.3,21051843.17,11059859.47,579255724.7,4569702.325,215673.503,5797.745909,383297.5593,112287692.9,7360645.103,1080341.663,245816.3531,223537.5091,144294.5369,118561515.9,10935485.53,36678485.87,10106160.09,8902833.393,5910039.777,39611635.75,1435321.551,NA,50582.18399,25799845.17,1911887.059,4100161.013,7589655.838,1056765.26,425609.7576,27245.22063,65310.48415,15923.81891,14934.78147,NA,1659037.73,100520.2383,112545.9777,16569.47185,NA,954105.6744,76913.77443,258019.3988,66414.34664,67010.14381,51157.73285,8374921.932,606115.0464,1145013.907,1815980.584,300104.2957,18553820.06,2323064.28,17859488.65,6495878.632,3951136.516,5344321.097,649334.9054
