filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 dmso 1 a,126520429.8,5659294.684,23593092.92,438462.9331,4353957710,164462500.5,141099190.9,872917.9797,6691116.369,199559.817,140494.6037,NA,118976895.9,7528039.064,523823.3818,4626.363832,10046.65739,91171.95293,245143423.7,24082082.84,46891576.42,5157321.587,5140335.949,263448.3079,31952743.26,1194146.4,280593.2958,634.6578101,94713500.88,8071623.491,18005962.49,1356427.825,710355.3161,1938676.372,143314.2679,117978.2466,9853.943947,NA,857408.2773,72953.22747,45353.87866,2767.496053,2367.438343,31981.74941,2065863.558,190000.2376,368751.1432,40688.76579,40161.65052,8128.468943,22213920.14,1823370.793,3925440.474,292113.0359,159926.0663,17346362.3,2198258.431,8860742.478,856475.5861,1228299.281,84535.25812,16197.69377
2,glc2 dmso 1 b,107244564.9,5092472.607,30929387.4,599161.1237,2086926480,81269613.46,185459047,3026485.719,5413118.696,174300.9151,162103.1973,NA,136705616.8,8770991.983,688569.8578,30466.16457,14663.03317,4019.243319,281774086.8,28537022.12,59174933.28,7018155.71,6786565.991,507632.8379,28239997.36,1050193.808,354318.5837,1681.222313,108565370.2,9714934.882,23139919.13,1934340.509,1077426.731,1843250.984,149613.2487,171829.7704,16124.04841,NA,695006.7475,59617.1516,73358.35493,7062.43729,NA,NA,2286539.918,215918.1323,465517.5326,50356.65449,54142.90719,11243.00178,25621679.56,2281189.829,5454445.973,455287.8421,234960.0279,21530836.6,2937866.553,13432881.98,1388235.21,2021415.586,151975.7244,38283.48957
3,glc2 dmso 1 c,121548611,5790933.567,40496486.15,821893.8559,1314329175,54781151.14,229440916.6,4295404.138,5389349.794,159593.4212,200173.7365,NA,173526137.5,11239860.17,896810.6401,42934.77464,31123.46346,60975.45997,327262233.3,33957300.49,69107114.1,8386815.91,8206827.291,571127.9026,25639943.13,944955.9124,343281.8342,3629.854149,118371316.6,10539882.06,25627913.16,2190076.116,1117666.021,1821730.667,184124.326,197346.8796,19044.95914,NA,828649.658,68051.25492,80606.24107,7404.433236,NA,NA,2528709.831,252332.545,528246.1263,63509.62045,60465.67481,5708.85881,25679044.48,2338350.161,5456648.643,465064.8597,253763.8103,26387092.32,3657355.662,16654661.19,1763724.065,2520546.005,176726.3265,37754.80779
4,glc2 dmso 2 a,91907293.49,5032232.591,44489866.57,963934.0569,2193880465,92903667.63,420826184.6,8015552.656,8442002.014,260759.9602,547822.886,10452.46337,246440991.6,15971845.88,1827507.312,150345.8767,146338.5887,47843.19094,390962966.9,47636322.51,115110574,18777097.88,18813211.15,2167175.981,41898305.84,1633509.689,419272.1012,707.0355962,150494376.1,16912540,45740851.53,5465836.861,3099412.865,2412475.373,241197.2893,354337.6821,53466.24518,15856.44935,1217078.79,119346.853,170074.2512,29775.17941,13699.00006,NA,4039482.269,481626.2427,1188840.47,196888.9469,199665.9296,33039.87598,38782090.53,4329048.581,11120559.9,1371845.032,759044.4598,32740623.51,5614796.921,28988923.55,3901379.763,6250170.249,694908.2583,293907.1539
5,glc2 dmso 2 b,93390168.71,5037061.31,44600388.94,997530.4474,2360860427,100310437.4,457395535.7,9248669.216,7488665.395,267220.9415,517129.2554,10904.41065,234218659.5,15145658.84,1823214.725,188719.1423,142421.2579,10353.82364,357943966,45415413.36,109332576.3,18636801.02,18085956.47,2225544.287,36046326.76,1442465.046,449772.7709,2053.307299,139515574.6,16405690.72,42666210.03,5326961.9,2917861.647,2001457.202,232699.4826,309752.919,55775.53511,14646.75074,1253335.413,111142.7339,171787.4487,25024.60876,25476.06776,NA,3451443.484,424838.2529,1040134.017,177933.5422,178119.6673,30159.48722,37182562.13,4266394.03,10849033.46,1403258.553,723907.3039,35815121.9,6350711.518,32381019.37,4503400.853,7064381.388,799093.2494,331228.0718
6,glc2 dmso 2 c,104141967.9,5700257.746,51273908.05,1103719.146,2480083895,105868146.3,488069201.9,9817628.589,8507975.334,246036.4802,586807.2788,12245.16255,255576859.4,16824421.2,1818162.004,153568.2344,199650.3138,12946.67757,383928105.8,47052717.29,116887500.6,19511168.02,18901259.01,2191511.487,39449540.13,1530251.291,532896.3784,4723.650919,147371452.2,16894820.46,45962039.92,5819967.123,3022425.947,2351419.759,265727.7061,335092.4695,57711.54127,13099.4977,1263390.453,123320.216,162453.3346,27167.86904,26115.04005,NA,3832172.861,461064.9801,1118195.379,197523.0959,187483.5898,28018.42399,40685422.85,4563963.342,11696547.31,1492322.598,776194.7646,34421483.38,5982020.359,31237613.92,4287976.928,6878739.039,766390.943,321340.0765
7,glc2 dmso 3 a,110756580.2,6464653.476,63885284.59,1533078.561,3049247027,138007218.2,846653075.5,18523107.62,10898986.49,463775.1794,1647603.99,38532.20334,369428095.4,24225821.04,3325631.583,402176.3281,447197.5358,37924.58331,619938591.3,73491955.43,190140913.3,31737991.83,38247775.88,4789263.437,53779152.59,2268464.664,961522.1841,6703.089056,215917432.9,23382495.53,74982752.01,8466528.515,5615746.166,4379021.426,393275.851,539795.6818,94338.48874,56420.38902,2493299.091,234793.8847,420459.9198,72742.65891,84475.96398,27633.62984,7425327.786,872255.5269,2295709.086,387594.7987,462959.4909,62215.44024,79273689.16,8499669.554,26143004.35,3004947.647,2019447.089,42635349.4,7452182.146,43901149.28,5889999.052,11011459.88,1171456.556,594343.9836
8,glc2 dmso 3 b,88180946.61,5401109.976,55837529.67,1319929.972,2628454127,127893939.2,1008226171,23156764.56,10719269.51,435986.7901,1686352.285,41151.37402,379500494.5,25179679.93,3653247.406,438714.3774,595054.398,75584.76663,684176964.1,85363550.12,224824501.1,41048720.57,45487621.57,5832769.459,46915461.32,1999273.244,971602.9173,11067.7487,210791491.4,24409449.48,76878262.08,9180232.565,5905860.859,3567829.274,398290.0054,652935.897,125129.2953,74629.63147,2149693.141,231188.9427,530805.2328,94680.35582,107350.4241,37907.15958,8813677.161,1087088.422,3010575.167,525651.1926,625095.6588,80970.23867,85214365.71,9893266.751,30827667.42,3818063.15,2444142.416,53790154.28,9934284.769,57474027.46,8105875.527,14833618.15,1681269.172,850871.395
9,glc2 dmso 3 c,93530621.75,5528203.234,52641875.52,1256158.758,3088361087,144717613.6,1019513680,23468065.99,11178179.88,471651.1846,1829251.657,47145.46561,415838886.2,27508633.7,4227767.303,546719.5066,529795.4943,33992.81431,708738688.2,87006440.53,231132054.4,40736248.74,46347450.78,5512889.475,54815580.01,2298972.062,1048207.794,7874.976478,228402078.4,26179321.89,82866713.18,9879797.313,6347929.42,3539755.347,397529.0575,697903.3987,117362.2992,70243.89763,2317952.167,256281.6997,602223.3341,100193.0699,115714.8665,47710.43304,9890865.418,1219334.433,3242102.603,545209.041,648067.7655,85675.65507,93882181.71,10715575.87,34052088.84,4066521.241,2651724.913,58945917.1,10788175.43,63237039.61,8825133.155,16149640.67,1782449.456,910452.2294
10,glc2 dmso 4 a,141170842.5,9912723.732,121206515.6,3226296.714,2799912156,180647496.2,2037359841,54744151.92,18429577.44,941901.0132,7025155.89,197589.8109,569127108.8,37270584.05,6954749.226,875405.474,1074464.889,116756.8835,1023960280,122284625,319574037.4,55757954.43,63099832.06,7710658.877,56362973.92,3029754.722,3371816.141,78899.45545,251774547.8,27978248.52,87168915.04,10468347.36,6559213.071,4377735.633,491636.5511,935777.4369,165275.0662,106272.0894,5033133.307,537572.2563,1278242.483,215615.7885,251524.5416,42844.973,16843709.84,1995378.16,5274562.69,927592.2929,1070526.917,134547.8816,133767235.8,14763811.55,45780687.88,5433025.808,3484528.336,82416703.05,15449888.91,87616820.14,12392969.25,21925235.39,2479642.635,1199375.007
11,glc2 dmso 4 b,94931105.03,6482264.581,74653213.22,1958937.711,2624908554,153318778.1,1560775897,39472822.45,12961470.42,616709.2807,4218784.405,109463.7867,420680572.2,28079172.58,4747473.16,662329.4175,754708.4446,93794.82128,886755677.6,103208950.6,259216539.5,43989590.05,48680322.29,6196906.641,49429830.4,2477926.486,2283860.159,47564.99553,268035520.1,29137753.06,91109158.23,10163893.43,6536806.272,4077932.075,433993.5753,831022.102,131833.5152,109512.6479,3919929.675,408885.9036,970412.8837,165107.4976,194530.351,38279.19029,14376364.81,1641667.787,4316017.205,716931.8782,878163.4601,109491.0813,125667108.6,13511025.02,42272170.06,4868367.883,3185843.278,69521300.79,12632882.56,73144931.79,9816161.128,17894125.58,1963077.892,977793.5707
12,glc2 dmso 4 c,127819219.5,8843058.88,102845134.4,2789334.23,3108705123,193820175.9,2077716716,54562776.83,19705023.87,1059280.128,7640049.528,215827.4924,616796724.5,40759159.62,7738926.874,1029358.702,1336740.773,123572.733,1112935225,130660214.6,337795823.6,58511117.57,65761900.31,8493724.708,64325216.51,3447007.418,3797616.714,76158.73905,331392851.2,37643722.73,114544106.8,14156406.98,8058254.846,4738519.35,540606.3832,1064050.16,189896.7941,114833.3603,5262528.723,566648.9101,1409152.51,242590.5096,274652.3819,46328.09281,18657608.8,2189508.852,5833680.889,998311.511,1151606.237,152567.5043,139864167.2,15878226.63,47798220.29,5797701.942,3524279.258,94773717.47,17931018.18,101683103.3,14369593.95,25260798.06,2871344.217,1433649.09
13,glc2 bay 1 a,49883304.42,2351961.173,15325708.74,317401.3114,939343753.5,37746594.82,120026647.7,2376253.72,5012840.514,126367.1681,274241.5651,3039.946223,148470611.2,9503245.376,384144.8919,NA,NA,6689.026399,230431610.5,17798081.33,50974062.14,3165398.728,7527409.154,165278.5744,35125129.68,1335390.316,1314774.412,18192.76773,85084934.18,4982301.948,21659864.32,801349.6533,312597.6036,1347609.282,96072.89843,62587.21115,1479.067312,NA,879269.2882,68945.00273,57825.61752,3155.64362,8572.93636,24495.06609,1587832.933,118341.8983,330951.1356,18036.85359,49733.12715,NA,10845301.22,616490.6253,2029900.533,75198.53023,29435.94992,15719050.79,1668075.485,10181799.35,706330.306,1703024.436,69263.11333,1620.373064
14,glc2 bay 1 b,74875636.46,3494014.805,18753164.28,403761.0489,2133504782,81134887.32,140564874.3,2257981.335,5068459.402,131315.9432,253778.2782,3285.410437,148996100.8,9506064.629,387460.4288,NA,5702.189195,NA,220269493.4,17177561.79,49250130.01,3073137.019,7365296.084,141261.0363,40690063.76,1586824.175,1325627.998,23199.11412,84506851.97,5024218.707,20952356.37,810415.2788,309837.1015,1244856.488,111006.0543,66484.21841,NA,NA,717720.4445,54608.08907,59447.90987,2957.509196,9290.219515,26448.37909,1479705.983,106989.4158,319427.981,19304.3713,51340.08478,4926.833169,9278627.968,547244.4688,2059050.199,75474.62113,29662.31399,17203520.48,1800911.258,11068537.12,779363.6945,1850103.939,62519.37441,2036.448531
15,glc2 bay 1 c,56813007.39,2669700.509,12405796.08,247524.7486,1384657139,54368989.1,108125842.6,1958581.651,4673690.526,132546.2113,233728.7626,3137.864033,138515070.8,8919886.187,337089.9357,1919.237523,3891.055379,12310.8162,199566737.2,15595963.7,41768670.72,2663789.708,6087962.343,111243.2403,37612975.07,1416949.977,1192404.417,17789.17444,78826729.23,4653203.757,18679195.54,741349.3892,261061.888,1509783.686,94805.85939,62275.95078,1069.826906,NA,862430.097,61793.78664,50631.4047,1600.090084,7850.748129,NA,1318169.24,91597.16987,266796.9789,15137.62313,38920.65347,1438.926823,9773889.253,554759.1018,1703392.958,66814.55157,21894.6536,16393397.06,1718108.928,10064775.99,687553.427,1599672.103,46931.24612,893.3841055
16,glc2 bay 2 a,65780031.06,3167695.1,20689234.42,465015.6836,1609628961,64252695.65,180530989,3666029.065,6124020.189,175205.3319,235720.6452,3211.424145,151347781.9,9665170.968,429409.543,1955.77556,19065.2679,2638.136101,179825660.5,14098389.25,42970633.18,2828893.55,7949368.963,201164.0931,46448997.61,1747966.394,1581989.876,30292.06346,79603969.24,4736084.71,22084561.13,886123.1053,267256.7385,1251542.001,96374.04711,59746.97164,935.9499401,NA,1186583.913,83876.66786,76924.10495,4166.271252,15437.43369,NA,1357455.907,98033.12758,285750.1279,17804.52093,55919.726,5106.778863,12083250.5,673143.4865,1925223.195,69620.5926,22642.75697,13033191.34,1389803.22,9018326.55,634988.6525,1673566.515,54469.2991,2425.292848
17,glc2 bay 2 b,74703069.03,3630013.684,23623407.06,528501.1759,1647708997,65090007.59,161894473.5,3257890.575,5382055.296,144334.1857,214649.1011,NA,132394904.9,8357682.13,375909.4428,NA,6210.790062,20937.04616,164526801,12959684.6,40034992.22,2697074.053,7606002.668,171540.9215,45952947.08,1813833.484,1627439.807,25251.17457,72775867.94,4300951.439,20324109.82,801923.2278,259203.7274,1229829.797,80483.35983,61022.1886,NA,NA,952421.5632,73795.75364,67772.57429,1902.589166,13723.36644,NA,1328365.781,92908.58417,296996.5431,18882.17241,59920.0892,6703.310304,10534401.41,575745.4192,1971756.066,69854.59151,26684.06045,12146440.63,1307130.761,8690062.523,614957.4157,1653509.695,54872.82029,1209.319379
18,glc2 bay 2 c,72425678.27,3656612.571,28156498.27,621801.96,1636513491,67171605.92,249967277.1,5516245.34,6343828.618,185766.4795,363091.0337,7886.157836,185990322,11989372.42,609357.7735,NA,49869.05476,6346.722694,229147064.9,18760105.92,66665815.78,4688723.191,13403499.22,413767.1635,46921902.81,1836533.508,1940743.403,38351.30442,94004010.2,5837286.463,29167423.96,1193229.515,530402.2604,1720338.579,136217.5273,106874.2688,440.6078857,NA,1128794.874,78573.99013,125301.7418,6643.045175,22309.76164,NA,1757520.025,134953.428,486750.7423,35779.67799,104001.5709,5231.228721,12443428.04,739098.3273,3010391.01,108562.6345,55924.28346,17025502.2,1890618.597,14054782.2,1025560.395,2959892.326,114220.6398,9801.615367
19,glc2 bay 3 a,45120558.34,2237684.637,15168835.81,336874.2003,1818032273,71996442.3,185824877.6,3834337.108,5860259.21,181953.8209,321367.8808,5638.58276,155298749.2,9704088.672,546439.3682,NA,11624.19994,3312.913203,182529730.9,14347992.88,46151886.6,3216226.29,9684086.719,260451.8024,52882133.57,2047961.752,1994292.321,34746.91147,82373409,5062772.781,25795370.91,996292.6863,350921.1077,1750828.824,90564.5765,54516.09904,2005.857535,NA,1133179.222,88536.89765,85588.79188,4651.237009,20572.79077,NA,1300202.483,92524.09997,294443.4602,21882.08407,65229.28291,4640.636257,13121107.49,764018.8826,2549727.062,113583.6137,44885.00937,9480004.765,1061467.81,7211490.608,544500.5933,1489107.288,67719.22988,5850.560452
20,glc2 bay 3 b,66207555.86,3486625.468,28546386.1,659279.4702,1827264883,74895831.26,302957678.8,6562750.305,6396471.118,189630.57,403271.6671,7750.759113,184542647,11680606.41,621177.066,3002.372163,35180.05938,NA,200684778.8,16492867.94,58046625.84,4305523.701,12856543.65,442163.6337,48967413.43,1895087.337,2310193.544,45483.59176,86440261.92,5323782.473,28189609.92,1047498.276,399797.1178,1507275.13,94377.09818,75865.95197,3012.695262,NA,1294557.094,93224.82758,135576.9767,7558.134804,33968.4508,NA,1605558.583,119274.1658,425899.1054,29602.38603,98794.30017,5565.723456,13496548.88,771757.6572,3173694.831,118285.0318,44630.09709,13951236.27,1564141.486,11803717.64,875947.8374,2562181.993,105963.1303,7670.808084
21,glc2 bay 3 c,65479014.83,3240250.534,24310532.58,567977.2114,2021094693,81498122.78,262750227.3,5810572.229,6637663.938,200573.253,402753.1572,6601.82907,181578064.7,11559301.84,610445.6116,NA,53549.48152,NA,211127341.1,17194603.87,59783152.44,4379363.119,13092793.64,485063.3541,50829913.95,1985584.167,2343839.09,50973.99321,89782272.23,5529988.403,29743820.71,1099414.609,422637.5165,4855266.139,280217.1424,96447.80504,1252.670661,NA,1844969.337,136254.4852,134453.7362,8979.587264,30544.58588,23672.40075,1752956.781,129285.1353,435946.5813,30447.95427,101536.5944,5577.751597,15539021.11,868046.4111,3120996.696,121919.82,47220.38958,16532697.18,1810722.754,12571195.56,934557.6915,2765373.772,117374.6715,10558.89394
22,glc2 bay 4 a,50409971.12,2749733.723,27039095.42,612038.6724,1126927655,49746844.83,308179813.4,7006305.751,6003754.069,173414.4979,459740.4777,8677.111347,178914077.3,11640175.67,557056.8511,3029.97448,29038.07692,NA,193594648.6,14918454.47,47682615.19,3173642.531,10812380.62,272159.9208,49275186.68,1914943.619,2326552.235,37608.30898,91713466.4,5661755.718,30852455.74,1154836.317,283686.8457,1456503.461,77580.51072,59233.65231,NA,NA,1160263.57,86483.77855,125077.9132,6974.30549,30863.0556,NA,1388143.717,98784.61776,314805.6607,20332.82861,79705.79823,8286.358987,12018408.37,688956.1214,3066798.94,110824.3616,30403.8784,10248879.6,1149308.728,8819110.686,642324.5715,1884311.684,74275.12545,3192.278121
