filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc6 21% 1 a,7368709.762,451289.4158,844234.6578,130655.6117,64330.75136,48587.05166,3393658.326,0,0,0,0,0,3851251.612,0,1168464.95,39332275.13,7718694.457,597651.1009,5378935.016,1269209.33,881125.7253,730930.4034,0,8116673.221,512297.7339,678641.721,412371.592,497113759,40241964.55,83182283.53,84209710.08,12242117.2,93187463.2,11183637.37,83619783.13,20878734.49,14626754.66,12310380.61,1678368.061,231415.5142,0,0,233692.2906,0,1459348.788,27913332.87,2370872.808,734778.0869,94675.78829,5903190.023,1016855587,83020340.66,210237395,45718395.93,34132245.65,16098273.06,412647577.1,23117977.35,2027785.769,0,0,0,517557647.1,17972106.23,5416134.999,162468829.8,108186880.4,7889868.631,16262032.58,16091589.17,1755181.101,978984263.3,169874553.4,14659895.66,0,0,0,0,0,0,1574238.03,0,1221402.898,10987593.97,79187925.71,2565704.377,1707556.908,55538452.66,0,0,9184.674386,0,0,0,0,0,19392137.67,511010.215,0,427191.4916,14102354.62,840389.5254,1032577.287,147149.7942,0
2,glc6 21% 1 b,7626399.781,480813.5144,988073.7626,228064.287,146695.7394,105141.2915,3207844.523,0,0,0,0,0,4019590.941,0,1381632.575,48733765.91,7894661.894,680168.0583,6452735.145,1502276.229,1187118.212,1027996.38,0,8097569.483,445831.1369,811411.2031,615067.231,480300135.5,39788274.17,88242978.15,88050138.03,14783332.92,99708932.91,12141804.36,96350415.38,23175603.73,18455454.48,15798724.94,2369175.414,174926.3282,0,0,297345.2531,0,1689449.748,34812274.3,2378110.625,465334.3297,0,7545445.365,1096082306,93914803.94,249844280.8,56861410.1,45807673.22,22315251.5,470854852.6,25574551.64,2430794.559,0,159981.015,0,829307183.6,28209998.01,8224039.576,246782969.9,115713119,7995476.834,19582788.48,18086149.3,2559756.241,886016534.2,152845035.4,13831250.38,0,0,0,0,0,0,1624629.985,0,3322351.827,13263309.82,103548096.4,3428440.722,2411513.803,78103013.41,0,0,28645.07641,0,0,17821.6016,0,0,19166002.83,498687.0442,0,521052.6739,35888595.65,761210.8111,1194962.763,213172.1833,135455.5571
3,glc6 21% 1 c,8366045.376,517950.9324,897396.77,179134.3119,116880.1964,58329.11566,2576589.061,0,0,0,0,0,3433712.092,0,993433.0594,37799090.4,6890974.975,546789.1605,4920298.479,1162804.805,776761.2638,625676.0993,0,8986481.337,508777.3319,870108.7059,415860.7978,523195322.8,42472834.44,87941282.35,86605057.31,13005474.32,74992305.29,9306472.87,66864454.15,17540862.59,12072994.3,10080842.78,1443770.751,48928.28702,0,0,213247.2303,0,1219777.031,23843441,2513834.247,818857.3817,88822.23183,6861583.499,1006811160,84428082.33,211929519.2,46252614.21,34938962.53,16368452.25,467520610.5,26100151.87,2068904.694,0,0,0,651175262.9,22419535.43,5485618.298,159493460.9,99727135.93,6874717.77,15479144.52,14069992.86,1575671.057,1224049846,211474746.2,18027246.39,0,0,0,0,0,0,1186671.02,8658.84257,0,9741833.3,87498306.22,2949212.206,1574394.984,51793065.35,0,0,11977.70123,0,0,0,0,0,23429833.89,566333.868,0,558517.0964,17433667.16,1009151.353,1142971.201,209646.828,113685.3301
4,glc6 21% 2 a,35237996.48,2381647.176,5955384.056,1205514.039,1504695.65,982734.2019,7339452.982,0,0,0,0,0,2887103.071,0,2403239.48,80744406.4,5891334.617,441783.2814,9746157.706,1660661.928,1851571.921,2655682.412,316974.7924,13191780.6,639638.0749,1377081.008,1687522.642,626836779.7,41842673.94,112491104.3,174360609,31075796.69,83599163.1,10757922.69,144952009.6,26382925.85,29372321.52,40820207.81,6400025.021,519532.324,0,0,198658.6308,0,3456209.845,60928583.85,4074407.411,1010107.628,742806.3174,31292378.38,1735328602,115216388.6,326455849.5,67155828.15,83738613.3,52022563.22,813818403.6,44823237.09,4572586.417,265055.1758,560381.8075,398516.6488,690612858.1,24438821.15,27572285.06,784543005.7,182030617.9,11263336.38,29635537.67,46291541.33,8181427.363,463978689.9,71228502.3,5547394.011,0,0,0,0,0,0,1171784.953,0,2365075.743,23663580.08,61584407.35,2020613.61,4447908.727,137866884.4,0,0,5090.364942,0,0,0,0,0,36162926.79,986811.2677,83632.65267,963876.4853,37735249.97,986151.2902,2017111.957,414092.7962,601863.3131
5,glc6 21% 2 b,33026179.66,2211931.37,5832135.913,1229485.555,1407664.219,855226.7515,6491599.443,0,377753.933,0,0,0,2693799.355,0,2096182.988,72714207.94,6148258.368,499166.1662,8940397.062,1544580.141,1747021.745,2332578.137,310818.1262,11456134.48,718802.7343,1323370.694,1411678.988,583688260.4,40485263.31,109805460.2,164218995.5,29012978.95,72961793.46,10147397.55,138369294.8,26833133.7,28993625.97,38883222.26,6219777.836,406296.5656,0,0,121829.3175,0,2741625.746,49333305.46,4086647.405,938569.5737,660626.4437,26343376.04,1564394840,108150357.6,306381105.4,64822407.61,76425052.47,47715786.32,687947378.6,39431803.73,4710025.262,341444.4845,599185.8527,336050.5586,587177190.4,20623342.7,17085884.94,494445350.9,170686072.1,10681479.57,28207765.06,42335024.62,6718880.914,279029402.1,52459733.88,4067401.836,0,0,0,0,0,0,1050324.108,20111.56783,1537331.064,19130640.64,60293460.76,1988068.847,4075457.34,126118334.7,0,0,0,0,0,0,0,0,34157375.21,968966.083,123017.1124,1016269.58,23616057.21,1214117.103,2049816.016,420791.0564,560713.7916
6,glc6 21% 2 c,43318229.41,2936254.794,8374814.027,1541099.374,1952279.027,1259725.198,8848563.161,0,508938.3684,0,0,0,2931720.889,27960.95719,2871551.732,86387635.23,6355884.446,531575.0292,10096339.97,1843911.589,1943481.086,2786071.123,211490.061,14198825.46,780429.9339,1613122.686,1629183.039,685245928.8,46141401.6,124786978.4,194716456.9,33932412.3,79715500.24,10890328.74,155260417,28110280.71,31323864.94,44547574.44,6994466.534,490950.0605,0,0,235726.8135,0,3553559.547,60268915.18,4391165.179,1122477.92,806328.6153,33932833.06,1939680060,130416874.9,360930237.5,72615910.78,92113224.76,57354453.43,901297321.1,49187051.29,5322468.71,471321.8834,730925.0422,408435.1834,726870864.7,26045022.71,23444792.6,678467774.2,190213297.4,11165509.45,32645219.26,49296682.02,7399703.861,226012868.7,41583980.38,4374221.043,0,0,0,0,0,0,1141497.677,0,2309675.35,21279069.71,58287383.73,2059605.862,4441140.722,134578773.7,0,0,0,0,0,0,0,0,43051309.27,1234309.108,63468.29307,1236903.587,33194552.74,1346396.94,2536753.498,487604.6538,648059.8525
7,glc6 21% 3 a,136079976.3,7974616.525,15230803.48,2437335.273,4117462.273,2653834.143,20722197.79,243344.4353,790811.5813,0,183002.1976,0,2892573.682,31941.66829,3167876.679,98561182.79,5980321.2,424159.3935,6956911.746,1008210.494,966719.7576,2812365.825,66426.43135,16637065.81,319728.7343,1417688.563,3124197.121,580804102.6,31515577.1,64075038.83,217523625.4,18372462.96,62893141.02,6996185.37,94595149.6,15229799.27,14637272.12,37968635.12,4067372.546,1252312.768,0,0,714625.6059,49799.98024,8378084.818,137088686,9624099.939,823874.1681,3210912.989,99463647.68,2418677922,146746460.2,262617186.7,42370481.56,73218188.68,50385689.74,916526372.9,49615773.56,3570329.877,0,96752.55344,0,607588344.6,22608991.19,63237522.71,1803259279,295461173.6,14471682.58,29486376.81,106975525.1,7757501.667,453637530.3,69346277.75,7463300.657,0,0,0,0,0,0,1177598.125,0,7554143.777,26816878.47,34134257.43,1193007.471,5709618.512,181648108.1,0,0,13138.88999,0,0,0,0,0,56007643.82,1418948.782,182841.4235,2230722.223,30220753.8,1095359.201,1717774.638,164885.9722,710416.1109
8,glc6 21% 3 b,149889458,8562981.319,16995472.41,2705678.771,4953933.227,3395237.868,21256264.98,586023.757,980444.9973,0,0,0,2532850.968,31132.30714,3090979.122,98548426.21,6227649.309,423376.4313,7865789.109,1182141.475,1157925.639,3531929.376,170459.2146,15434784.68,228794.3111,1453582.755,3531296.675,510350994.2,28615243.98,59349619.79,201458453,17582880.48,71492658.52,8251019.932,109890410.2,17516357.5,18766077.79,46992279.03,4870712.138,1804380.296,0,0,1155845.455,135415.387,10827462.77,164971547.5,9971049.484,690214.0793,2871758.209,99971521.87,2370860291,142269084.5,281455038.4,46341070.67,84336378.05,58638131.46,822191500.7,44243902.33,3588366.151,0,383146.9102,0,980220550.1,34339249.69,74711183.18,2157949804,279944737.3,14683973.51,31309674.41,109928786.8,8096749.74,322331014.6,57023520.88,5289560.937,0,0,0,0,0,0,1131584.63,0,1083719.13,26676976.24,55571234.98,1789986.49,6667392.999,215279540.8,0,0,4480.339457,0,0,0,0,0,46390151.55,1252817.454,252568.5737,2082593.039,35190961.51,962591.9211,1858845.97,209102.0915,833150.8268
9,glc6 21% 3 c,124065496.7,7545810.778,13273700.65,2143933.901,3601688.682,2475370.111,16642062.55,0,1018619.221,0,0,0,2283328.729,0,2630602.531,89698863.96,4529519.872,171925.9434,5521321.242,742129.4214,808305.8233,2338145.929,58231.07262,17180719.94,240311.2159,1143995.381,3733890.55,525956367.8,29687369.93,57017880.4,196478525.9,16855948.63,56910350.25,6129083.919,84374594.03,13331361.05,14162264.91,34346977.37,3582886.798,1371723.861,0,0,928325.7045,77378.59011,8826089.48,138035415.1,8441677.534,773349.6821,2935906.229,91712869.53,2202243112,133045919.9,241613687.1,38497415.42,68103826.16,47697598.73,857532254,45582803.36,3582632.16,0,341379.139,248087.5965,1041028064,37371748.02,61358120.62,1750770829,249500797.6,12430929.52,24616469.27,92674043.28,7158240.484,551784491.9,99060276.42,8452875.943,0,0,0,0,0,0,846627.4162,0,1424918.96,24484337.67,45557884.98,1645878.097,5315505.354,174799353,0,0,0,0,0,0,0,0,51211245.73,1366798.098,203126.2083,2296200.865,28807112.01,1136374.032,1599391.501,151127.4889,650661.8279
10,glc6 0.5% 1 a,5732635.35,272989.4091,378942.8217,0,0,66194.20743,1060293.483,0,0,0,0,0,2975433.787,0,393367.8557,16133618.6,5653823.752,303234.6249,2656901.473,1084455.25,291829.1732,491705.7986,0,5183632.577,65458.10418,327517.6035,375636.6043,236712052.6,15543093.52,27473665.77,59442752.02,5431052.527,66308127.47,6751167.111,40782157.93,16315962.48,6448027.661,10330136.51,667111.086,177960.2765,0,0,1089319.039,0,802099.5826,18535591.58,763655.4692,360326.9878,0,2053624.477,574909811.4,48161057.01,153082122.1,40346828.08,29367699.66,17143388.16,432726538.9,23656537.65,1127912.135,0,0,0,442726158.7,15430592.82,1598902.647,52485981.2,44602701.81,2431208.532,4128276.83,9214793.478,607260.613,1382156261,237068513.6,18116784.07,0,0,0,0,0,0,988236.6428,0,2088437.818,4085409.512,62676780.08,1981031.409,560477.4525,21201247.67,0,0,0,0,0,0,0,0,19227511.98,408342.6427,0,424178.2005,32796403.12,1387419.598,458329.9177,0,0
