filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,lac3 21% 1 a,3669429.44,309480.577,540062.4066,123054.1969,69154.28746,86324.42378,4067466.375,351450.8145,869586.9258,185126.8641,140111.9647,89050.14093,6131790.123,217122.3619,16756.98443,915164.0455,178348483.1,15605340.61,30829704.36,30486034.14,4231107.399,43816013.92,5851471.358,41217814.17,11316636,6908324.477,6144481.656,741642.9313,520328828.3,47377777.57,112484998,23983310.02,17778906.1,8912564.343,271409135.9,17643982.86,1603805.058,256020.9981,110076.3577,12943.97869,3090074175,115020219.7,42942972.27,2195405287,42737870.17,3555682.755,6523843.857,6107708.887,863458.4432,172574614.1,7140930.176,2325915.126,112115236,27928961.17,1013123.057,0,5505.560323,3606113.295,244262.8016,529003.5924,92158.21693,0
2,lac3 21% 1 b,2798387.896,299539.1178,451017.1313,113826.814,62741.66017,61462.87701,3410696.279,291888.2821,722144.5164,157952.1544,113619.6456,80723.02098,4174879.378,159864.2482,10555.54845,718993.4688,164178601.5,13932247.76,28162596.02,28324836.03,4020651.06,44257962.94,5907877.487,43527296.85,12050086.38,7278034.589,6413044.007,785049.3088,490167483.7,44835915.29,107411824.8,23846301.24,15998744.82,8413261.591,237177971.1,15613978.72,1480208.608,183994.2637,103493.1203,30970.1535,3102011861,113951085.7,40035214.18,1990964444,36851412.08,3105733,6017130.729,5658896.461,820884.7823,102305630.4,4408492.362,1211068.256,61266176.18,23147981.76,851230.7535,0,10915.84611,2811795.837,250147.8699,457797.6173,71387.06896,0
3,lac3 21% 1 c,3241871.662,294897.729,523791.593,133478.7836,65488.13073,68378.20899,3882480.191,351198.4361,845181.8734,178787.9204,131217.0963,85784.81485,6115330.35,189526.4118,16655.91179,781357.6502,180659379.4,15751965.51,31083204.3,31192523.17,4405815.881,50104051.21,6541870.869,43680682.25,11993253.92,7312965.822,6438877.722,779201.5829,488054331.1,45108833.84,107105771.8,22699170.21,16546284.65,7978716.128,217376204,14312794.55,1485879.591,206333.7769,86430.89099,51620.81199,4672383787,175189122,32738700.46,1640922201,46590946.63,3685741.681,6300025.735,5818972.198,827966.6351,158639014.5,6633214.046,1550370.272,77042955.59,26327436.35,966609.0455,0,6378.803544,3699757.966,284784.1091,558010.6592,89929.02887,0
4,lac3 21% 2 a,12343424.34,1064462.694,1825510.267,393413.3913,246944.5993,163507.6353,7445621.879,573333.4254,983861.125,205915.2344,137016.2149,98527.4056,11134822.93,364489.2035,53439.3459,2310490.503,229850954,16565030.42,26491002.92,36705240.87,3652361.487,57876715.72,6650553.57,42609401.24,12142715.19,5472883.81,6259724.533,567864.5543,844294277.7,67325520.8,124151572.8,25504482.79,15704735.68,8701666.364,470006341.6,30835137.66,2701288.421,333933.6902,152529.2239,58541.67217,6362548830,234509194.3,63311736.95,3082519511,76125785.09,5413995.797,7968393.696,11091007.74,1055897.619,191524740.2,7843603.714,2372979.274,112444025.4,45889365.41,1736402.367,0,26155.92946,5760830.74,393356.6436,725954.6019,90206.39018,10635.44375
5,lac3 21% 2 b,11202694.84,934083.4403,1736929.211,385957.6592,231875.3801,164281.522,6788115.302,519361.0941,1024241.808,210977.3108,150570.0148,87486.51303,9392603.227,319598.3485,46263.81294,2006220.439,218439300.1,16026706.46,26515672.22,35899965.6,3567669.016,59470516.59,7045200.238,46867523.44,13444808.42,6341007.266,7087488.35,647114.9732,771690301.8,62988580.63,120010202,23655707.18,16310578.41,8746024.749,390311903.5,25515202.86,2447755.735,246241.6358,150956.057,44645.20337,5879369235,218977914.8,82131563.53,4026120943,76468029.74,5429938.698,8568938.179,11538870.2,1187897.98,152707174.2,6185265.324,2282365.974,108051652,40326446.39,1488886.062,0,28677.66653,5401976.802,365864.5408,683334.0519,85043.48744,0
6,lac3 21% 2 c,9734826.089,825091.0458,1528543.498,321945.8864,216352.5177,149269.4958,5855290.783,464049.6735,872283.8705,183910.2797,136162.2344,100212.7648,10149312.95,362003.0039,46503.0673,1984690.417,219996257.3,16857132.85,28725905.56,37310234.77,4132663.069,55942117.44,6615196.741,45086965.67,12833052.36,6353751.001,6952189.11,696066.8884,678851276.8,56279737.22,112047395.4,22210609.25,15615890.03,8072646.675,352372490.5,23172478.18,2038429.175,228046.9963,146901.0311,57774.11944,5361401800,200581008,61540051.18,3029715017,63014041.56,4455948.423,7021570.923,9285037.481,991029.1258,147943095.7,6116484.025,1998692.325,97745419.3,41608632.89,1561659.531,0,10757.08122,5299693.786,372573.8386,678250.4349,88234.43255,33254.47584
7,lac3 21% 3 a,40500309.43,2958851.658,4056922.401,710511.0098,425107.5818,317291.5603,14845179.8,1105141.285,1334179.755,259933.0251,151814.8161,90035.20206,15797204.63,503400.0327,125879.6494,4672561.754,196954582.8,12028215.84,11517555.23,27344067.24,1192934.734,59784540.54,6060109.623,27579034.1,8926990.469,2306946.564,3067810.292,151440.2221,1046273065,76553742.45,99843100.22,19145929.32,10189077.21,6050905.524,397835052.7,25530406.23,2363045.606,200042.9337,124451.9312,18017.43964,8155849309,307224571.9,77924330.04,3560109425,100072424.5,6109895.612,5694908.445,13713952.02,644810.0975,244302903.1,10040846.13,2541115.607,111851933.4,46326600,1724159.214,0,60939.68596,7851407.191,473308.7173,680154.5525,66008.10871,12552.61055
8,lac3 21% 3 b,35372545.7,2563782.943,3574020.837,667273.3744,367356.9519,243713.5333,13093916.2,949722.0325,1165574.637,237381.1104,132358.5741,97058.34878,14255713.21,526370.4293,93824.21867,3746241.974,201923640.6,12288675.18,12076384.19,29743095.91,1372741.845,57555791.55,5946230.117,28510731.1,9300616.322,2490466.622,3600934.123,190272.0375,1021196942,73827228.2,97518481.91,19080757.4,10825102.76,6160375.938,338917653.4,21702885.58,1817819.49,149161.4816,61767.41598,52514.75274,7938062266,298446266.8,78600416.18,3613550341,94604026.44,5892079.801,5620191.599,13790351.25,665390.8642,226594376.3,9130977.468,2298741.978,106013762,42687653.71,1581961.349,0,38950.21007,6924934.193,436767.6318,588578.0868,50265.14445,0
9,lac3 21% 3 c,45865450.41,3398983.597,4564859.754,903510.3627,489521.4344,394662.486,16843015.8,1216926.247,1567225.581,313639.0195,168133.782,126830.3402,16192369.54,551621.057,121053.7144,4733812.705,221123848.7,13784309.43,13168717.18,32105984.51,1467821.173,68442632.61,6988825.165,32165442.92,10644774.53,2797303.897,3851067.493,191369.9223,1141136980,84711423.31,112059214.9,22986356.51,12013939.11,6906805.739,414179240.7,27131560.58,2414147.646,262107.0317,114348.8469,98402.89881,9647889683,361578404.2,90478362.54,4199912960,111496037,6785003.15,6685623.951,15981574.09,741827.4069,234427549.4,9646423.139,2373806.106,104538376.6,45080392.61,1727902.085,0,64416.43928,8574950.174,556367.8541,765838.3392,64506.35886,10471.2016
10,lac3 0.5% 1 a,3265066.905,237751.7082,246374.0143,70088.10123,37192.11624,61037.65273,1469636.257,117353.196,351077.7694,100318.609,82417.67049,91466.35373,2101076.767,70446.92538,2242.458532,274108.4661,52579546,3565478.213,6554132.751,16343855.99,1622134.807,24167314.02,2765253.635,20731593.47,8812107.832,3770364.929,6312250.249,550427.1878,162799133.4,14732742.55,48171923.25,13017939.71,10354089.45,6980151.463,130940530.3,8486331.326,452531.7764,36422.737,25180.27814,41765.10504,2136033612,78506357.94,19861985.02,1050412396,14699380.11,944218.0539,1257222.21,2662182.469,292565.0185,45313085.74,2009364.738,387615.9049,22694191.67,16305330.24,635519.623,0,0,4455274.342,257359.4911,203649.712,25452.27813,0
