filename,id,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G1P M0,G1P M1,G1P M2,G1P M3,G1P M4,G1P M5,G1P M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7
1,glc2 21% 1 a,956589.4156,0,827060.8102,0,8752822.485,722096.2676,2708210.116,71632.73472,74796.41379,0,0,187970372.6,15507472.84,46980125.76,2679292.996,3469837.894,60937.08719,0,1010513.932,0,1776806.982,0,413617.3442,0,3533214.778,247484.7706,424607.9719,1462511.831,0,0,0,0,0,0,0,0,2428913.952,35753.67775,394269.5705,0,54863.4918,0,664394.5625,0,0,0,0,474008.2953,0,808513.2033,0,59762429.89,9993226.752,1078998.909,0,0,0,0,0,0,273957.4756,0,352712.684,0,0,194611.2888,39159.81854,34671.22307,0,0,0,0,0,0,0,0,0,0
2,glc2 21% 1 b,1126559.206,0,824485.2623,0,9497917.434,715665.371,3073483.931,91069.77563,145889.1026,0,0,169234884.5,14527735.16,54361729.6,3099670.812,4075946.226,106957.1169,0,491962.9937,0,1042620.478,0,629827.4136,0,5234785.838,354539.2171,592716.9716,2037754.818,0,0,0,96861.27509,0,0,0,0,2285724.542,52670.37808,467737.9897,0,43555.24905,0,680738.9704,0,0,0,0,483773.2907,0,680104.5666,0,18443745.69,4127643.787,674533.0587,0,0,0,0,0,0,320851.7576,0,213245.623,0,0,179915.2212,0,108597.3636,0,0,0,0,0,0,0,0,0,0
3,glc2 21% 1 c,769756.4061,0,790340.9647,0,7585587.008,591906.9458,2510911.259,0,105850.1881,0,0,118325611.8,10103475.83,37827724.92,2069682.297,2914898.06,64668.55233,0,185860.9012,0,0,0,587792.1519,0,4723043.088,276694.7604,668131.6264,925903.078,0,34733.24661,0,0,0,0,0,0,1793573.235,16516.3147,323793.2683,0,41079.93406,0,494160.7528,0,0,0,0,417106.9474,0,1487220.328,0,31631776.88,5898745.249,996439.7446,0,0,0,0,0,0,270529.9611,0,241282.745,0,0,126281.3574,0,62339.27396,0,0,0,0,0,0,0,0,0,0
4,glc6 21% 1 a,88989.71173,0,0,2139651.43,6926069.271,453419.4445,5114106.177,990387.4916,402971.4714,696268.4067,0,121606472.3,10858100.22,86543311.64,18438594.16,7594113.632,12182808.41,728130.0149,0,0,0,740645.1681,148720.7378,0,0,419723.8995,0,1456812.112,7484831.138,0,0,0,0,0,0,108419.4937,1879451.003,0,0,1183508.561,0,0,0,0,0,0,705079.2831,241027.7369,0,353758.7413,299604.9416,37116154.53,5989130.137,826470.9086,0,0,0,0,0,0,20564.56967,0,0,529701.5917,0,0,0,0,0,618759.2215,0,0,0,0,0,0,0,0
5,glc6 21% 1 b,61387.26067,0,0,2017540.023,6262972.558,472292.7094,4556280.819,841914.4048,345133.9839,747024.9751,0,113782260.4,10244844.04,81828748.81,17117476.43,7418392.412,11779024.29,713748.0933,0,0,0,601659.6182,147722.272,0,0,366422.1528,0,1893382.146,6574532.211,0,0,0,0,0,0,109104.1139,1635378.546,0,0,960137.7657,75491.83499,0,0,0,0,0,559182.8864,171405.7243,0,468458.1122,248968.1175,18670818.25,2916189.759,399176.1505,0,0,0,0,0,0,23686.44755,0,42455.16541,510973.0879,0,0,0,0,0,527976.6412,0,0,453127.2455,0,0,0,0,0
6,glc6 21% 1 c,124033.9527,0,19148.55442,2476169.035,7732764.296,647114.1374,5878126.107,1221879.032,487025.1367,811328.8905,0,136787133.4,12546275.77,97608597.83,20881832.11,8621492.513,14217878.71,750845.4814,0,0,374040.9023,900334.2602,192260.078,0,0,477313.9511,0,1926039.321,7666487.394,0,0,0,0,0,0,90999.81533,1958730.933,0,0,1271971.16,177019.1256,0,0,0,0,0,464296.8208,279020.8556,0,178503.7008,452996.3293,43471529.72,6717466.586,712123.9132,0,0,0,0,0,0,0,0,20489.45443,708352.4026,0,0,0,0,0,625340.1269,0,0,905344.4564,0,0,0,0,0
7,q5 21% 1 a,2135424.492,0,0,0,8070166.888,565369.3689,489557.662,595621.3907,4108085.46,776185.1121,0,123144337,10106447.55,10143018.8,9902530.04,58257204.22,10248595.91,0,466726.4601,0,0,0,7038467.192,347211.8206,0,22519.11839,0,0,0,224342.9374,0,0,0,0,0,0,3123812.694,46640.82293,0,0,1384074.178,0,0,0,0,0,0,1017976.905,0,1010783.191,0,69748510.62,11913885.58,1465026.701,0,0,0,0,0,0,535119.6691,0,227489.6097,0,583841.0991,0,0,0,0,0,0,0,0,0,0,0,0,0
8,q5 21% 1 b,1804678.317,0,0,0,7045539.692,601152.3268,437510.5326,608516.2893,3751915.468,775126.4976,0,126602295.5,10466510.09,9804221.799,10531517.74,61837341.77,11053607.37,0,469914.8517,0,0,0,6101042.187,324481.0526,0,0,0,0,0,161949.2495,0,0,0,0,0,0,2579471.969,0,0,0,716040.9361,0,0,0,0,0,0,610147.3899,0,275425.7544,0,38501562.21,6739244.096,1110517.181,0,0,0,0,0,0,457082.392,0,0,0,451211.2965,0,0,0,0,0,0,0,0,0,0,0,0,0
9,q5 21% 1 c,2019832.118,0,0,0,7872018.14,542840.5154,359950.7577,563663.3328,3625984.412,675706.8606,0,135159316.1,11233172.83,10190859.56,10967437.58,65539122.46,11520130.75,0,514910.5499,0,0,0,6170251.921,298182.2283,0,0,0,1348006.38,0,156451.58,0,0,0,0,0,0,2575449.688,47767.58172,0,0,701410.2432,0,0,0,0,0,0,747682.0317,0,272079.092,0,136874948,24081274.03,2267021.473,0,0,0,0,0,0,527605.3749,0,0,0,528582.522,0,0,0,0,0,0,0,0,0,0,0,0,0
10,lac3 21% 1 a,1877410.349,0,0,24406.50325,8928566.912,623377.2418,3384946.364,554931.9537,91699.47836,245083.5517,0,135584390.4,10759579.3,52758605.15,11066073.27,4032017.802,4010083.791,46648.87854,449103.0301,0,136144.6568,0,6337493.592,364130.1782,0,199824.3563,0,0,0,197725.4057,0,0,0,0,0,0,2883338.349,28656.63281,0,0,1205682.498,0,0,0,0,0,0,661201.3397,0,299110.7654,1136339.775,98351259.28,17553459.66,1763710.607,0,0,0,0,0,0,466856.005,0,108580.7078,0,525147.2567,0,0,0,0,0,0,0,0,0,0,0,0,0
