filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,2858404.476,234699.3566,3273407.275,294751.3574,88255001.01,6747429.267,80869960.2,1645642.545,5310681.718,509135.3765,2296388.22,70475.50321,22674383.84,2102097.599,409144.9668,0,11734.67985,0,51007854.24,5299838.625,9989784.015,1177402.822,1931439.974,274600.001,3349994.656,196823.4411,191196.8289,5319.631272,6754925.137,652606.2327,2565684.239,0,113548.2839,1273944.233,142649.0176,278756.0674,30839.63497,75122.57908,12054.30307,392564.8943,28049.45059,20506.87938,4028.000177,30549.44476,358325.7996,32699.02529,81572.81347,0,0,9087.033031,10928166.26,1009047.092,4056151.033,275190.7306,211455.0921,456766.1454,78360.57898,485163.3167,40042.39978,84827.03914,4383.265345,6923.256295
2,glc2 21% 3 b,2662077.46,230921.3965,2454442.68,134310.3968,124249532.1,8237493.147,84940522.49,1588161.872,4588883.691,323803.3331,1604783.064,0,18836283.84,1719388.448,355467.9188,0,0,0,44083149.6,4677366.407,9575445.283,1156502.985,1733310.494,132802.3539,2950886.018,160507.942,125559.2663,42384.0556,7017760.696,711484.7476,2718733.676,0,131594.995,842280.9324,110740.4696,217239.7885,23712.17776,94381.3536,20223.42723,515486.1415,32564.1097,23823.45726,0,70781.41562,308284.9327,31526.47985,72407.57123,0,0,7183.628417,10252595.74,992346.1739,3904406.003,285413.2951,265648.5106,542775.7206,91405.62412,645410.8026,51264.68822,111851.9086,11491.07629,7946.532805
3,glc2 21% 3 c,3359498.506,282392.0305,3480465.975,130411.5035,117518643,7722778.477,81430051.33,1962709.49,5207298.91,336173.9604,1965020.015,26025.91366,22356676.76,2073150.705,414846.8007,0,0,0,49808828.67,5187315.855,10167189.76,1287333.065,1855619.168,90446.94194,3529965.68,199219.3371,161296.3288,0,7718402.991,749541.4251,2965352.501,0,232270.7815,1133674.719,152036.7703,221596.5645,27520.56429,65440.35009,27019.59366,642165.6555,44965.77146,25952.5161,4323.951342,0,366803.5797,38806.17736,69571.74757,0,0,0,11011218.05,1017153.27,3822930.135,233644.9095,202738.464,536488.9789,80998.54309,611840.0136,56600.07483,84939.05409,4408.21899,13352.46941
4,q5 21% 3 a,6075396.763,313609.7068,62698.9278,356814.3174,205487208.4,9801717.18,2422789.402,945233.7803,6238337.001,393711.7808,60686.27888,73284.82003,328132.6962,38528.88235,4839.617758,215682.5466,1567578.056,52075963.15,13027075.08,2125013.123,2302095.112,10645163.35,3356234.464,96167503.09,3875768.85,182196.2118,45293.85788,0,5003563.853,551763.932,1085893.601,2079139.801,6797200.257,375538.4476,56511.45768,59451.51605,245269.9207,122603.6255,1963010.262,231052.4291,26538.31398,26767.97504,12521.98715,293181.8773,95893.68716,13871.31011,12183.91761,102374.1438,21010.23016,754871.8805,7063409.847,782705.4306,1597866.654,3277454.508,10284510.11,454892.9798,71772.18535,101238.1478,162450.3223,511629.1239,169744.331,25782.61371
5,q5 21% 3 b,3431905.166,190856.8053,29020.80548,189156.3316,177001808.5,8351642.114,2061420.443,826924.1234,5399514.72,379689.1987,65735.51078,71315.90865,300237.3368,37176.27172,18685.84546,224105.6676,1407673.233,46058524.97,15061456.84,2481079.298,2743857.375,12014141.25,3655157.897,107822245.3,4057682.166,202303.5455,44669.45726,0,5172929.175,592734.7189,1124579.507,1926030.195,6840303.42,425620.884,66439.76535,82942.35352,277731.0463,649851.0405,2124807.561,340237.121,22481.54422,31997.46463,10723.85656,369235.3533,84906.6383,14291.73528,12274.84992,76225.027,24338.3788,772439.6383,7381407.835,850878.9506,1722862.159,3340349.629,10686855.58,600946.1578,82898.65562,120068.9283,204785.929,601090.2201,171020.3373,21502.89408
6,q5 21% 3 c,3037891.724,175065.2563,27055.64527,232816.7584,147758041.5,7030284.458,1425299.748,834990.2475,5955677.378,375571.088,54320.06892,0,341403.7537,50029.74431,4088.918767,240409.6916,1675285.295,55431774.69,12569703.84,2128253.931,2302084.54,10450786.42,3205424.76,92557235.18,3659184.823,179377.6054,38629.59311,14754.7824,5037950.116,575031.8667,1149007.275,2069001.254,7119213.006,366435.5787,62343.49796,153706.079,259100.9183,247411.1406,2064407.934,394297.0219,29924.75182,30224.10085,14414.75589,209262.5547,79602.8992,11564.28059,10521.99239,69683.4691,0,674440.3809,7411184.796,819760.5349,1786757.339,3423966.241,11136334.13,441704.2592,67631.16093,95794.22404,162224.4181,500054.0846,164436.4378,14468.05873
7,glc2 0.5% 3 a,1109730.714,91181.1043,1075648.326,163203.7776,43164914.54,2719472.484,31020573.01,630750.4508,2122688.294,178091.8429,512180.0967,13327.87884,15285165.53,1424256.971,227701.9718,0,0,0,13397911.49,1400108.396,3989694.423,368656.0102,948739.9668,72021.75458,2978324.262,154808.5411,147589.4894,0,2480539.449,220410.5104,1230884.865,0,57597.39904,342512.7843,52223.62203,122315.9407,10257.7147,35787.74295,48318.66539,242440.6638,24470.65264,13901.1474,3960.135823,30991.48475,101637.4374,9978.882989,27430.34534,0,0,0,2827239.594,239784.5502,1189294.191,62206.00248,42031.86066,275068.2718,34660.85096,263779.9742,21937.65219,52792.59501,1753.601014,7421.985197
8,glc2 0.5% 3 b,1305869.563,101943.9784,1279906.162,229676.6633,41863378.09,2653910.816,29491663.28,512032.3484,2043179.148,121821.1482,456880.2636,0,14391531.39,1296198.469,259470.0332,0,0,0,13476300.67,1535354.123,4633582.175,467277.3322,1109702.019,70412.70156,2838853.578,158319.1505,140606.093,49324.60187,2305475.852,212774.5099,1138333.908,0,49531.10083,389125.4886,50153.51844,111606.011,17403.46175,36713.18701,11592.77768,228768.2586,21130.7732,26718.75512,2683.719147,0,111587.8917,9739.288946,34633.52043,0,0,9140.120182,2840465.368,254138.8798,1210668.76,61188.60835,62595.96787,347738.4226,45039.58592,392595.4382,30032.02991,94682.11065,4341.974756,5504.107726
9,glc2 0.5% 3 c,1337883.336,95011.78839,815785.9401,198364.3857,71284014.86,3938839.689,28003389.48,465356.7972,2138512.591,115524.0168,442954.8787,0,15526178.41,1409272.071,276549.936,0,0,0,14651307.49,1698893.683,5640302.526,659132.4261,1336705.436,64507.97605,3075779.161,164741.113,130580.6017,19287.70466,2665851.66,264677.2698,1284454.891,0,61696.06065,386409.8684,45274.75171,133683.0289,21505.06308,17862.26975,82364.74934,239065.477,22663.96637,30845.02703,4169.985851,0,116460.4902,10885.77728,37468.55096,0,0,0,2771694.744,239792.7418,1158759.04,66005.28819,74865.18588,323135.2503,50112.95452,371860.7594,32149.61895,79171.48328,3478.603832,4619.843377
10,q5 0.5% 3 a,1872797.064,101645.0413,12152.34663,149112.7426,97616668.97,4581967.639,439587.3235,25647.19229,2742226.103,197630.217,48930.09873,0,247578.6619,14323.10124,12881.58781,59326.75776,1164634.927,38932537.94,7641194.517,818454.5293,593138.6465,2205406.138,854465.2833,25591435.38,3917561.931,186159.3219,48837.80527,0,3088849.35,225288.1489,176856.0481,349114.3188,1086576.127,230828.1497,35578.58227,47110.04739,65479.53449,85931.37154,764871.2588,262874.0164,12124.67842,8694.663858,4860.421343,101747.6431,57139.67694,4606.138822,5740.583256,14734.9541,0,225505.1253,3158239.103,229785.0825,202336.1472,454237.393,1225509.912,450533.7638,45688.55373,25637.00951,72090.28826,124949.8552,112508.1049,2326.075289
