filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,6458352.089,576904.4807,7785040.659,209007.8694,259669691.7,19595604.11,239009670.3,5199035.705,11820987.97,874300.9237,5585158.487,130014.6465,72226304.41,6866269.761,1827103.633,98708.90122,142495.103,0,158143380.9,18887249.85,42703445.7,5955230.65,8392085.355,745140.583,8354139.234,535756.903,453167.476,7806.849674,28074844.7,3139529.703,11467892.49,895029.4563,764253.0725,2208533.843,258740.3754,655981.161,81499.14344,201612.2431,33160.98827,414143.3494,54085.99854,102450.1325,12457.54296,0,1007414.948,114288.1026,289008.2609,0,57165.80028,0,26749116.2,2831415.051,10969673.73,950310.3193,796179.8792,4361033.363,777792.6377,5537603.307,585419.166,1292004.129,111587.6724,42949.87102
2,glc2 21% 3 b,5720382.129,633897.5677,8338964.569,222155.4427,269803355.6,22624086.62,301778368.6,6568668.102,10279867.08,718162.387,5066057.552,164755.3058,62568235.75,5834570.214,1676774.283,112815.3895,128132.0029,0,157415165.5,18787308.83,43728340.13,5904344.14,8636362.962,827593.7654,6911228.056,499912.8638,428239.0691,5758.213997,27135275.59,2997833.975,11152894.25,884549.3303,711627.3233,2736967.921,323191.9248,758168.4797,118376.4658,184326.2274,67220.77384,567248.6761,48302.876,111609.2108,15250.32432,0,1145426.513,133223.9314,336654.6092,0,82475.26974,0,28959219.24,3216454.519,12089703.32,1092813.688,822714.5559,5070172.647,934884.5552,6729198.365,682110.4593,1502332.059,118285.7388,128241.8426
3,glc2 21% 3 c,6423907.937,616828.2584,8551914.719,198022.9507,238332553.1,19734191.01,268525384.1,5903691.855,11337444.8,792140.9428,5957856.786,187147.6949,69822939.47,6516989.06,1797854.386,132259.3128,132108.1007,0,162532506.7,18447531.72,42008954.12,5640205.737,8604765.331,606320.4795,7580874.877,538233.254,483382.4912,0,26386452.69,2891238.956,10397455.67,831034.0355,678566.3926,2881087.208,329720.9286,845716.2943,124637.2488,177789.8663,63032.98998,594009.9986,49918.8601,113100.9392,14898.37071,45896.43988,1165904.554,130498.6637,330674.4973,0,39557.57388,0,28126496.6,3072928.57,11318465.79,944875.9413,717637.4039,3998334.785,714269.5373,5151435.864,547554.4256,1187949.323,100583.7452,71689.22459
4,q5 21% 3 a,13717238.4,729745.2212,169683.1466,383038.9858,456013077.4,22192472.15,6208589.541,4944498.119,14865456.27,787872.8267,160098.093,156177.6322,1206643.135,235641.8448,202708.4125,1244007.716,5260292.449,172450294.7,36477881.84,8437161.907,9977520.461,43506567.8,10365634.65,293222356.9,7545674.59,430861.4325,66054.75306,7853.833671,13967872.58,2130890.831,5501803.864,6337085.938,26305327.51,795477.2992,182389.6772,241844.0357,824207.1917,205142.1544,5381064.905,141749.204,35329.54956,134555.9832,26294.94412,784753.2173,301533.7932,65294.64551,74924.04088,358914.9826,128319.6192,2563026.472,15816959.26,2488302.939,6040837.723,8014767.86,31967526.25,3451852.465,669587.1775,1215616.669,1546418.825,5528265.466,1527148.139,92995.79709
5,q5 21% 3 b,11031924.58,604160.4607,127793.3818,470183.3301,464710087.1,22650615.56,6561290.954,4778366.851,12189455.77,694855.7221,168268.1673,136120.7787,1066222.669,184965.1234,121612.0333,1035010.548,4469307.703,145609496.9,37249892.97,8522511.089,9397638.814,43926046.85,10116736.74,280940031.3,6849484.509,398284.423,91382.02525,0,14654238.91,2190289.454,5541446.65,6085789.917,25982628.04,861122.221,190845.3647,231193.5499,878277.429,379834.4901,5279001.572,222671.5459,50450.19662,132656.0358,29378.02492,811974.5102,296189.3402,67859.54609,70762.27412,347642.3359,76883.11199,2513459.978,17093279.1,2615512.86,6525661.878,8205835.47,32997228.43,4156586.21,822072.3418,1380840.856,1787502.582,6462104.135,1709997.621,114587.4153
6,q5 21% 3 c,10470945.8,545280.8238,126289.7243,200251.3984,368547305.8,18100446.76,4585356.146,3652160.249,14490053.28,856477.0155,146561.2239,132766.5182,1180933.01,269792.0534,219846.2728,1230010.671,5601011.847,181738269.9,37299682.18,8610758.552,9872978.426,43813545.45,9954108.592,285826762.5,7020715.812,382895.0708,96826.08749,0,14974842.12,2266568.856,5870313.453,6208200.663,27619023.31,831040.03,172592.8313,235107.3336,794185.4675,546244.4396,4924014.038,241522.1425,56896.20024,133893.9688,26414.30847,785688.6145,260320.8737,58812.77142,64755.06766,313960.7553,77582.75582,2125372.833,16747994.49,2719869.809,6598194.998,7814725.114,33691475.05,3798752.14,717575.2203,1292294.123,1574230.039,5953141.592,1487435.144,101599.448
7,glc2 0.5% 3 a,3071039.532,236331.0098,2938359.625,164332.8796,90650183.34,5922103.233,68940166.74,1312240.394,4092379.258,241588.2923,1066380.098,22384.31701,39155004.24,3672340.882,832381.2643,0,57426.94975,0,38532390.46,4946279.491,16883985.49,2131991.92,4104533.284,403107.155,6269168.645,347041.78,277012.6664,15634.59173,7228342.194,766287.7431,3878411.807,249171.6147,228230.9608,633528.042,80540.34851,295309.2197,29964.43653,78508.26306,3539.053245,289743.7224,30202.9345,65514.15236,10357.23947,18405.64785,303861.3506,34324.95671,125636.1733,0,29406.41298,0,6953866.273,718980.791,3320518.783,226614.0999,240274.0428,1551972.468,247750.9303,1942536.748,193442.8252,523187.9175,32540.5054,9716.538505
8,glc2 0.5% 3 b,1902894.016,169657.9073,1990843.058,207779.9167,66293940.26,4411025.278,55663984.8,1030960.604,3452969.126,233064.3292,895541.6963,0,32666104.69,3022152.217,716506.1029,0,41579.8636,0,36531566.46,5030384.469,17138849.34,2239172.86,3906796.827,408637.7551,5458308.85,295303.4285,245980.9983,0,6634639.591,780498.5804,3519575.088,276094.6782,240087.9686,528053.3745,74533.00796,192473.2404,30361.03703,53950.30725,7074.385276,248195.6692,24159.11084,69818.50349,7725.554898,0,252027.3701,31440.15114,113813.4581,0,30794.58513,5799.78862,6196508.428,701170.0879,2962906.957,222339.1392,226619.133,1636274.533,266071.6809,2077678.293,225322.1974,547305.437,42448.24354,28971.4925
9,glc2 0.5% 3 c,2621543.486,200057.5426,2451825.082,194430.3462,70041502.11,4569910.37,54004260.14,980145.9888,3736152.504,237265.7648,961915.4956,0,37050918.84,3392825.621,879421.8804,0,82358.93716,0,36126739.85,4848469.17,16729228.95,2220162.338,3808289.134,324225.2102,5931811.382,326965.8909,277899.5256,0,6943387.721,817454.5867,3619803.61,241646.0771,256156.3424,421565.6119,48815.71409,150389.5314,16863.19502,10738.82139,18816.95335,263976.3182,28645.45033,63107.62394,9117.021618,0,242379.9302,30734.20409,109159.3366,0,25321.05261,4942.590796,5829672.103,623559.7193,2820585.183,216948.3592,232526.5492,1693849.082,286778.0711,2162736.114,230843.0403,579606.2145,44599.5974,20067.26905
10,q5 0.5% 3 a,5824261.177,344519.9026,56827.08413,212870.2501,192153532.1,9031722.78,1912852.245,59151.948,5164614.329,301541.7281,54837.44076,0,752906.6374,72104.03545,22843.30668,344723.0219,2968749.915,100152824.5,23746159.56,3553110.958,2822692.661,11483720.23,2357439.616,66764602.69,6688914.6,322988.2618,65847.72814,0,7315962.807,709078.1785,864474.6087,911154.6955,3961972.051,439750.8157,68471.2351,41476.41,162474.1299,6125.7468,966397.4574,161208.6486,26460.16253,54569.59467,7473.713382,299354.8685,197830.557,28230.65586,15250.94615,100479.0329,18692.93074,614962.9447,7078137.699,674103.321,996560.7058,1006670.629,4151831.97,1878643.465,246954.2201,242695.8598,342592.9025,891222.4624,421510.8082,9222.75412
11,q5 0.5% 3 b,4204139.376,242956.9945,34979.84844,149821.1409,105969001.8,4944326.617,1454804.214,39789.36359,4371112.81,242412.8174,39933.13328,0,704581.8932,75601.85187,16113.10527,336855.7758,2591462.952,85750366.7,21657436.3,3579373.676,2732307.304,11331146.3,2119885.471,58893611.9,5689851.77,277134.9177,61829.98259,9263.708864,6816456.961,707082.0998,1025647.51,676177.3469,3926000.423,397404.3682,58885.64467,66624.87014,121576.9418,49134.70629,684607.7338,334056.9159,22261.22397,57061.72531,5860.461771,210786.6242,182710.2728,25953.57008,16450.40617,99909.12314,16728.52873,494400.8606,6795432.493,696558.3706,1009470.108,743475.4992,3925098.726,2547124.893,329513.4112,335550.1432,426821.9113,1251476.495,483863.0902,10761.54164
12,q5 0.5% 3 c,7303312.699,402784.643,66762.36265,156172.427,96904671.83,4602439.156,1156581.409,22458.19133,4251797.979,339446.1487,90019.16793,0,2751248.354,276362.3113,35782.18393,319464.2151,2489294.078,82573219.13,20222599.01,3210624.553,2390607.389,10709252.87,2062337.168,56557626.77,5797405.785,290026.0183,85915.01588,20108.1759,7020509.009,717130.0751,1022228.151,649430.005,4065696.137,444779.5018,54900.44913,43882.4947,75894.12467,31701.58483,510107.5031,600881.2187,60510.82213,45303.11185,5908.978659,229394.4839,157373.3132,24048.43202,10504.03513,91502.95598,14504.68581,481685.9752,6442164.821,636012.2508,934046.684,669618.6568,3737218.594,4215361.686,563120.3419,517940.7703,647949.0946,2128508.263,760987.1136,7004.370261
