filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,18656814.83,1694910.901,24460206,1939723.785,538826704.1,42302734.87,570387199.3,12639736.79,11593680.13,818120.3024,5133859.831,113106.6419,70962940.04,6594337.721,1808278.452,93878.87032,159532.0874,0,186173170.4,19957146.09,44496801.07,5042441.586,8993592.998,527356.7691,8475693.489,533264.8718,177004.7984,5112.090326,42722371.85,4197350.122,17217292.89,1126349.309,964618.5774,2524581.256,252007.4121,727059.8274,76749.97345,187074.8093,47136.30906,459274.6376,42190.67425,68837.65256,12904.93484,128373.8059,720377.2547,75771.49551,194575.2174,0,0,0,20182489.73,1966790.84,8525590.91,523706.6342,464001.223,5089344.921,824846.326,6027603.817,560138.5169,1381363.027,75629.37229,36917.8382
2,glc2 21% 3 b,16271501.55,1398226.968,18727027.23,565239.6118,715454355.4,54033996.42,689705983.3,15157677.8,11618103.58,830150.6885,4936388.049,130931.1917,71506174.08,6689699.145,1878237.255,100795.0087,149581.8607,0,190777782.6,20525516.6,45158700.07,4958174.842,9298936.34,574813.4127,7691612.231,473707.5442,219651.7601,0,43652199.83,4233918.435,17193623.44,1162669.029,894537.0282,2706685.988,279095.6592,718799.199,77061.92673,171162.5955,36802.53399,462867.2784,48903.79385,75962.0638,10691.39187,0,732146.511,75655.37171,190258.0005,0,0,25108.57838,21302226.57,1978060.226,8966756.443,572966.0193,472259.2064,5398784.105,891135.7178,6360268.494,585231.7323,1504992.867,91801.74948,7642.276999
3,glc2 21% 3 c,13375770.5,1178250.46,16765264.81,473350.7491,601916713.9,50016670.07,695054283.7,15020634.22,12648235.22,844367.9548,5823282.997,124557.3038,80314610.65,7530557.511,1989432.8,101192.801,156274.6518,0,206514405.4,21391019.7,46194516.08,5138926.568,9208079.78,582776.042,7966195.096,502100.5829,113159.3603,34200.00928,46954583.78,4564874.963,18486654.43,1130006.606,957642.8905,3525659.688,358835.4702,828746.9416,86556.04617,220024.1024,47929.64562,492880.9405,44220.31997,74472.67322,17271.49046,0,831319.0416,89136.84835,200390.6086,0,0,0,23608595.17,2249440.912,9657033.118,619023.2558,552083.413,7107116.037,1076565.474,7584414.529,728431.6023,1841857.704,106399.5146,9539.430348
4,q5 21% 3 a,23781856.2,1211742.725,265283.4509,561388.9045,1138379046,54469150.23,14152069.74,8340388.859,15952336.26,915284.9846,160530.59,103856.5799,1456339.585,160717.8675,158420.0912,1161301.786,6832175.659,223811335.3,44413737.16,7817444.141,10700446.92,44830181.01,13932422.73,401198643.8,7502018.589,502903.3093,202767.7161,0,28278103.57,3072069.132,6561392.967,15482014.92,39201674.07,1013220.544,152446.8743,186389.0101,783910.7876,467938.0597,6967675.323,224522.2308,25452.30839,79884.35433,29680.20692,698349.5068,196770.2915,29202.12479,44944.7613,217212.5199,20492.63839,2043411.754,15042882.72,1653743.438,3736602.45,8951981.917,22179843.13,5593625.111,853752.8832,1268164.28,2609689.661,6809075.526,3328610.213,131923.6977
5,q5 21% 3 b,20857925.35,1046592.957,220280.8896,257126.6043,863925613.2,41618483.36,9791702.558,5881077.426,12830158.02,695126.6177,130734.663,84449.73582,1266315.047,151900.7675,122453.4883,1073948.021,5813256.524,193705047.1,40156780.53,6593778.608,8885226.219,39494465.68,11674018.89,339335050.1,6320743.081,424298.3281,139709.8706,55743.58667,26736555.34,2963124.08,6241202.373,12850474.75,36908774.15,814280.5021,124798.7012,149191.6881,569342.4408,423131.0402,5219118.942,155900.4841,36386.43647,81325.57018,25398.21577,750565.1385,173289.3861,28914.55022,40878.51516,193759.5677,26595.87532,1772963.58,13965973.23,1494509.879,3584778.848,7452653.859,21147531.38,5893399.101,873147.1361,1284978.52,2531513.927,6908192.675,2832523.58,137426.8743
6,q5 21% 3 c,26946225.28,1365393.788,295434.5363,152526.0188,1496984649,71280004.01,16392801.4,7199881.171,18095309.94,1079902.707,163107.458,110931.713,1611521.321,189122.6701,154603.9305,1239080.471,6952595.43,227744002.9,48184863.23,7975281.156,10881730.75,46904743.24,14115183.07,407367674.9,10132538.6,609948.0913,23411.22338,18885.23469,31449629.59,3337126.627,7004499.299,15133586.86,39821561.69,970482.2833,145900.8669,180169.6891,697722.5984,417830.2498,6376060.216,165873.2794,25845.19966,83677.79016,32161.46699,830613.8809,193141.2388,30708.25021,42563.76118,215428.8468,24631.88048,2062330.063,14075226.47,1603623.504,3679677.394,8249400.547,21552776.11,7190111.603,997376.9089,1316045.571,2632246.866,7069106.471,3109161.875,106838.2342
7,glc2 0.2% 3 a,9663353.55,746834.4479,10182018.74,765675.8524,275360412.9,18082857.86,200184045.8,3653558.035,5159785.38,320419.7469,1439500.925,0,51732676.66,4723570.025,935624.4799,0,17493.83544,0,63471216.58,6409864.756,19049321.3,1398895.794,4922100.43,139064.6486,5137029.296,258046.8617,0,0,16557371.61,1382045.887,8651678.889,315383.5979,188926.081,1216817.873,123518.2772,424627.4118,32397.90037,103983.6837,33036.4619,250362.9607,29170.87928,27136.01086,4311.71901,0,323063.1268,29015.53751,103584.9949,0,0,0,5865407.506,478400.0049,3129613.292,122797.3158,92957.64411,4458182.448,562611.5301,4036616.89,321602.7571,1118635.716,21249.21359,15890.63398
8,glc2 0.2% 3 b,9578895.451,710396.0668,8990603.489,1018362.701,296144353.8,18479774.75,192330879.3,3264444.276,4868538.473,308398.5253,1202745.936,48533.13319,45608847.5,4199370.997,846734.4216,0,20943.36858,0,58704679.77,6105507.776,20566271.34,1810881.139,5275033.343,193705.2555,4474067.117,217799.1096,142636.0898,30955.57625,14297357.48,1203753.212,7564167.732,276267.303,254680.1023,1007353.953,98089.47558,325707.6147,30241.09687,136227.2982,35793.24714,228333.2873,16581.23717,33435.0039,6506.834067,127781.293,315739.8463,31539.32634,120795.5877,0,3378.241549,5315.18865,5620694.442,475568.1927,2798439.867,114019.3897,110031.6136,5306196.057,722335.1377,5466712.029,441466.871,1522366.739,63991.95553,32412.99245
9,glc2 0.2% 3 c,10810695.14,721170.2048,8293275.142,338955.0735,459346105.8,25738270.16,172949440.3,3053179.412,9293363.162,494825.339,1123978.228,0,43139228.17,3971221.469,818276.8353,0,64253.23386,0,57550241.43,6170478.767,20097763.06,1720613.276,4983282.957,232585.9065,8228134.078,432253.6844,278796.0707,49505.72457,19648892.37,1628695.002,7608177.605,318552.0117,289783.8818,752650.5868,76671.53376,230586.7106,16146.46895,117144.2188,41585.53797,364290.3757,22565.46404,38369.74108,5116.118635,0,276100.3309,28675.29923,114415.0588,0,4520.882621,5855.375861,5799125.768,476694.1796,2580783.642,108204.1906,152004.3833,6174759.827,828156.0646,5318229.175,441421.4167,1431855.798,56808.73286,15352.44866
10,q5 0.2% 3 a,17077622.1,846304.0697,175198.4285,389645.4014,471051768.2,22567034.98,4668439.95,56080.26355,6480615.155,368072.1429,65748.12276,0,733438.0032,31900.49377,12870.92851,209857.6172,4494062.655,151792183,30483081.12,2924014.539,3074128.932,7873636.895,3668253.857,116615986.7,5255757.268,280018.8768,0,52790.58078,18487195.14,1337906.485,871515.9724,4382898.504,4055216.411,687761.963,64267.49715,53836.26465,149386.6813,56034.42584,2149146.481,151031.5773,16662.31877,13196.30945,7401.252933,295890.917,161213.6627,12154.64901,23027.70356,46222.55514,15901.1305,699517.012,6220971.017,441326.0533,341542.916,1689900.444,1706445.051,5678238.101,585521.9406,273513.3049,1207376.093,1073978.352,3187861.876,24999.18916
11,q5 0.2% 3 b,11288035.84,571415.0009,104511.3087,295903.1211,364040180.9,17366345.72,3688744.165,65427.25776,5402236.211,322151.0253,85747.81129,0,728634.6891,27510.93283,5925.402877,180681.2764,4013237.877,130562916.7,32556108.53,3237070.475,2940014.586,9001448.022,3507323.712,103691615.4,4373811.687,216991.0406,92679.57267,24171.16421,16146818.02,1185693.942,800290.8778,2769755.224,4307677.37,597726.0372,57929.38535,42000.91736,124505.2931,307906.2421,1469466.386,143055.7045,9979.776955,12966.38152,3068.590516,263657.5434,165144.3571,15709.49426,14144.72422,57688.99604,11193.43099,655266.6406,5848358.414,415655.1023,357982.2188,1100764.477,1892616.818,6434748.35,706300.468,347334.9308,1240925.385,1537063.53,2787186.496,13230.95156
12,q5 0.2% 3 c,10618307.8,517041.9096,97608.11788,312025.005,317641539.6,15318876.14,3208964.983,51577.12725,5110516.896,307639.0575,78642.25821,0,774712.9877,43459.72176,24986.15537,212523.2629,4127095.001,132279041.3,30939785.93,3282850.728,2630286.265,9009936.069,3306458.806,97897495.4,4217445.231,214681.915,131225.693,41270.99877,15967528.48,1177470.871,835625.3914,2284920.556,4781942.242,419618.7945,42988.07331,25833.82156,90328.55682,118893.3048,1169474.011,122375.7495,9312.313477,15926.4042,6854.529791,329868.3034,158497.2714,13318.85788,10612.28283,55827.4531,22329.03068,587457.9765,5093685.184,363547.1258,327931.7167,823058.6265,1908913.314,6388120.287,704082.183,368930.3107,1154137.346,1797753.2,2597336.52,24679.80122
