filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
12,lac3 0.5% 1 c,1238234.552,93112.46821,57562.23354,0,0,84409.60611,759299.6187,67179.72056,204205.7424,61400.1081,51825.38521,125313.2892,1681525.249,79835.36188,5126.505829,150847.5495,25668404.92,1777516.389,2691004.741,6034884.285,590149.3241,25289294.41,2835647.894,15575281.65,7154142.563,2934618.191,4583794.102,391175.9768,67773166.49,6381777.038,21314720.45,5934044.634,4575825.925,3108231.151,84322381.3,5368582.365,289232.7847,23043.38652,19064.30409,73723.62928,1375399277,50401076.79,9885842.935,1114166201,10958663.64,676535.214,823721.7579,1550609.989,154647.6716,54301367.38,2343092.58,49568.37854,17328466.23,27845671.09,1049469.912,0,0,2600888.38,126786.2054,106237.5974,14069.14263,0
13,lac3 0.5% 2 a,4141157.97,323602.7041,696057.7056,172656.6974,138161.7643,154788.9741,2722380.043,207922.9052,600599.6585,143767.3418,133686.9766,113971.8168,5788396.94,238831.3247,19597.0826,633011.3123,68179351.78,4262314.194,6526944.614,19997783.09,1575735.031,39186093.51,4298141.386,35343827.86,14330652.93,5385275.32,10934680.58,768254.0962,261204525.6,20558963.56,57155669.35,14106741.4,11978707.3,8500085.547,230709843.9,14969824.51,790934.0742,89789.37835,25139.44124,72368.55605,2901202154,108010443.8,47559195.8,2384497168,16455010.03,1006354.697,1402089.794,3853047.185,322100.9976,113694845.1,4728713.013,1726277.788,92833322.15,52818199.98,1944865.159,0,98715.07225,3914928.164,279601.4668,319614.2643,34814.78798,0
14,lac3 0.5% 2 b,2209302.411,185666.9072,397830.3654,111893.6531,69345.31049,109433.9699,1912254.408,148055.4532,514765.2202,133482.361,130141.8064,109575.7074,4726798.308,174854.7236,12727.2075,430005.1161,44191547.8,2982977.598,5629238.26,14197291.05,1376928.667,33346007.68,3954086.552,33710973.49,13607065.99,6082950.338,10643615.83,934467.106,169833594.7,14834287.76,47439210.91,12510650.51,10506537.88,7246264.113,148424966.2,9501615.602,628925.3623,78316.76551,70823.74445,52890.87821,2457478668,90625937.09,25230977.05,1229863266,11226873.48,742661.7805,1305276.679,3074820.587,311089.9826,57794697.12,2630184.753,647203.4112,38278127.17,39726659.54,1474644.317,0,84705.68591,2544821.403,172048.4574,350281.2877,41136.41381,0
15,lac3 0.5% 2 c,1769656.501,146876.6077,315238.5541,87403.05801,39376.9991,93892.07876,1696738.577,135766.4702,486606.9044,129521.8942,132248.7493,111199.205,1840852.653,145668.8716,9823.932878,354347.4654,44377747.71,3032060.53,5610195.756,14240900.71,1477300.007,29541762.72,3720673.956,31920158.22,13246836.39,6147791.048,10375398.46,953726.1482,152819409.2,13590072.78,45892425.58,12767661.67,10670232.32,7361300.201,172748554.5,11253175.76,576707.5028,65223.06202,49584.66365,49067.6065,2293435521,84368264.08,52612569.14,2637636356,9448103.903,659521.21,1231727.994,2746026.313,302940.3404,86985583.17,3730159.05,1177968.742,65400997.93,42503321.26,1614191.273,0,95441.30616,2619190.553,194340.805,307395.5375,33892.80696,0
16,lac3 0.5% 3 a,8077404.817,591455.157,1049047.412,247250.4752,190078.4972,193114.1696,3402301.195,231060.1672,438475.7996,102091.4337,99630.74286,84124.13596,4275692.466,159544.3395,21307.27764,798365.0457,0,0,0,0,0,42560288.26,4270357.897,31639161.07,14403380.53,3264271.707,10373369.44,394744.4879,261192591.6,18849157.93,36083349.23,8619481.597,7134056.317,5244082.211,260395213.2,16803437.91,754475.1249,43619.16037,20782.51055,0,4177720485,154945225.2,40816148.26,2021776808,18784279.76,1038291.595,948445.8342,5236827.199,194180.2131,98985912.29,4249231.229,1489058.852,83206318.71,60223628.96,2319011.73,0,154503.449,3638989.853,261869.0251,229225.3943,12232.7957,0
17,lac3 0.5% 3 b,8145252.69,615144.0712,1401743.969,318467.4188,275108.4229,243040.7723,3690693.185,260076.5515,627037.0474,146324.9785,135528.349,123065.4947,3909307.426,161404.8455,19524.90229,794434.6866,59263348.6,3537528.492,4645819.065,19164932.68,1039985.307,50868790.53,5332579.378,44071456.02,19136712.07,5175444.354,13736137.99,680910.9347,242622366.3,18170821.43,42302489.63,10584095.74,8269761.422,6044428.462,215398102.6,13860181.27,760364.1865,72606.77908,38366.67326,73235.73372,2950340643,107054525.1,33105444.99,1636237747,16787173.39,960922.9136,1308740.496,5177491.657,261756.84,97338664.17,4113932.447,1421765.159,76910101.45,53875779.81,2011864.958,0,184764.2366,3634184.505,267016.5841,383319.565,29538.36466,0
18,lac3 0.5% 3 c,3244761.277,262968.6568,579610.6921,140151.4076,120653.6673,127845.1296,2070594.348,151006.1881,415803.8963,97600.68819,102965.8974,107814.6369,2366682.745,137090.8125,23492.33286,569860.1735,43385901.19,2697505.311,3982041.486,15502776.63,1019658.001,29788333.04,3250936.906,28888513.53,12681642.65,4075867.13,9915489.873,619061.4967,170821697.6,13199738.54,35451570.65,8890179.906,7542582.146,5672951.748,178912345,11527663.8,712993.9182,83674.73085,66959.74287,62107.06507,2093536764,77113232.31,21196647.68,1074603781,10125013.6,582496.3684,875024.602,3195278.587,195516.6332,121207806,5093483.391,1854618.572,103106027.2,50138347.84,1896572.167,0,127292.4076,2660528.841,224239.8485,240724.1137,19360.16923,0
19,lac3 dmso 1 a,1265646.965,110991.9427,96277.36226,20503.32984,0,47577.77796,1818996.643,152907.6279,364509.6329,72558.05556,75193.06182,51555.11989,2907246.561,172941.1416,4407.658634,323191.1063,74921639.63,6475726.279,11613233.6,11764780.24,1666342.294,35955298.94,4786246.392,29139574.88,8536006.843,4674399.942,4305306.81,477082.9132,263123970.7,24142541.3,55924898.78,12265067.97,8230543.099,3946902.825,125332263.7,8073100.432,569356.7932,48776.30832,37399.76348,0,1672906430,61812010.37,25562753.45,1291372363,20361839.41,1642391.118,2753286.418,2621722.38,338198.0009,83530416.37,3600672.316,552404.2888,32939597.75,29117867.25,1090681.456,0,26613.16785,2974588.889,272835.8959,231667.1158,28863.52135,0
20,lac3 dmso 1 b,1412497.685,122152.6853,153908.8582,35021.88471,0,0,2527079.661,228349.2593,544986.6434,105809.5474,93604.12098,60496.79644,4275482.385,148222.9922,13058.83642,398417.1132,92441024.99,7924142.928,14626029.21,14243751.14,2036052.48,41470210.61,5575026.02,36264102.46,10156349.95,5986397.652,5159392.96,575484.5834,281866011.8,25706738.11,62232459.26,13698061.91,9080671.823,4634597.192,156790698.8,9955517.78,621430.5155,62887.96193,29078.68541,18928.0042,2857690192,104313639.5,63538525.3,3236732085,22939660.11,1908026.647,3462486.249,3134013.978,442037.0492,142519739.5,5910081.072,1288605.42,66958269.31,31760265.84,1174001.781,0,16765.73262,3197101.823,280626.0461,348752.3456,51112.39898,0
21,lac3 dmso 1 c,1558878.237,133970.6818,162038.693,35304.74676,0,0,2437610.732,220997.5327,501188.9762,101114.0299,90931.48472,61757.42129,4392774.329,160270.812,13852.99622,395911.4486,106069234.7,8926588.875,16003556.49,15260847.64,2151752.228,43337118.22,5772000.758,36590327.43,10330668.51,6197964.013,5212500.261,596264.5098,307067617.8,28970417.21,68566371.74,14918371.06,10327236.64,4815450.462,163899313.8,10492054.07,668826.6854,46657.44724,25253.04517,0,7463596172,273450375,53431697.39,2627980416,23869300.82,1990444.741,3622474.075,3095365.725,421918.6929,193600060,7744010.044,1116803.865,61727300.97,41695232.04,1552972.221,0,25462.00019,4057408.54,295323.7248,384426.8152,51053.33365,0
