filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,24083876.77,2069630.583,31113333.91,2143892.348,866327317.1,64527241.16,888800116.4,16770633.21,6100518.829,350624.494,2430558.303,61738.09371,39962882.44,3623541.201,589475.6731,132120.8513,12372.29754,0,80677489.01,7391696.38,8964423.159,730170.2079,1605351.736,387940.1451,4291051.751,263036.8023,138542.8813,37720.17474,13043718.96,1055580.196,4240545.815,277937.1049,219825.3788,1672126.423,144967.0406,205038.8974,15279.20367,243803.3961,115233.4612,229127.5365,15445.29758,4366.939518,6994.585775,196732.1815,396600.6521,32053.36133,48552.32783,2178.008219,0,9549.201181,10161253.76,823157.7998,3281090.921,316284.4289,239482.3918,908715.4113,117932.4989,760010.193,54769.03408,165867.1582,6609.12002,18470.01281
2,glc2 21% 3 b,25342563.17,1965568.297,26252003.25,1677785.133,1071369565,73173123.52,839886476.1,16417226.94,6020696.226,410121.5578,2097126.446,41267.97839,34364142.14,3147942.252,519976.9537,129849.6747,21647.72417,36884.75644,88026477.02,8015029.393,9886092.668,781867.9549,1867714.222,433595.7481,4032689.285,259377.3163,206587.2498,41557.12058,15058044.32,1278690.973,4785083.489,261293.996,165917.3563,2047459.91,187556.0331,236402.0314,13895.83679,139015.7097,70474.69133,220669.661,22803.76297,6744.927023,8863.462072,69975.16696,462245.5772,38761.45729,66472.63329,0,0,0,10859013.98,869419.3838,3622006.224,218766.435,128157.6323,1312462.445,144676.0227,1011590.312,82173.75589,244279.5925,10619.71469,22904.77187
3,glc2 21% 3 c,19347831.84,1586855.681,25465194.67,1268649.683,817148197.3,63019849.79,899950681.8,17785510.67,5868646.857,404823.8208,2497270.183,62116.48579,41948699.52,3845689.152,812520.7961,134586.4021,0,22082.65737,91109093.12,8518389.638,9992840.587,649653.6871,1910461.461,81515.39373,3984521.338,248534.6672,126701.5554,34938.25171,15947562.33,1334255.728,5224769.761,226635.057,106428.2379,2067516.282,178067.2322,265738.5844,12515.25316,60918.58883,34999.22532,246407.6969,10374.59783,9448.4656,6456.287488,173499.8401,465642.3077,40084.6382,62796.71081,0,0,3243.380704,10607926.88,889254.9398,3740293.336,203143.9935,108269.4122,1210023.319,159850.6181,1070501.819,82896.7962,254112.4697,19534.42583,18548.45271
4,q5 21% 3 a,43630049.11,2097188.83,506965.87,1656829.328,1403030338,66439805.43,19869092.77,4287832.464,8591772.079,487532.0168,126721.2701,19095.7108,491553.1518,23074.03991,28126.03923,172624.0469,3433005.326,112425935.1,14401569.05,1367344.497,1896393.334,5903254.995,6514988.91,208603844.2,5014123.351,315118.6009,454098.1698,84247.66926,10307468.76,733299.4569,1055837.152,10258826.35,6576216.062,409602.8687,41094.52378,45464.93626,99967.25941,155558.3636,3993318.192,85105.36269,4300.807148,0,15069.46769,283548.6172,71320.52682,5057.880116,12041.79071,38050.47149,32330.77892,1221688.619,6663134.361,450680.1213,726769.7216,8750904.572,5161553.582,552131.3023,62657.87161,65776.71037,323790.6141,415168.0426,564343.9718,16965.69181
5,q5 21% 3 b,29686947.21,1434393.529,358810.101,565973.6009,1656247882,79558795.01,23275804.21,5637331.24,7348577.789,450400.3491,92708.0582,0,391011.2368,22200.21464,24088.37342,159411.23,2912178.855,96965420.56,13653753.24,1344499.411,1895839.333,5847804.581,6004661.776,194105949,3744673.222,247990.713,80825.67065,23624.54127,10483416.54,746603.5431,1054507.862,10011876.1,6417335.033,497720.2352,37747.57169,37480.52565,126160.1196,367280.4498,4352415.213,129253.5757,3681.005986,0,11667.9184,161203.269,73333.90348,6410.765876,11290.97729,31825.01402,35158.76337,1309916.263,7106665.98,533664.3338,813189.8815,9509641.151,5538381.034,682187.9456,55667.54787,91418.01159,363279.954,443308.501,650578.3502,9883.45682
6,q5 21% 3 c,33999452.85,1654986.062,383954.3959,673293.0098,1561156289,73792145.78,20064830.51,4569500.612,8119875.02,392842.3803,78360.49475,16151.40386,381957.3131,14249.79738,31493.08605,152240.7578,2843480.781,96020777.14,12343421.89,1185263.032,1622011.577,5494441.512,5634158.536,173880242.2,4289090.509,279475.2787,193979.3823,35109.90574,10104894.16,736711.1304,1007132.255,9519283.38,6665155.3,435058.8466,34510.58783,33968.62359,91156.36125,235102.5604,3387209.798,153196.7609,5514.47419,0,7781.161129,113797.1726,60754.71245,6384.360554,6043.40863,31584.7922,14224.61639,999465.6497,6351895.251,429183.2276,665756.0279,7596914.687,5015905.852,660489.0123,47841.44235,69625.36516,296962.2697,392489.9541,469845.6582,16430.17913
7,glc2 0.2% 3 a,21464042.16,1464972.539,17632179.08,914027.5103,729615146.4,40324188.82,262141420.7,4366480.444,5933318.416,401117.9832,590232.9717,0,29482205.26,2654653.695,393463.6781,11277.12037,0,0,22155541.95,1984305.716,3173098.114,162383.9461,758999.1313,74050.05193,5404572.444,302422.865,123968.4328,34105.63138,9160612.8,705593.7667,3038057.185,102104.1869,33243.43277,639113.875,59681.69695,94935.34567,6577.038642,58040.9307,21292.0005,162492.3785,10226.44723,1603.284952,2985.080673,57863.14656,113235.3604,9534.062293,18890.76137,0,0,7482.255398,4113550.548,309484.1668,1525056.932,46449.81409,21778.39293,1253360.08,122128.3148,614304.3394,40229.56953,143759.9115,15663.50095,5289.904249
8,glc2 0.2% 3 b,19483931.14,1283835.594,16012810.15,591686.2013,507306744.9,28581949.33,230529753.4,3984250.101,3493908.384,212229.9484,394980.4405,0,24198989.52,2181983.247,338939.9009,713.5942995,0,0,21221655.5,2017152.498,3678648.952,195842.1153,889017.8352,26274.14732,3475168.698,199722.6706,93061.61107,20524.43839,7934870.213,582861.5384,2849588.727,130422.5159,50046.3649,570269.1318,61852.82649,105657.4452,4339.711223,32852.27008,5179.331811,169754.3726,8773.710326,988.6330143,2095.969823,74099.39023,133702.9918,9059.698321,20423.40069,0,0,0,3730721.314,283382.5097,1542551.406,55473.12392,88574.3472,1276377.17,146945.2985,819282.7906,54481.18204,189009.2211,7115.621593,16493.49944
9,glc2 0.2% 3 c,14444554.8,987818.301,12069537.39,694305.5041,545550805.2,30147543.65,215063819.2,3331345.641,4381297.296,246950.2438,504802.9901,0,29905823.35,2723129.899,469960.5086,41885.16903,0,0,23812462.3,2264023.66,4569032.045,305405.4005,1104371.409,46623.84335,3943967.236,224079.9498,70965.69629,0,9335329.445,711903.19,3483847.212,102106.4059,49984.44386,525364.2672,52167.67183,84327.25427,5828.83575,29921.19659,19883.7908,247882.7045,18401.0968,2582.925349,1972.649324,100745.3909,119576.7939,8973.893972,19878.90078,0,0,8910.301404,3567022.419,273261.2663,1467707.177,49586.29822,46948.93044,1209903.399,136602.5225,800208.8676,56712.6304,195527.9585,14985.70509,12898.26637
10,q5 0.2% 3 a,50804551.33,2442741.266,554072.8085,502942.4432,745110559.7,35095809.53,10196594.21,180091.7225,4339363.111,254091.6942,69211.67269,0,226260.1432,6392.812919,17146.64278,14465.3771,1599158.315,52510511.62,5279446.844,457691.6451,423792.6549,718458.7381,1328065.184,41230475.98,3681534.368,203619.6029,71344.645,11595.50353,10550431.86,713889.5547,331887.6051,3599039.253,1001980.4,252856.1222,26223.9367,24541.07464,16391.31329,87257.55892,865947.3112,84789.23117,9065.627277,0,14694.40752,73026.3176,22873.21698,721.2632166,3853.491558,3305.998714,6664.419199,220639.4763,4161849.618,276431.9858,146351.6354,1710028.971,535126.2329,630482.9747,57022.0172,41646.41068,135825.1765,64155.30543,840671.6126,8524.480129
