filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 1 a,130078595.1,6136435.956,41405620.14,773016.7697,2684502005,104063737,300422278.9,4588118.373,6907837.666,208780.2522,218601.4576,3724.244014,183525204.3,11823718.32,1016907.465,33659.64173,45022.58677,3180.795846,463110663.5,45924601.19,94563172.36,11847913.17,10571952.41,694569.2184,27080446.01,1009931.101,138923.3396,NA,228171373.7,20524400.72,46522198.63,4148142.609,2095407.402,2507998.041,200472.39,175271.2788,18730.41782,18520.57358,NA,2977348.001,207528.2034,253520.8312,31937.41251,NA,4830418.707,473122.8565,948078.154,127616.0767,121853.8547,13658.22798,35114035.03,2978793.41,6343693.902,588450.8294,300752.1189,91228657.66,12352902.33,56057484.3,5815401.43,8638728.436,709967.4779,242492.6804
2,glc2 21% 1 b,112388262.2,5452972.754,42813842.31,803925.106,2121693895,83901323.54,294167917.8,4932453.577,8672206.76,292130.7876,223363.9534,2487.5845,191728875.8,12125195.12,1144066.787,68189.92341,47315.23678,36042.8642,446518680.7,45089122.28,93156964.53,11524977.33,10921755.96,806848.6404,26617752.07,995878.5501,131163.6061,NA,201551687.9,18109237.05,41959760.93,3754626.425,1934592.539,2872112.951,215644.0371,180564.7178,19362.26816,18591.48252,NA,4603359.732,271966.1551,268990.2128,33456.97963,NA,4427939.372,435990.0834,900548.9221,115115.7464,113449.4093,12124.77266,37528651.75,3187192.983,6742886.464,626494.082,319559.2079,87517982.93,11996177.83,53855612.01,5773799.361,8484900.112,708411.5722,244786.6849
3,glc2 21% 1 c,89908662.06,4369255.855,35141507.74,645506.3907,1242336783,52037178.56,273627557.7,4625621.497,5641974.721,148272.4651,239197.9605,NA,190618084.9,12269510.34,1108265.6,73532.59719,41706.21545,57303.54782,449837062.3,46335788.34,96299167.35,12190701.8,11264635.15,969133.5778,20132674.32,738323.8415,157478.039,1509.841844,197623289.8,18118999.92,44334975.3,3931157.393,2048416.354,2016002.948,160198.0753,171238.7149,20963.15029,16739.30872,27571.96873,2417822.625,203025.0286,253418.9291,25913.62343,NA,4390031.189,439098.3073,930545.7452,113225.4583,115585.9199,12375.9587,33427138.16,2999178.083,6799614.87,612167.0755,330806.0451,87708576.75,12122017.73,57550970.54,6046708.851,9135104.697,789703.4641,279275.8806
4,glc2 21% 2 a,153995750.6,8459824.042,98302640.69,2037869.638,2290341227,103359524,756263543.4,14615872.18,9328187.053,292063.9483,842779.8759,21012.64786,367430772,24024210.34,2873814.058,276592.8287,225329.0155,5283.55782,617917841.3,70565718.5,177638965.1,28676910.68,30060119.29,3426006.936,37913385.47,1510074.19,467387.1222,3290.827308,294813140.8,32611646.78,91974823.64,11316714.43,6619760.668,2174784.467,207410.1647,404492.2346,64427.66786,70015.939,35485.77714,3136485.979,278228.8598,452507.6724,77023.65688,NA,7782321.778,901896.4727,2282013.285,372616.1687,398659.571,57686.25855,52535718.95,5773096.105,16002376.7,2024986.184,1131529.264,107093159.1,18143796.77,104023473.7,13812234.03,23371399.06,2599042.308,1157652.761
5,glc2 21% 2 b,99738394.89,5551679.571,61180589.88,1236111.694,2107512294,94234604.93,660754275.5,13017310.02,8610695.125,295920.2455,732458.7711,14732.63756,305721530.3,19792443.41,2612625.356,283778.9213,319296.945,13681.23618,525888266,60785632.09,153834201.6,25215168.94,26094761.96,3109778.938,30856466.33,1224417.904,461083.5676,875.8779033,252546969.3,28618037.56,79201171.17,9813679.163,5491692.397,2133207.757,206815.7539,392437.4402,69492.02361,65387.8107,30728.30719,3578710.277,335993.7864,448299.1284,79936.40617,NA,6878684.398,779087.8134,2041600.641,345579.5885,354658.8413,48547.44344,46315203.28,5234244.724,14166311.5,1839116.589,964369.1721,104882208.1,18156434.03,101829403.1,13807828.19,22955481.1,2510878.81,1153336.717
6,glc2 21% 2 c,120671812.7,6777627.637,82086495.22,1655390.17,1706645289,80326395.47,704663853.4,13774131.13,8573407.608,314439.1807,806650.933,15221.41877,347760023.9,22154030.55,3034971.53,344642.5507,338248.5057,23747.75545,593447161.1,68988248.44,171866859.2,28340110.38,29371819.33,3441238.684,35544950.12,1432104.532,567359.0736,594.8901488,295241347.6,33512270.56,92949942.1,11430921.91,6576720.242,2217872.69,213961.4747,416600.5681,66224.69541,76553.74424,24520.23298,3620162.155,366635.1067,466808.6046,81992.81012,26819.14853,7475304.296,865743.8694,2199089.22,361019.0076,385320.3174,54806.9434,45036858.67,5026770.123,13783441.19,1751040.135,974597.557,111802343.3,19254967.9,108511549,14669770.12,24478899.3,2715662.748,1253575.822
7,glc2 21% 3 a,118768590,7580131.342,93258852.24,2090221.365,3243106796,170244054.7,1823485124,39415610.27,13930343.02,583000.9573,2814885.688,62274.75441,562683198,37070433.88,6286695.705,792269.575,1070540.188,47591.32856,1003185000,108865012.6,286091964.6,46956811,55795623.14,6654767.655,54633185.84,2480682.192,1169754.078,18616.75431,375846202.6,39473352.9,129568338.4,14170291.94,9173031.989,4351674.471,390608.1394,846945.4208,124925.5436,165867.3021,42406.87329,4032204.044,349300.6049,635322.1485,115712.1249,55072.51542,13224418.21,1428582.653,3836170.421,670077.8415,791317.45,96089.76481,107121939.5,11054598.74,36438484.48,4016351.915,2656973.64,127578083.6,22039059.05,136231693.7,17396146.74,34331253.87,3554698.276,1754062.184
8,glc2 21% 3 b,127254851.1,8012878.062,99979170.12,2278567.639,2861456997,150254975.4,1621629832,34501130.32,13418542.16,483072.4923,1942746.81,46380.32283,411713543.7,26253141.35,4777771.908,629300.0875,670963.6295,NA,865728017.8,98303880.61,258661144.5,44261560.37,51171333.07,6291205.813,47067462.66,2108038.061,977048.03,13695.6483,353555460.9,38397473.14,123153510.5,13803323.86,8704296.556,3813121.447,367291.8467,849589.0468,142115.3079,173797.7313,38359.07521,3976246.996,371258.9211,693443.4122,123057.4839,67317.11902,13115490.13,1510969.344,4066474.683,693534.7524,834284.0768,108534.0719,102359798.6,11267512.08,35900649.17,4229091.383,2648359.131,135725905.1,23854854.48,146166694.7,19454132.68,36931916.45,3969755.85,1986276.686
9,glc2 21% 3 c,107957394.4,6813483.548,86767606.9,1923927.831,2827014587,151597445.4,1669431046,34753831.69,12940723.82,561399.6541,2542935.791,58478.07344,530948459.2,34615732.84,6186853.231,844803.6332,1019740.812,15929.0859,992740731.9,110415545.7,293037094.6,49779942.39,58089731.1,6808913.269,54445563.13,2515428.526,1302400.52,8404.442248,374141985.2,40652909.85,130822962.4,15204492.02,9489513.024,3622487.807,380501.8962,825068.4022,143360.8006,167055.9913,33374.80078,3798759.185,326534.0311,637397.2146,110253.478,63535.1698,13078508.45,1473512.099,3915493.149,663783.1223,781183.0183,103134.5472,108046457,11523294.45,37345779.12,4272780.027,2746742.938,129915727.2,22853268.26,140146710.7,18456425.6,35287204.14,3735415.952,1929974.794
10,glc2 21% 4 a,143021709.2,10615309.93,124522634.7,3420761.177,5204199021,318111955.7,3375762961,88539153.35,22853295.06,1230715.986,9083445.737,249968.7443,666115157.2,44117329.87,10532478.53,1598603.185,1715743.892,137692.2021,1334348403,161014337.7,416891321.5,76078091.33,80056795.34,10384896.25,64760664.92,3865429.942,3901242.65,123947.1286,448822709.4,54338630.47,152529054.1,21061265.17,11416218.79,5240693.331,583527.0963,1436778.737,257327.7794,303107.637,40188.98331,6344006.87,737742.6172,1441901.079,275441.1036,172515.9888,19808699.11,2383927.906,6344784.056,1162115.525,1263587.622,164373.6207,147053071.2,17790155.94,50948430.85,6894194.076,3844657.014,175533012.1,35014935.32,187839520.2,28684327.45,46735431.83,6081937.844,2641862.381
