filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
17,glc2 0.5% 2 b,29110635.37,1409327.558,9398818.522,151808.6488,937365058.9,36158643.53,75503350.45,903045.7826,4033635.189,115426.9366,142414.4759,NA,108180177.3,6902309.314,773225.5502,19295.8014,62096.36643,190465.6242,143348250.3,14100569.07,39968689.05,4286935.192,5777780.528,561038.4312,29655376.04,1135393.613,804213.2474,6435.523372,60606301.33,4791054.362,16128040.79,987563.4891,712581.1825,1353556.049,104249.8949,140011.1164,14291.90039,4041.810804,1524228.583,111154.8535,84155.66181,4971.069145,NA,25461.96707,1317571.615,121577.8634,320279.5211,37995.41432,49403.84417,7167.342162,18287587.42,1305069.414,2901326.657,188210.563,142919.7681,21588011.48,2649559.323,12946587.72,1249185.775,2322908.391,148108.3699,46683.7128
18,glc2 0.5% 2 c,24360776.5,1198540.774,7642856.925,106052.5527,827391822.8,31791757.33,62242301.76,718880.3969,4187594.528,134281.5794,138036.3145,NA,116905222.9,7488787.881,820901.4372,22372.25638,86517.20702,908758.5973,137449721.7,13576434.68,37384005.12,4054866.372,5373443.74,943654.7436,26896546.65,1023329.461,726444.8018,8856.092855,57163832.22,4493766.632,14875766.16,906858.9247,726710.013,1308758.52,94953.70816,127876.9268,14465.97431,4262.36585,1204533.84,89736.05984,74466.37299,NA,10862.14461,NA,1123156.379,102497.7735,279995.3951,30422.14837,39426.12097,8831.013804,14091485.14,1046989.728,2579249.568,170762.2589,135954.6632,20335447.18,2505374.92,12450768.5,1178794.4,2181323.834,137998.5757,41908.4858
19,glc2 0.5% 3 a,47617801.67,2315667.742,19990058.65,318762.9965,1776252064,68826363.07,168312035.2,2413936.342,7172538.999,195764.4903,432503.4595,7023.651498,198388631.5,12602385.47,1617284.815,92797.79993,209900.0264,2633.174911,205946013.5,19495048.35,56359504.61,6158517.124,10221476.73,715771.1845,39796586.95,1514330.82,901081.9731,5988.419494,83122033.59,6419066.104,24976119.88,1445135.149,1286835.941,1477756.936,85846.00261,144444.5122,13271.84761,4510.715897,1678242.393,123496.3726,138515.2819,12862.06441,26676.46165,21120.13169,2020202.367,176586.9343,516994.6882,59781.86943,100627.6065,9683.172501,18578349.17,1315992.837,3952830.008,258067.4439,223486.795,22942990.92,2803484.933,17401253.06,1603810.649,3827719.129,235050.9292,117288.1022
20,glc2 0.5% 3 b,49866538.3,2376043.927,17669732.98,244630.4951,2825826903,107256332.8,156802818.7,1698704.499,4520673.727,209699.3145,336865.7751,3224.537075,163111828.3,10539246.41,1441029.701,84229.03333,203278.2079,168475.1587,172755485.7,16923882.4,50159866.06,5681655.156,8944370.912,764577.345,40720562.83,1535036.294,783197.0739,11186.28237,73271724.58,5694805.024,20554155.46,1304559.971,1193971.978,1239431.63,92939.51717,129423.8455,10952.10426,4191.536397,1407384.043,101531.5462,125497.0835,10865.89727,20314.79269,NA,1773629.68,166341.8819,494359.0554,58770.71514,93493.68334,11141.80166,17183824.2,1270964.566,3864223.41,260027.9205,227717.0132,25965744.79,3131306.852,18284921.49,1733383.505,3902310.828,255406.568,126195.1184
21,glc2 0.5% 3 c,37890645.31,1875183.844,15679497.25,237234.9547,1358179926,52579943.44,124843696.4,1669321.743,4632010.143,186439.1061,348543.5779,NA,177465380.4,11436469.42,1516310.707,89240.19898,168198.95,8432.078953,177270918.3,17013432.77,49110106.26,5322493.191,8819106.17,607453.2159,42738063.45,1642810.712,902633.1886,8881.270264,77574398.52,5839615.917,22853780.19,1438386.583,1152595.733,1527316.912,92166.72585,142819.5585,10481.2075,NA,1307144.782,100691.482,108107.6222,8002.611357,21769.15443,26619.89899,1642006.316,142367.2068,438836.1098,50259.11815,77973.22299,7887.210184,15628807.57,1127554.397,3606814.575,229673.3408,198465.2351,20707589.56,2530144.208,16028511.37,1503285.492,3424982.926,208399.6341,97747.4256
22,glc2 0.5% 4 a,67928355.21,3429880.469,35844386.18,581597.8512,2452403145,97510072.94,366535749.8,6105917.146,8167423.933,311231.2988,1014316.452,18047.01013,331879827.5,20951213.52,3284419.373,214619.9512,551549.5387,22198.67138,290223775.9,26723783.81,86216680.07,9499642.406,17815664.7,1475520.627,55068132.23,2169846.228,1164563.349,8308.998933,115892215.4,8620604.58,38280098.34,2250281.271,2245372.206,1666687.859,120323.1351,233606.7515,25745.5085,28628.57322,2398768.877,189083.1079,279878.9584,26832.31977,62431.69362,33325.91421,2823665.385,248938.1949,817575.5866,97730.27139,173403.3574,17025.94316,26779757.06,1878285.638,6661968.006,427777.459,424158.4338,31465942.78,3781238.133,24338902.75,2279414.835,5957910.793,375081.5546,216240.6455
23,glc2 0.5% 4 b,66238972.68,3380126.51,35167628.99,606831.1887,2695706922,108075654.9,431924252.5,7222020.757,7368879.31,332324.9176,981405.0316,15046.12547,304082127.5,19247824.63,3473525.363,276917.132,610812.9904,5459.07936,269994023.4,26505611.31,87770353.77,10869244.72,18016487.97,1527100.673,51229120.07,2066233.778,1313441.57,13588.68438,107196498.4,8456027.593,36889090.79,2589571.08,2327076.368,1742756.938,150189.598,241276.8249,31393.45355,36887.90785,2433846.635,184216.9101,287048.2917,30674.90604,60583.17975,32006.38227,2881470.469,275949.3562,910952.6258,110803.1531,190065.3326,18573.89562,27921738.4,2050875.258,7191242.115,506274.1719,497691.1459,33443952.68,4278030.2,28013675.66,2771748.119,6927639.303,480995.6622,277159.0278
24,glc2 0.5% 4 c,91265290.49,4348176.593,37189698.2,620489.9839,4831996614,186686654.5,375294026.7,4822306.781,11820845.49,442738.0729,1068561.307,19125.55296,367904843.4,23840363.5,3753153.271,258123.3298,545627.2184,NA,315079395.1,28909292.37,92375012.54,10598000.45,18354080.61,1623005.742,71888554.84,2743664.596,1227980.711,7782.784501,148399530.7,10586422.5,43450574.86,2600056.822,2415217.001,1727225.487,152084.6931,233433.7287,23651.28142,35650.18912,2032706.457,159240.0172,258244.5681,25191.66925,54894.6327,NA,2920952.039,257051.5209,832632.9118,95388.69029,177966.4992,14724.51091,26467983.56,1895662.856,6551241.487,413946.6176,404742.2647,42416031.58,4864586.382,27990775.91,2622120.297,6752801.159,422343.4023,245431.4474
25,q5 21% 1 a,45798102.47,1868017.489,162265.1403,117007.5631,1004292225,37103704.32,1038786.145,43502.88345,4177493.095,135000.0008,11535.80103,NA,2744832.059,314542.3774,112073.6301,810844.0268,5547325.911,181219461.5,79522190.15,19210163.63,13520025.57,62008452.91,9265980.382,243304014.9,22580583.89,772650.6401,5019.253467,NA,58518379.2,8634472.542,15207834.59,4734011.766,51855332.53,990449.953,159460.6689,210613.9771,22938.36813,736425.9604,762746.1084,73767.02072,13792.75282,65833.69118,10934.36259,271634.4092,665953.7293,138640.3177,93059.75479,461050.5808,65654.22875,1830643.226,12520423.73,1803627.779,3166387.558,933990.933,10938142.09,17625008.86,3286766.628,4826264.517,2268144.341,15391979.24,2032728.738,NA
26,q5 21% 1 b,67476970.52,2732548.936,7853.315646,93155.47434,1850923734,67645960.92,123481.5483,37578.46436,6176586.072,198016.0724,NA,995.7288692,1554418.128,173862.9207,89633.59723,736155.8944,6728372.349,219728863,74114252.95,17505806.54,11936739.3,55847944.49,8043420.044,218965076.5,35217955.38,1211344.155,2606.894445,NA,65569021.96,8646712.323,14051074.29,4304587.33,48910616.26,1008472.246,116517.0788,175663.6037,20512.04871,626249.5984,873135.5508,67020.27806,12325.95322,60902.21555,10940.65159,257369.4043,669256.5982,133871.9595,92820.41134,472568.2909,68203.32393,1836497.236,13432530.56,1882431.646,3077396.916,932897.5994,10699664.58,18187592.18,3365297.629,4643394.703,2281381.059,15799252.58,2104432.997,367.295403
27,q5 21% 1 c,38915400.31,1625823.986,14469.52766,83497.55873,1169716213,43128454.63,100571.4162,35640.93492,4758153.274,137781.4098,4144.241823,1335.796916,1747235.25,243129.3138,103586.2675,759236.3867,5216894.604,174378837.6,73609120.29,17606588.67,11993036.66,57169174.02,8364271.78,223046210.1,22142722.76,759282.0993,NA,NA,54148422.63,8109333.067,13718057.06,4258036.906,48104594.81,1001981.346,133259.7559,191095.3227,23241.89852,649461.8422,755599.0463,65689.40529,11957.13285,63819.52252,11372.33968,252097.0099,668973.3617,138376.3119,99365.3521,477386.4741,70864.35762,1899381.023,12620453.13,1819975.582,3056909.666,917706.8335,10626772.34,19824350.93,3795484.611,5229220.125,2544972.731,17494578.23,2296923.746,807.9590642
28,q5 21% 2 a,88503068.58,3623205.391,97907.55503,477167.2299,1586922932,59147475.3,391412.3384,1719064.903,8465497.211,278033.6169,6717.529054,9861.504134,3525802.203,726683.3616,397079.078,2388620.076,12332224.28,410983541.6,122946218.4,35762936.34,24762036.78,107222689.2,14460716.12,388402114.1,30495193.31,1003199.486,560.6346807,NA,100508857.9,18800322.66,31698069.83,9339602.306,105423498.7,1175206.058,226744.7955,426202.9614,52340.14707,1422217.682,1071763.309,126597.2518,37346.18413,162530.9007,22951.55783,609066.4137,1298197.61,347957.0764,246108.0517,1116565.563,152572.2107,4114494.063,22004285.91,4001451.247,6926823.413,2023215.177,23110055.27,37236259.88,8541979.85,12608226.31,5572551.793,39071902.23,4590814.733,11679.82067
29,q5 21% 2 b,85643829.41,3474953.52,95229.0007,415187.7783,1272844972,47689228.66,344950.8702,1480692.287,7093972.621,224361.0248,7057.125525,7204.433646,3204089.708,591616.4083,336296.8818,1939158.315,10251985.24,337983304.5,113445008.7,32848798.33,22183723.45,96725129.17,12818826.62,344710225.1,24796562.09,829425.8989,NA,NA,83367831.14,15561584.56,26370281.82,6997338.74,83920584.53,1105805.791,194187.7669,386601.0108,45694.6125,1218983.508,732610.823,102331.6468,32573.51291,142667.7766,21706.06558,493297.2496,1189496.379,323508.2319,216443.7628,1031684.365,141668.7021,3742996.151,18117008.22,3480979.718,5947358.141,1642463.608,19613046.06,32305929.48,7533637.817,10968274.48,4726968.512,33990104.03,3894634.014,854.6353139
30,q5 21% 2 c,61907359.96,2538923.529,70674.69575,360843.4195,1544280897,57309829.52,226296.5807,1294567.672,7506075.465,243208.9752,4624.821187,11778.41684,4258431.173,827145.5981,440835.1259,2482295.636,11743039.44,383621287.2,130599801.7,38154748.99,26275346.84,112000258.8,15293294.34,394433870.5,30566719.4,1010069.328,NA,NA,104582176,20458005.41,34089900.6,9176976.164,109732981.5,1421825.395,252987.7903,446368.9745,50599.78762,1445943.715,865684.3977,105423.098,36660.30545,165842.233,20226.09125,578310.117,1273050.097,355250.4968,241315.1977,1121287.368,146453.1725,3992468.864,20001464.57,3876405.373,6580821.053,1829957.225,21529526.7,35859124.26,8368438.094,12133406.73,5334955.211,37461843.04,4394494.371,12791.99754
31,q5 21% 3 a,99579933.46,4119921.019,205513.3141,893275.8592,2893173679,107259717.6,1775661.849,6714825.114,12597935.17,449308.4797,15512.60021,37988.66882,5238700.985,861147.1189,602172.0356,3766042.573,19728753.78,645158248,195856568.7,50967335.47,40812503.54,180944196.4,29798484.42,750252163.4,49601555.55,1703172.892,2274.752296,NA,142864011.7,23709662.61,43811058.08,21460376.47,160535545.7,2209875.071,313664.6209,605653.9522,83440.51256,2381752.421,4371837.858,367014.1785,92442.0953,429808.8977,63465.78448,1765687.862,2928296.609,711892.8615,551531.9684,2617926.855,418645.0374,11362145.86,45508295.36,7477905.05,13938730.86,6767466.006,52146163.6,50208345.33,10392359.93,16382601.44,10856674.71,57005772.92,8633852.086,187735.6748
