filename,id,2HG_M0,2HG_M1,2HG_M2,2HG_M3,2HG_M4,2HG_M5,2OG_M0,2OG_M1,2OG_M2,2OG_M3,2OG_M4,2OG_M5,alanine_M0,alanine_M1,alanine_M2,alanine_M3,aspartate_M0,aspartate_M1,aspartate_M2,aspartate_M3,aspartate_M4,citrate_M0,citrate_M1,citrate_M2,citrate_M3,citrate_M4,citrate_M5,citrate_M6,glutamate_M0,glutamate_M1,glutamate_M2,glutamate_M3,glutamate_M4,glutamate_M5,glutamine_M0,glutamine_M1,glutamine_M2,glutamine_M3,glutamine_M4,glutamine_M5,lactate_M0,lactate_M1,lactate_M2,lactate_M3,malate_M0,malate_M1,malate_M2,malate_M3,malate_M4,pyruvate_M0,pyruvate_M1,pyruvate_M2,pyruvate_M3,serine_M0,serine_M1,serine_M2,serine_M3,succinate_M0,succinate_M1,succinate_M2,succinate_M3,succinate_M4
1,glc2 21% 1 a,1419697.82,98072.73347,32369.85794,923.8054705,7722.276317,10998.03575,1529881.335,101320.2335,119305.3646,6298.247903,10738.96526,4005.529795,1330429.157,41808.83187,136656.6801,0,27739599.12,1666499.309,2787736.95,115554.9445,70055.03871,12492445.33,1234731.939,3869455.204,264661.4766,361860.357,33781.7181,331.1148504,95685774.89,6885462.083,7981128.124,527314.8607,621129.6494,0,132287690.4,8458521.125,151582.8372,0,0,4556.625442,636700494.1,24139403.79,18640494.05,783913.6228,45655694.33,2813151.796,5008479.913,224017.282,111207.2285,14376742.15,717392.3464,2651492.091,39714.13287,5770308.913,211788.8808,76652.90426,0,561587.1049,42263.82455,20220.46088,0,0
2,glc2 21% 1 b,2012361.757,152667.5321,68666.48235,1476.277143,3582.440498,12269.5553,2240168.739,157258.4329,176459.2797,7774.618053,19629.84349,8620.608901,1151975.655,38493.63813,225222.9419,7210.19023,43152424.43,2563169.584,4532547.045,223578.4638,121092.631,28212670.46,2975126.655,12373229.27,848927.8473,1183470.721,82963.98736,2697.728484,159760894.3,11551672.99,13461662.02,810061.6236,1051964.127,0,233168112.7,15288400.3,301421.1745,0,0,0,402414639.8,15922757.85,31672779.69,641631.4118,59944698.88,3663241.773,6555814.811,295679.3528,139915.5034,15873395.66,828398.751,5083473.178,84262.40345,4174675.042,153589.57,128114.3264,0,713457.3222,54059.85181,39488.42591,355.9528077,0
3,glc2 21% 1 c,1767086.57,123970.9556,52259.63284,1146.517523,6251.352854,7119.585913,1910222.48,129943.2197,156506.2747,8095.626964,13171.85117,0,994540.1275,25325.63199,170682.3447,1492.481976,34874537.34,2134703.556,3788968.77,160264.6691,80477.10188,16649254.14,1718050.343,6897869.534,474208.3152,660974.3829,48446.04129,180.7606367,125640804.5,9353505.973,10787110.66,695081.0796,838389.021,7575.434999,158397768.8,10310776.97,218590.6516,0,0,4593.558414,339963132.6,13335045.72,23875739.52,492871.4199,50608094.82,3063568.315,5457241.387,244601.3091,120343.6696,8798747.741,436404.251,2617372.623,37550.89761,3961269.185,151727.8423,102482.838,0,548378.26,39411.13044,34215.1035,0,0
4,glc6 21% 1 a,1576956.609,120970.0071,84003.66569,11067.81731,18410.55089,18154.72719,1784817.467,121614.7644,261075.8134,35927.29061,37781.31853,33682.17779,1033813.216,0,11809.26351,438110.9933,33413233.51,1954945.68,2986631.149,5613336.634,468667.7372,14359650.12,1570644.058,13015566.33,3048062.325,1430714.6,2479790.728,168109.1301,120608069.7,8998704.895,17354732.72,2654731.622,2541089.612,1360286.228,177136292.9,11552103.22,236304.7289,0,0,1068.823587,396655278.4,14962160.48,1799260.565,57570022.04,48576485.41,3018913.398,4491447.05,8505939.715,739122.0269,8359064.114,362511.7238,194791.7797,7142802.787,4469989.21,162359.8303,8658.930575,226434.0442,709322.2162,40423.48264,54762.53651,2326.882494,0
5,glc6 21% 1 b,1894982.662,130591.6029,125567.9777,17705.15202,16354.95606,23208.42612,2105338.065,149842.881,323285.17,44152.53954,50345.78968,35135.2823,917795.1237,0,9807.369882,518527.892,42223542.12,2492336.335,3919781.923,7182971.57,613239.2026,27797725.21,3082345.139,27464624.41,6434861.463,3078980.164,5301845.672,365775.6393,155098797.8,11224770,23093687.61,3517938.155,3399641.669,1773573.247,230088773.7,14894621.65,302934.6888,0,0,4546.032568,193850157,7361643.786,2395799.783,80071441.47,51622417.73,3168930.476,5035728.951,9261049.855,810299.6674,9432219.574,460790.2299,256764.6116,9432984.593,3597256.23,111086.2695,12532.14606,311123.2675,613114.0777,42646.95916,74603.25379,7371.918522,0
6,glc6 21% 1 c,1393189.76,102878.9913,64377.53606,8688.491505,18041.85425,9236.16207,1443913.112,99058.68322,203293.7486,30497.03815,32532.07442,20587.01431,688108.0616,0,4170.937641,307539.5645,24676841.07,1522111.671,2081072.56,4216832.003,331940.6275,13660955.12,1453973.785,11719700.34,2802378.845,1260565.458,2294155.053,145877.2472,85840793.21,6375202.503,12400746.61,1990457.173,1723179.644,931310.9277,138615545.1,8873923.803,172255.8917,0,0,491.9967247,275305351.2,10368744.34,1343263.312,43792228.27,40509977.82,2434378.429,3554632.438,6856101.344,551917.545,6762080.4,284639.0314,118376.1429,4782945.422,3494879.008,116437.0667,6860.730383,189912.6872,528669.3305,43593.21535,40988.84938,1593.06755,0
7,q5 21% 1 a,1575263.328,118148.9399,6759.753245,78430.4556,27920.44646,774871.0045,622925.3033,46782.49536,32206.86881,269467.1161,90214.36516,2810605.827,1639295.985,41757.55875,0,8762.26856,26515558.74,1770256.042,2277539.243,2195442.006,19549161.08,21677782.43,2170730.501,2665198.141,2704629.358,16972410.4,3390554.08,53942.92845,33783135.9,3360579.434,2357259.132,17175650.61,5459268.219,174653397.7,877714.7838,5117.18228,0,91831.70884,14804429.98,519421624.4,700004146.4,26144105.1,85183.17071,388447.6176,37086480.59,2551340.724,3689029.074,3220595.137,31474269.43,25023980.29,968418.0001,0,74941.48839,6700734.593,171941.5894,0,0,514306.0488,30393.26172,65073.72058,7346.681631,297402.0001
8,q5 21% 1 b,1091536.266,83560.16647,5722.125862,76106.01338,27008.98499,754119.7233,587456.7945,42140.8958,33773.92978,266269.0914,77335.96911,2766360.901,1142860.916,24351.13154,0,4712.627104,24043184.87,1617538.754,2337014.379,2224541.852,19325222.35,21924805.51,2226454.167,2547025.849,2836392.142,18071820.09,3576198.117,62929.46059,31936909.96,3135161.103,2263434.233,16595117.91,5224430.652,163901259.4,382113.6802,3414.333152,0,91447.346,10652028.01,375622911.9,328429936.4,12346528.18,53481.56495,217774.2192,33806144.31,2309171.172,3527158.607,3102298.912,29778939.1,17102185.26,719905.5227,0,43611.63821,4164215.28,85414.02051,0,1402.053389,368214.4775,42043.89975,55710.91631,12178.22039,331606.0103
9,q5 21% 1 c,1855171.296,119810.1655,11203.30832,83888.87125,22687.38076,853079.605,629395.4962,49083.18968,31681.59353,278318.9484,91290.65958,2890346.28,1062087.383,24352.24242,419.6653227,4390.903019,25508377.14,1691754.908,2395973.085,2274033.056,20246526.75,26898381.14,2691668.17,2851039.981,3318566.227,21170982.26,4147765.181,70969.60096,35416255.59,3557658.856,2589374.815,18073119.53,5806225.153,183427229.2,703097.762,1479.682006,0,61577.1962,12215611.88,427896431,318787242.3,11854410.43,70035.86114,331409.3104,37686984.26,2395896.416,3294394.976,2910268.766,28120012.03,16649983,736211.711,0,48258.98143,4164398.983,79852.29361,1284.342277,0,517872.792,35909.61868,59715.29876,7835.36883,300521.0504
10,lac3 21% 1 a,2117966.863,149981.7317,70920.64764,8717.501902,7086.487863,0,1998022.93,126990.4365,209928.856,25145.88358,19265.69028,13076.89327,1105244.023,29235.24002,1937.561384,319721.9895,32872926.68,1973887.763,1997526.714,2976128.66,184270.8563,27301074.08,2622595.681,14203151.1,3367156.054,1574446.245,1560817.012,59184.76762,128584930,9141694.081,13875048.01,1876482.121,1135093.922,603312.4913,290530046.6,18535398.41,344612.0412,0,0,36616.69206,339592056.4,12470088.96,7252464.447,365551072.1,54835775.23,3191709.712,3126500.504,4449130.733,277230.5745,15928140.1,649878.7695,128282.8321,7638324.726,4624769.184,147929.2791,0,6600.051635,728035.4288,44463.24314,40978.05709,2092.196191,0
