filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 dmso 3 a,8281090.44836511,604781.75579242,1010990.97637987,205673.198491699,173029.379820141,812518.766900777,2020871.6624089,31119.5563010312,112520.433484261,56177.0139720936,0,40864.4649077968,5565208.82320677,314431.113248278,4632704.33766255,20220.899232222,8691499.09895842,1049384.85903681,6315351.83260866,801265.451167184,1936483.0119319,248074.814698999,313250.003565821,56708297.7275233,1853976.45944733,7150776.57902392,87264.4604320868,112904492.772243,10161546.9957017,35583456.8858269,3833781.45082591,12999998.6399417,129057974.834791,17229509.2248786,92592326.9319443,11395874.9146281,29532095.4192895,3680574.24828563,5839469.39909711,428125.536285355,0,1933343.7176586,0,1065605.8977404,188726.445490166,8536998.06806961,412685.87778835,1332509.95999307,2923.34296488034,0,1985537.91176743,196862.460228852,1536147.58341975,33049.8924422544,437680.991248075,64661.9570694336,4213305.9778182,183174.226477507,22618.2844578259,0,0,4357046.15680469,37446.7050156907,4590762.22251358,14239.6595989873,2738813349.89981,153371206.787152,10762098.0936031,2398344.39796094,25234357.5900963,740824188.783821,1005755627.23767,90927037.491302,215847269.352794,59932993.8292864,47291056.0311872,184464047.457664,126517190.44498,5182718.96744556,23518502.9927577,495793.689042728,79650351.3753813,6502440.91011843,21385371.8306791,2285404.9436582,8138424.31722762,10097669.2482594,392220.487224829,3146425.38224352,0,96064292.3697752,3162429.83145024,822992.230222129,0,8503305.61229482,315198.853514369,138348.369962909,17300.2882813615,0
2,glc2 dmso 3 b,23397976.9825441,1689633.37827966,2560598.86426196,649417.395892253,477140.132935335,1813885.72597684,3961010.90170918,80050.995343297,586348.917932006,14026.95190858,33023.7347716104,437577.189586639,18450476.0392125,1114673.71767656,16149041.540217,251750.689630477,10287660.9241485,1358327.47943814,7740224.14432268,1137854.79848104,2592412.18932735,328582.455406171,447628.342097585,67270106.8183263,2696249.2360083,9259443.45962885,109510.207334003,156621391.981881,14641784.2533463,49459663.2044389,6042421.31090549,19238957.6859431,155603875.864659,21508844.2629503,117009735.384883,15033161.332872,38036296.0211438,5366546.86748227,7998949.95261436,805757.349076411,27762.6193319763,2920823.6279801,6516.859311492,1641346.60298403,286370.209890204,13042502.6776218,693800.278965947,2086019.91813251,10797.0773732523,0,4503874.12296184,629886.359569417,3983994.76201029,105020.24789685,625242.642461402,93205.0175428003,6612318.67887222,237178.662380685,57340.5707845122,0,0,5949473.80846268,72059.1382523988,5367364.73670311,7620.40047371159,3277698750.03008,184078676.852151,15963928.4217726,4453798.60701206,30603345.3195527,886844740.933075,1443928467.78628,139130255.235054,337843870.937654,96422229.3303695,76044728.6851047,270938292.694136,185742677.367618,7583255.59924374,30499589.4739835,616981.485988319,102847706.672926,9038629.24777736,30035999.7751473,3537482.09432476,11292187.4866698,10419576.8270983,458557.121196066,3464937.81879702,61403.7604511311,123441017.45364401,4031689.29394177,1292684.28165195,0,9026294.46611373,376070.632717018,201966.795587323,11302.5891272577,60604.3337802358
3,glc2 dmso 3 c,15443517.5134328,1240042.03057011,2428995.34689345,634307.899498851,498227.439834726,1870359.13036395,3168404.46410024,58709.6775398051,317934.446183504,23443.1942390018,4722.71102566986,141140.33528117,22593236.0488843,1407578.80626384,19620564.5120381,284042.303853494,10738072.4935297,1415214.58515448,8161506.11734929,1149574.73448002,2747173.75496529,340233.340106046,487287.238820294,51040410.5429663,1877322.84662471,7547107.80792645,51725.0331392009,161064208.254343,15026973.8231408,51220640.0281306,6108075.66924329,20076871.9477737,186972999.714029,26264772.0844126,148802302.100666,18927707.8515294,48458385.2185655,6492971.13953641,10488908.2891867,975434.957672158,16134.550291396,2956660.15359147,13961.0745296777,1912519.81637958,433551.070285639,15342991.4993364,866003.27812314,2550840.07811064,20855.1410581472,0,4254044.87099937,585958.258297882,3822045.74850342,111835.975562718,674892.075776975,79642.0739036085,6457227.16811828,281880.410995611,40230.6663765793,0,0,6076251.24602538,89109.4464028968,5729928.82499393,13624.0286022277,3551166032.20362,199316151.3208,16616722.2258592,4709722.4412568,33364263.7232787,970754263.104894,1517333795.03562,140508494.317636,340096929.310263,98751992.7894174,74151503.4092202,287884486.407807,92852183.0135462,4291460.24691452,30600680.6553242,656767.476203869,98718898.4920407,8331281.63444128,27769359.2044295,3268216.34737975,10934716.6484874,7611038.27642594,318933.681856585,3230641.1858797,51519.650777765,124830369.384745,4457746.51003219,1420580.50611341,0,7688487.1150615,287677.123144919,178390.734599217,24805.287321414,111667.18541301
4,glc2 bay 3 a,10160714.3337913,602385.360830079,872536.961800288,64376.0675026074,191073.797690164,686654.443119942,1985459.93427912,14219.815919985,65543.8002528124,0,7254.85792894255,27259.0093826338,13728904.0328034,774449.31509575,11603712.9031706,184646.443664204,4852033.67061549,377667.309699804,3055320.10320475,316764.59369641,677891.477145136,53090.9304785017,5141.20883746945,32196746.6360022,966310.419818699,4015931.04730041,25712.7748439777,97816955.41868,5318892.82269577,29870517.3805296,1461928.3082105,1907338.52223057,113150193.122174,11264115.8261867,77949444.8636064,5609471.33939698,18548824.2735597,2638871.97766506,1543823.68999603,1256827.14637137,37925.4820297906,3391256.98566679,13772.1420493663,4362893.79261045,611398.823902521,17194248.5019314,1072016.07402958,4526557.67973647,73636.923093645,0,3557801.89945773,627209.35665648,2521083.57863173,142615.252473185,503283.814572673,51001.8645815925,4256806.83056613,144852.923374283,16646.6043496762,0,0,2346492.01189474,0,3908838.51587106,17895.0684398509,2640425198.05746,147319485.377163,4934802.28510216,244655.832161661,23106804.6312178,713751596.285002,962157093.677311,61082162.8618904,180223825.851155,17170366.2845988,46134832.1259115,158441418.336177,103767832.644215,4212373.68921027,21817214.8155225,380076.883888687,31508015.5445897,1454126.97530678,7290415.2585727,259352.810471323,353044.711964467,8336159.0634823,343887.149018287,3122619.29963558,36674.7645312982,92168105.6386434,3198232.72336164,2055917.7416684,0,7247592.76412893,233976.851188368,13593.0208918699,0,0
5,glc2 bay 3 b,9938110.54729122,606726.136235544,1214237.25082771,93686.3111274994,262677.317687254,866026.094454066,2677862.76852354,30956.418727394,88550.4020509506,2207.38775580949,1714.189871437,166610.0361719,14697556.8040145,745989.868240987,12760406.4476038,158688.344003542,5384696.76475188,501311.03013741,3581344.51657145,331976.942679148,827429.403068697,106887.31982081,28953.250118786,25492656.2258362,790698.461587703,3454463.33801427,0,103737967.132515,5787503.3518643,31645033.3033693,1498162.15519798,2141105.48563099,125765516.891568,12450575.3266823,89340558.7934327,6735070.479442,21233373.5772071,2907954.28746081,1877055.07076783,2323850.65900554,88668.7435641209,4163051.64350758,33245.4391774332,5970024.79361359,884461.323220523,23423282.8821535,1426044.59881679,6444737.01721032,137905.8139051,0,4446775.80001885,760416.32582607,3095666.87797946,123476.284703276,562720.603873014,41581.1317758366,4189199.29232028,158678.349261187,12860.399306784,0,0,3247889.48579886,0,4083686.85371589,34941.5463958061,2793960450.19892,154175278.974494,6228884.17666486,96403.4560231824,24062098.3829969,761659508.078785,1069705287.15502,70424828.7249863,219985955.11766,20816994.6874877,55394922.9877208,173848840.293024,92290743.9154638,3809389.04834947,25138474.9571121,455316.114455839,34632578.9987939,1738131.93705533,9493614.23210868,333954.730983882,464788.018195677,9152788.83730209,398151.310376154,4095765.84493813,31268.5589383244,92586536.4805201,2947876.16810951,2381568.98415085,0,6502653.57194181,204782.621298368,13549.9775584896,2261.22818960819,0
6,q5 dmso 3 a,11500638.9684941,801071.400716892,232917.623520876,1309349.24757114,186171.181219724,5119893.15725174,1355914.1367062,8982.00137823467,0,70845.004594226,0,722482.819000009,31377634.9651048,942268.020428468,0,0,12330360.2933293,1248552.97209058,1312167.32164431,965699.894337366,5104614.36665585,656388.111756051,0,20128478.9194258,351663.696144443,0,0,121198800.232146,11725987.3808087,17126692.2188066,5479416.46336025,66453293.6258612,190565502.168552,22879876.4492622,25197026.5525654,12806879.1794081,86462651.2327222,9512627.05582292,25368.1822378051,1208861.19179235,3712.36507067547,2056526.10937609,0,11948656.1554605,705546.674030251,237094.922975707,0,0,0,0,6346531.04442691,700713.054752943,0,0,6856040.0566208,376904.532556471,0,0,0,0,0,5024310.71148085,36142.1209493139,2116743.79911589,0,52223045.7447,5081947.78071491,2399491.81978438,15010314.1212586,153476658.33232,4706526210.77893,712482295.562939,95001220.9902234,53468390.7116405,283872435.421971,44161903.1485661,1158476514.31203,128941007.290302,4384020.10724927,27612.4607550917,167120.82631109,67996622.7776162,5287791.85772335,7772995.76994741,2422804.07296792,29755885.7900429,13661494.6059955,395838.344880244,0,17813.5936550817,114925275.603611,3470630.41132356,0,0,10795795.449126,428216.582198274,218677.372047106,24636.6176938125,1017924.2720796
7,q5 dmso 3 b,13478044.0052262,1131527.6246574,395797.774801149,2134753.63305384,336544.695934357,8300587.35468636,2019726.76719782,30772.644883677902,7810.10869526668,216527.465864669,2235.40768434594,1999633.76906057,36808806.9907132,1154036.67822779,0,5660.05629537553,14608321.0794409,1660836.07083144,1859307.57570954,1233565.23531917,6442641.12481542,844635.200951154,0,43421811.5716424,1235838.05564031,0,0,140659149.478967,14038057.7579387,20708825.0526734,6978795.20987035,77058198.0878302,227926077.710196,28064714.3424265,31806708.5613466,16100160.8251213,106694305.472893,12233737.4427626,102836.328700801,2188771.08766408,34145.040730871,2124326.38151718,0,14915565.3060526,897712.680970812,19051.872200852,0,0,0,0,8492185.88231286,713343.433092376,0,9808.61581658094,7940650.44122701,428716.818609497,0,0,0,0,0,7935853.59880907,124187.17535197,2136542.53177488,10457.4600465376,55868283.5506419,5789650.4846098,2511545.819121,15346833.1998527,142169553.646301,4492322490.69944,779789411.087429,107653617.800119,61899018.0446143,319241119.250621,48235642.8890762,1253918169.89658,131982555.871932,4489067.64724465,38824.6827997022,232964.404046373,95509905.5529628,8296549.19393555,12295058.2675695,3903603.86618097,45750509.8846149,14490665.5959645,440761.924498753,0,23654.5859994749,119171358.86095,3808189.666074,0,0,7664665.81875582,311962.103631569,259749.104706818,20374.9282335491,986452.95992582
8,q5 dmso 3 c,10836147.8960071,893205.649627722,282057.673334437,1649857.69402728,224372.589417685,6930480.65262722,1522179.32018616,7871.39731869521,0,59129.2283603444,4762.51706354709,1379785.47361612,33560750.1343216,986720.032515985,0,0,13132195.0196233,1503243.7531589,1707724.35297602,1012658.07550746,5861127.87417546,655429.510523544,0,52001094.9805818,1604922.75838313,0,59633.5041122884,130981604.480008,11611903.0648957,18984886.2694754,6637294.71277681,75485764.4840727,215444303.940179,25148716.0983367,28385170.8354034,14515100.4798018,104729842.376153,11239887.7984427,34401.9187903309,1653600.80551825,10944.7845202989,2146568.407947,8226.61991203032,15341833.1584363,950724.174009787,15503.2934591768,0,0,0,0,7155443.85706099,556108.483199621,0,4215.53903879365,6849746.05427829,361688.219833026,0,0,0,0,0,6769620.80677088,101650.556906579,2285935.20839515,12790.683389592199,52267285.2331207,4822112.26227022,1599382.87509854,13550680.2478298,145195714.837062,4497499144.0945,673311015.321045,89597118.0551103,49696049.8984577,278054110.591581,45893986.4339982,1194964945.80483,153046088.543645,5196291.83462929,19850.0196604657,119802.319637719,83305448.2169231,7080704.48129834,10421847.3455713,3538175.81542439,40709972.1343861,13520537.1457347,423476.305788031,0,20648.8395970568,134868984.886945,4219526.49850391,0,0,6926198.31645982,272655.060593451,199402.855834886,18880.942723200402,884695.155459736
9,q5 bay 3 a,11465902.1540883,582241.978265713,8111.7952846759,123775.455445647,83184.7691075914,3246819.54911827,1422344.04686204,6181.27472746651,0,2271.91918296378,0,857672.287840148,26718522.6080425,831664.90912228,0,0,8621823.19058291,440112.081647172,0,347225.889101053,717475.733568822,508489.170163215,0,29630526.6548572,757735.897345882,0,0,129682474.096456,5731663.19532423,687545.470806661,2828623.70299296,8105070.06279882,179918839.491743,12773579.6947256,2015842.55547236,4226173.36411859,20715694.5155341,9487662.62115453,0,2521882.14751995,36260.1976307491,1883449.5032552,14043.5069070365,23119382.859379,1463136.94372544,2060.7883029739,2314.41731408121,0,0,0,6617045.10055389,594770.984492554,0,0,5131419.59025221,254327.754604682,0,0,0,0,0,2964139.18059908,6035.28286126758,2260789.35043446,28309.5483700361,40517239.2057998,1694879.61674434,53133.3570767267,3524318.6550627,112783223.784487,3536091546.18433,617320009.045884,33800727.1918498,6964412.92536544,35392816.9246044,26550785.4873901,808280092.862652,164326054.324097,5528592.21649275,5164.24322898422,0,53454207.7351893,2106245.73646653,68333.3865716232,620935.154043562,2161423.95919677,14562014.6279858,421686.447011722,0,1936.80652185501,104104279.783084,3102367.74843442,0,0,6871022.17880268,242679.023670929,0,1646.06520866147,122691.68785914
10,q5 bay 3 b,10829115.0702777,581830.063926543,9404.96412423084,104138.0413291,89948.2445775368,3232005.12454316,1160959.27755069,8269.48591851909,0,0,0,678481.321968513,25349633.4292014,808219.01268442,0,0,8249792.45460143,580594.473129727,13485.8724940796,367509.662431996,736003.340430162,453154.670375853,0,23125817.182045,551879.326015464,0,0,119914166.547114,5147919.49098037,509644.744311844,2624580.39906211,7628657.21470959,167478378.34469,11696382.6831202,1768070.16738298,3844299.73297042,18904754.2724742,9013866.49135849,9534.54089063219,2381730.15715133,25484.6010942874,1902181.87001361,6047.49014157379,22918153.8414959,1497114.08663997,21863.7034348029,0,0,0,0,6181655.12121402,542604.079330497,0,0,4889300.387049,268109.594826257,0,0,0,0,0,3236852.52659199,21831.7089370188,2205633.97738242,4973.2597490014095,34705591.3456998,1513588.67500162,26473.7490435282,3169875.07539695,111484411.559809,3442264771.11881,579626340.768536,31341514.6824346,6603292.74142942,34051060.7264426,25048685.3058225,752493219.004864,113642892.050411,3782562.40493629,5336.72339007313,0,52153262.6659217,1897460.37646278,58247.5101482383,581983.301449424,2150241.83452347,12256944.8618446,382195.333091329,1602.65199641552,0,89939652.3845802,2828899.9588048,0,0,6628284.2584032,182559.088689177,1940.96371248052,2997.46398720997,134332.315350287
