filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,14738645.85,1251103.562,17727652.51,291012.3113,441476075.5,31493866.83,354948840.6,7499603.172,11258027.4,753995.3209,4299957.098,106750.6521,78173673.93,7271636.807,1882286.441,77440.82286,99964.96653,17753.15334,157754573.1,18182060.13,42638543.3,5576374.246,8827493.274,668784.7386,7434205.989,485479.2741,64530.7492,16947.82137,44187315.39,4713648.896,19017151.84,1381573.327,1244181.457,1732804.122,183269.4071,477429.4491,67400.75474,106515.7801,34944.21234,610687.2522,40881.68786,97751.04606,21178.44775,0,737782.59,82297.52139,234873.9805,8909.269383,11310.80302,0,18756718.34,1957582.131,8163432.938,634230.1172,595131.9517,7853703.499,1271363.622,9338221.689,946660.1058,2257705.828,150076.678,79597.69749
2,glc2 21% 3 b,14591606.12,1211539.592,15910298.58,321289.207,503299964.6,35714688.42,386558564,8122403.869,11672395.97,721362.808,4191546.211,105219.8944,75142461.93,7012490.286,1887720.312,96491.47284,109592.9739,0,161421472.2,18419218.74,44516801.81,5941675.336,9184907.319,734090.3481,7020557.805,448797.5034,77486.28806,58880.53857,48944533.47,5147548.222,21107345.32,1581013.95,1413910.813,2035355.956,214762.1388,644060.4557,77335.52309,142806.8367,89536.78392,576776.85,60743.25274,125971.6738,20925.32338,0,723130.5358,84287.72037,223708.5413,5997.862492,9292.158525,0,19757715.1,2080839.613,8906536.974,653819.7786,598144.2954,8831167.182,1449960.158,10739941.54,1120965.656,2650351.608,184264.5071,162590.5631
3,glc2 21% 3 c,13016607.97,1032605.634,14191996.46,352316.578,520671145.2,36756813.6,409432210.1,8617402.736,13675485.61,893950.8775,5194673.708,120415.1283,91805299.1,8851950.293,2112851.558,31029.11687,126555.7845,0,176218917.4,19342556.69,44622148.84,5384179.551,9298086.162,680353.7775,8288440.176,545740.5601,0,0,48300155.35,5024148.704,20168707.49,1465312.581,1331852.534,2029713.786,217827.566,557762.5982,75724.68233,143401.3926,14628.27241,617480.7643,53495.0607,108461.7469,17719.02339,0,679123.8569,74570.069,195594.5194,5398.236296,3716.403615,0,19779030.09,2028549.069,8396189.808,625365.988,561507.7892,8130274.419,1325517.007,9598372.518,961356.8756,2359356.231,139148.02,149683.9463
4,q5 21% 3 a,21453270.93,1094226.73,238249.4568,975671.5295,632441367.2,30745100.13,8055054.738,4933835.156,15408233.4,810086.2739,142924.2694,87137.67453,1429112.778,227070.0705,162736.3014,1285924.563,6066755.863,198179421.3,44227880.3,8567144.64,9697990.642,44027927.87,11128322.56,318404316.7,7314773.665,477643.1077,76475.55819,16705.3287,31525919.6,3950776.793,8659122.531,12285077.63,45372592.58,823283.0755,138358.7282,187183.0853,619183.2924,212688.0195,4374715.268,203034.5732,49678.1928,120486.8484,38294.02144,915004.336,212983.0624,40461.93721,55043.23208,253763.1882,65088.88503,1790792.732,13623345.61,1705150.664,3767873.518,5974614.719,21270427.16,7780562.448,1219405.144,1864852.14,2874981.663,9596050.835,2977035.368,155969.6263
5,q5 21% 3 b,21436754,1064096.91,218783.356,678891.7628,707128442.6,34387933.92,8481279.703,4672378.554,13531871.75,722628.6874,156987.6113,81777.33119,1236533.038,206115.9649,157398.3068,1164179.076,5120232.803,171183333.4,45672158.08,9200933.153,10156633.1,47379087.75,10704804.1,317060357.3,7319233.31,474602.6556,376112.4359,81645.22221,30014666.78,3896322.022,8414238.181,10059834.46,43286188.86,731004.9407,126817.6623,155131.112,521740.1614,177659.3672,3699514.357,236885.5843,60623.33209,139318.852,34513.90038,1025148.052,207018.372,40684.66417,48456.14422,237542.7064,49804.17192,1751475.321,13612069.04,1824341.074,4169050.822,5253491.714,21163983.62,8384464.228,1394382.918,2077161.207,2867331.196,10166039.53,2906966.997,179825.5077
6,q5 21% 3 c,18142428.21,945574.0472,187804.9635,273763.7867,577576318.7,28359031.71,7029622.584,4638622.961,14918278.24,827785.443,163130.4248,100775.3875,1465180.764,240496.1322,110429.0315,1297934.63,6189985.829,206065718.8,42891865.31,8508284.872,9028225.802,42846660.94,10496902.98,298513158.1,7646517.184,442200.5903,267931.755,55697.95857,29146259.02,3750843.796,7993372.644,10317920.95,42802770.86,718710.4779,111888.8714,111789.7767,533127.0383,148891.302,3667153.066,277368.7205,45950.13765,137768.9154,31862.3736,913757.6826,183330.9168,36970.05101,51664.81159,213411.4761,42712.59702,1520901.942,12880424.22,1682137.946,3851217.377,5140342.694,20800721.14,7231361.375,1184267.619,1908573.944,2679691.27,9422720.633,2758251.065,140609.7633
7,glc2 0.2% 3 a,8477916.892,596893.24,7478302.421,298564.9419,370026685,22049537.29,197693344.9,3280521.735,6716188.66,413940.2679,1524927.807,12117.38853,55717563.92,5012713.985,1007987.417,0,38277.9607,0,70839549.53,7245617.512,22389531.87,1826107.536,5471905.096,157083.2614,5666888.956,299511.2331,0,0,15126341.51,1296336.716,7097491.768,264579.5715,189245.0094,1223010.56,129026.3879,338891.8321,32929.6059,102556.6805,28284.8138,393633.6238,35801.6693,37624.99412,3341.210595,0,330807.6919,30341.71875,114229.4966,0,2193.360771,0,5994254.82,494387.7915,2703514.528,110897.0497,122185.3055,5535476.407,694542.3463,5298928.461,420231.6624,1341020.096,26518.96047,34294.24502
8,glc2 0.2% 3 b,8341639.215,564286.2667,7164832.584,264705.6739,287326100.6,17096132.34,158912734.2,2556384.607,5450527.461,302986.7553,1266844.04,0,49748444.89,4535856.189,973410.4862,0,21004.72671,0,61853589.3,6693999.887,21532176.34,1801949.948,5290559.035,207632.6744,4559809.282,257143.3743,89206.72059,0,14203336.48,1250497.164,6842378.601,321872.8635,265114.6019,1080281.705,112271.5284,346612.6005,34554.32947,94695.82797,18579.96253,382705.5953,32232.14165,46752.58417,8414.755522,0,332424.3881,33059.81587,132169.8535,3841.222712,6034.684252,0,6010159.609,499457.4364,2590665.132,110135.7763,123509.0992,6465100.337,863800.9399,6485665.847,533396.9376,1673417.207,57884.21894,33817.18039
9,glc2 0.2% 3 c,6946783.592,490720.1502,6540662.111,540081.2973,263251317.5,16229025.99,167841097.8,2989126.353,5641403.899,314927.8455,1372450.843,0,57267027.22,5334434.567,1073664.842,0,43511.33761,0,68862859.1,7431497.527,24984193.77,2279298.068,6050894.773,295848.4387,5299207.552,275003.2929,0,0,15376937.95,1347377.643,7597910.507,318740.2951,316383.1569,859548.7977,88428.53971,327805.2416,24983.86454,104750.9989,0,258666.351,25344.29552,45350.79048,5699.350822,75457.41872,319643.4466,33992.18574,120907.4814,1716.151835,7212.263327,0,5139737.23,457054.15,2559558.78,114436.0796,129166.8354,6173780.01,860064.3449,6599029.972,553969.9654,1722898.089,68288.49144,47754.23396
10,q5 0.2% 3 a,12603061.5,618258.4383,120369.5141,599127.9113,431565485.2,20097291.87,5852861.392,47281.90792,7238346.812,410184.5781,96811.49655,15871.28653,813344.9095,28515.15047,0,227781.992,4304459.538,141074732,30612487.43,2937040.821,2757284.83,8659471.84,3607560.182,114761075.2,5258156.867,290067.4217,73744.56866,16794.43858,16881576.49,1212857.758,774917.8892,3042264.086,4265927.943,721161.3406,65247.04783,82665.42304,153197.7877,100769.6994,2054687.578,148307.5472,15365.25969,16224.88501,13761.95742,286134.5084,158221.0083,13282.26903,17468.66584,59196.98901,21242.52144,715496.2476,5969601.953,418365.0401,325990.1443,1192447.236,1871377.209,6686675.585,684670.9232,376886.0187,1328447.433,1579659.207,3719908.359,47489.89473
