filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 dmso 1 a,9528197.893,210617.6556,149922.108,0,0,0,2592176.843,0,0,0,0,0,14830649.33,578847.7728,11856819.14,68837.39772,5723747.646,553617.1736,2103480.746,63752.6801,129985.9393,0,0,9241136.595,603179.1284,728581.3676,0,409828045.9,30637791.79,63822381.13,4488822.963,2100153.891,120705392.2,12311111.87,43150157.37,3553739.516,4851828.833,124285.0106,0,1639695.963,119601.8626,14262373.89,544565.4612,1113105.121,0,0,2725862.052,686846.2206,1282363.423,0,849987255.5,70213334.98,123246236.6,12639405.23,10469125.94,1820642.425,429108041.9,23137458.3,1285003.781,0,0,416316.5312,1710147586,59963007.8,47371606.12,519225.3226,88346846.34,5660847.197,12353882.69,572485.8831,118257.6242,334759118.7,58289380.24,5801762.515,0,0,0,0,0,0,1842268.026,53915.38823,1479106.731,0,101868935,3512759.916,13852089.52,138352.5156,16872.0459,0,0,0,0,0,0,0,24188293.31,654033.6696,137179.1789,0,8737010.346,385740.8273,234381.9491,0,0
2,glc2 dmso 1 b,3318891.687,192920.3471,224123.5555,0,0,0,2810251.104,0,0,0,0,0,21820088.36,1043054.97,17851261.23,175162.9521,6478709.153,705056.4919,2985981.598,156202.5572,254334.9661,0,0,10726481.69,799193.154,1239847.896,0,529771885.7,41882936.76,93138129.79,7199370.546,3370583.134,136423514.3,15038282.37,60701029.91,5341389.885,7217960.125,388544.1025,22948.42811,2027994.386,173978.3121,20952686.28,853838.9016,2029062.202,21138.80835,0,3621679.772,950164.5769,1895677.462,34325.24603,1207125812,102916122.6,194226780.5,20990644.38,19132123.16,1016516.861,638649965.3,34350125.91,2244144.163,0,0,0,764369663.6,28164963.63,68380535.01,1039318.306,101655841.6,7169519.124,17307313.94,927574.7789,411122.6453,193908185,33159326.07,4876058.764,0,0,0,0,0,0,2987979.809,104848.4121,2421753.18,0,93009563.57,3320610.425,20039563.39,189702.2184,0,0,0,0,0,0,0,0,22781007.05,648999.834,157059.0446,0,7666226.395,479948.1712,369943.0661,0,87826.86978
3,glc2 dmso 1 c,3240153.557,197302.6127,248311.1327,0,0,0,2825696.103,0,0,0,0,0,24292235.28,1088623.4,19462702.4,128195.0152,6531706.061,624574.8165,2876656.136,153976.9542,265735.0358,0,0,11352156.4,822892.3256,1240707.624,27574.25453,551319927,44007221.45,98265005.31,7303840.75,3612700.281,134920667,14882279.48,61533012.6,5307731.102,7158023.296,344889.9459,44286.95981,2111949.647,187644.767,23411183.46,917399.2013,2335039.533,15957.07404,0,4320512.872,1128660.012,2287564.902,74724.71871,1302389655,113396407.7,210519176.5,23888757.9,20213606.55,1457934.357,691684296.9,38088299.22,2757089.666,0,0,0,589148174.4,22383522.84,85622632.06,1320689.811,107152150,7783689.698,17835414.44,981269.5364,255405.61,274759635,49761442.42,4311389.732,0,0,0,0,0,0,3397925.639,135625.7096,2745156.943,0,112655520.3,4182226.361,28341031.12,306944.6865,0,0,0,0,0,0,0,0,23418835.68,638738.2912,203326.562,0,8731664.078,549135.475,396591.4777,15124.16574,103604.2989
4,glc2 dmso 2 a,4720191.877,389708.5966,511950.1511,33847.73813,21657.43996,0,6106655.027,0,131712.1062,0,0,0,28309661.66,1315114.933,24221658.99,293729.5719,9616798.688,1283033.069,5675580.413,643982.1557,1069657.565,0,0,14641387.36,1686697.189,2154556.409,60632.42046,718838773.5,72202072.54,178699246.9,19720700.86,9998536.38,186856068.3,25520785.04,117714808.8,13725972.64,20709003.05,1916844.611,675283.9085,2519973.378,232297.3826,27082308.73,1172135.657,2878643.219,39687.95102,0,4016264.116,1417395.705,3024010.501,224571.1753,1430602351,145614519.4,325784663.9,49923991.15,46426365.3,4888716.942,918533013.1,49561085.21,5026582.214,240385.446,232361.5446,0,907446840.5,34988678.59,148431634.4,2674102.286,155609429.1,14546859.34,36391224.22,3401526.43,1799646.653,378687112.5,65663107.97,7070964.072,0,0,0,0,0,0,3977939.853,168721.6189,3429491.958,0,80954905.73,3248977.181,28686596.98,359662.1849,23327.42947,0,0,0,0,0,0,0,39042353.52,1149312.627,321435.3015,0,10730998.82,581344.3789,662254.881,92589.51693,112542.3612
5,glc2 dmso 2 b,4866628.929,413339.3887,507345.1591,34613.22033,30009.64468,0,4281412.575,0,572834.7763,0,0,0,29557003.35,1413073.42,25976008.61,357530.5224,9254288.365,1235950.642,5853250.174,672230.5757,971681.7108,25415.94747,0,14806209.38,1540063.574,2146145.045,83349.22635,678556754.8,71156063.26,171525753,20299755.41,9708848.372,179479563.9,25570108.44,115526913,13839329.97,20434821.92,2088495.27,725801.1265,2362657.687,277936.0381,27276432.86,1108661.106,2735561.094,41859.71844,0,3778561.533,1263472.237,3109826.304,148394.2689,1309777904,139021542,307465362,49117996.17,44272595.48,4767587.866,830001604,45171921.6,4591774.255,202209.2269,112750.1437,0,826186324.3,33145559.5,154228053.8,2784558.761,153427332.6,14047118.97,36066017.95,3395022.231,1655028.967,486716494.6,83487590.09,9655551.872,0,0,0,0,0,0,4316101.933,186222.1392,3849051.402,0,78472278.32,3069524.695,28039978.51,407571.1828,0,0,0,0,0,0,0,0,33510727.15,1017747.808,335968.4771,0,9623743.274,657363.9291,682179.8021,90066.08081,99884.50431
6,glc2 dmso 2 c,5415228.459,448724.9793,547437.2753,42809.04282,0,0,5401587.282,0,462549.4316,0,0,0,30537270.38,1450166.346,26609116.4,337794.0993,9396372.771,1200560.596,5862412.69,686099.8858,999964.9959,19530.14727,0,16265586.63,1732569.843,2450870.748,64371.00204,734480331.2,76654372,187237943.1,21937794.09,10952956.7,182388537.2,25638446.6,117155462.8,13947716.15,20892326.75,2094590.073,659570.2028,2458015.751,302511.8392,28204415.13,1276247.274,2898447.228,22622.49782,0,4004119.75,1202635.815,3077646.622,153025.2559,1441596138,148644567.5,331721419.2,52478457.18,48611272.99,5292462.241,946565350,51674320.45,5215061.125,0,0,0,856137778,33929988.67,163253961.8,3008203.071,156846840,15483396.57,36217676.24,3398462.434,1496784.89,371429820.6,78185706.77,6845732.197,0,0,0,0,0,0,4340360.039,156814.1214,3791078.64,0,82292980.05,3474514.841,32040214.33,451833.9106,0,0,0,0,0,0,0,0,38991383.67,1245699.045,323413.4258,0,10502200.98,739418.3197,797652.2345,117313.36,72142.82577
7,glc2 dmso 3 a,11102889.4,622459.8895,1484662.754,148691.7561,203539.4354,18197.60521,13832591.84,409050.8204,1747790.052,0,0,0,37139248.99,1849920.257,34065312.94,402103.3136,11037416.74,489929.9104,8711472.916,948640.0909,1771490.615,50368.63688,24215.58865,20682466.75,1974220.798,1990305.241,130531.3503,977672846.2,89288299.83,258073240.8,27475323.33,314335.7643,241421791.9,34162601.18,176592637.5,20490554.51,36632033.3,3383340.526,1558275.395,2590409.362,370561.7793,36165189.03,1718286.381,622264.6244,46476.44786,0,4544995.018,1399801.523,1116601.256,232171.3217,1959233977,174101669.3,471244088.6,470399.4591,2415581.065,335714.3681,1024125408,34027219.18,6693240.839,204409.7382,0,0,1155575581,49346793.07,294628678.3,5919076.913,294124382,26788902.35,79103831.24,6099985.865,2506234.408,871024260.9,143012889.2,12819868.3,0,0,0,0,0,0,4036911.305,169805.7112,3447642.223,19282.09013,95069596.29,4009899.562,39505320.31,664819.5073,25086.08532,0,0,0,0,0,0,0,57242990.86,1465472.218,740062.2208,0,15768037.36,810802.3067,827704.5671,146149.2575,128330.0541
8,glc2 dmso 3 b,12536760.03,858059.9737,1930574.321,281908.267,251947.7153,0,17479692.82,158593.0179,2429226.49,0,0,0,49997186.1,2618529.674,45843569.63,691199.4318,14690392.1,2082180.537,11679712.52,1383748.015,2352960.899,146152.6647,0,23565837.77,2515236.668,4225011.64,221121.8034,1041982114,108355501.2,309261240,34686562.35,20912964.67,288153138.3,43965828.91,222843459,28016693.5,48014091.16,4551847.729,2096952.832,4848305.098,631297.66,51820305.8,2748083.859,5987161.848,107256.1865,0,7294007.541,1143132.268,6502684.719,194083.2934,2231234398,235479756.6,574594834.7,94763986.29,102684658.9,11588690.02,1187780685,63312412.52,8664493.659,527147.4368,821462.806,0,972408523.6,43618624.71,323738152,6665880.657,325743057.1,32845080.46,94649715.75,9688969.075,6158549.2,742752654.3,123096429.1,10494626.48,0,174353.9737,0,0,0,0,6799248.101,311865.6593,6667363.228,63030.81826,73534866.98,3393706.6,34838846.25,637966.2933,0,0,90685.41435,0,0,0,0,0,52346373.25,1769627.917,747849.5665,0,14752497.2,910910.9061,1458623.528,202328.3336,155346.0731
9,glc2 dmso 3 c,12224510.46,961392.0713,1958680.637,285733.4519,291781.3368,0,15084605.84,122985.8669,2059713.546,0,0,0,53289307.21,2719017.388,49368996.93,756942.4625,15245839.18,2226783.632,11823296.81,1494612.916,2514066.801,149354.3124,32404.8097,23902552.59,2553643.715,4393337.677,200333.2195,1075933420,110154558.2,319103238.3,35799104.42,20916926.66,294693523.9,44367197.44,228313972.4,28418049.28,48918010.2,4725789.809,2166463.336,5196019.708,675268.3304,54137228.94,2862108.027,6544053.989,123902.0219,0,7371977,1151812.562,6900861.67,138312.5681,2280840481,235317741.3,574231327,94767618.44,99406925.04,11655795.58,1255560857,65268750.85,8643965.856,598353.6532,381756.5579,0,901355552.5,41385672.08,323163021.8,6344378.601,319751193.7,31494024.18,93415317.74,9788028.906,5536784.567,518549904.1,87664736.56,8694460.772,0,0,0,0,0,0,8131708.339,371991.0039,7924113.577,72374.38094,62461154.23,2668009.705,28414463.11,402451.325,17236.26082,0,29880.38399,0,0,0,0,0,55099325.04,1990118.073,836871.8011,0,12786168.17,892401.1827,1440025.78,217578.545,222976.4507
10,glc2 dmso 4 a,26182984.43,2014796.88,4629464.837,713237.0594,691681.5586,69191.33914,27372857.77,1734324.709,6676413.1,270487.7698,0,0,61095419.24,3379014.247,56053640.7,967691.3329,20741111.16,3188358.453,15635039.08,2035084.962,3050213.357,214077.6843,0,31834634.67,3274343.323,5398753.578,234759.4194,1279840820,128505877.5,361630237.6,40609557.59,23839588.04,362945780.1,55977381.74,279361751,35725676.38,57812249.23,5899586.265,2524508.321,5996457.353,700533.869,53088607.63,2820442.151,7436621.343,153956.2973,0,15421058.52,2111122.717,15167189.38,274259.0422,3095739531,310575027,743365711.9,121214043.8,128817632.8,14520571.36,1372314332,71089998.74,12362893.02,1389791.129,1157732.51,0,1150676611,67949469.15,708411327,17641371.17,467276622.4,44784950.97,132502099.4,14157960.03,7449612.38,570963564.7,97675705.47,10328352.45,0,298639.9657,0,156007.6834,0,0,8087704.434,432104.4384,9104115.618,170001.7743,113319424.4,6163863.478,72909372.84,1604160.853,0,0,129104.3384,0,0,0,0,0,65726021.33,2981513.325,2606548.322,0,16333105.98,1187845.775,2002006.031,297568.5305,264555.6338
