filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc6 21% 1 a,1241315.435,117977.1198,192416.0771,48978.2211,29224.20743,46651.54203,2619722.974,246154.5869,712933.4845,166925.0992,147414.8246,104134.8675,2417722.606,338.7027642,11364.57617,413307.1278,122804384.5,11634116.69,26217895.64,28414628.2,4386740.53,29283770.52,4334275.088,35782002.66,9946621.789,7439729.946,7150729.636,984777.6056,272195676.9,26701483.32,75068858.14,17918808.67,14125714.32,7336172.276,140090797.7,9105407.347,953560.2041,162850.2092,116201.9347,45442.09543,1180215221,43701980.04,15261001.96,486002428.2,24402021.6,2194613.388,4930674.103,5146485.625,827631.4266,77649234.96,3340388.399,2298263.176,75734071.22,13252059.21,468412.0912,0,477542.5013,1871582.848,231609.9591,368742.7582,71578.93222,0
2,glc6 21% 1 b,1348580.317,128681.666,233830.3968,65114.30792,53948.8853,49667.38278,2521864.925,234868.5505,747881.5057,182119.0545,176159.7975,110734.9266,3101449.153,0,20709.7944,588248.2316,117801288.1,11324754.67,27365531.87,29433032.12,5350341.923,29127318.21,4468987.25,39698315,10830895.1,9186447.133,8812892.066,1350984.537,276425683.4,27550265.78,83136943.54,20623931.81,18134212.03,9517161.203,154406564.4,10145263.22,1181371.762,232018.1546,166353.481,80846.53817,1831108131,67801903.55,22004146.9,695183884.7,29532554.45,2679499.349,6272109.059,6481318.655,1191839.04,96357052.72,4046635.673,3202014.806,100564389.4,16576780.53,557257.0004,14662.92995,648177.6437,3203704.921,254242.5066,492257.6895,110937.0154,30199.03447
3,glc6 21% 1 c,1204972.447,107708.9224,171470.3266,43904.49471,29922.3954,46775.86195,2029253.336,185978.672,555011.5049,127482.37,113594.7292,76422.6331,2492372.88,10976.73795,11097.30851,409916.4078,107311454.1,9934901.343,22190282.32,24597164.98,3967226.277,27512317.06,4122385.106,33444729.87,9318741.675,7059727.448,6689468.393,946489.9868,251467495.1,24881907.04,69510545.51,16793621.77,13104063.76,6907233.973,136358956.6,8906125.975,888022.0804,117231.7116,95386.97588,66641.89275,1511675673,55695993.41,15217694.68,481628689.6,22416026.59,2050941.921,4472709.832,4591767.265,773610.2669,100108713.5,4157090.846,2540450.569,80842753.23,16565093.82,536171.3506,3311.142585,558337.5026,2894669.879,212361.3454,375251.7835,75035.68384,0
4,glc6 21% 2 a,6048426.621,469300.658,1444350.293,319333.3581,430572.4279,299098.3523,4748965.603,364994.5163,1144106.197,255245.8775,351947.3845,243087.5099,5606109.293,174072.3795,86151.7809,2380309.357,153499705.9,11962060.52,34772720.74,58655442.59,10938027.72,24649384.25,3738122.367,58644041.05,11892424.93,14520463,22002837.89,3743144.346,468718539.1,37319343.53,116505481.4,25492059.89,35873434.31,23604291.01,282293074,18647362.8,2244366.408,380565.548,514654.8058,274201.0143,1506582840,56964064.67,72090239.18,2266656220,47162279.9,3512808.644,9921048.773,16300934.67,3035130.136,64254436.28,2977017.974,6506758.611,198429677.6,30898207.17,1133072.124,112921.258,1315242.921,4828461.195,309775.6828,827537.6867,185200.7478,210421.9233
5,glc6 21% 2 b,4751799.645,387596.5074,1164443.326,268791.4925,334698.3796,253302.1733,4056922.97,313039.8262,984130.3208,223110.9286,307908.485,212723.6592,4435692.383,130573.7443,58602.9904,1599700.359,128630918.8,10209150.11,30371909.6,49092710.47,9547270.929,21397919.17,3461658.082,54580085.61,11622927.41,13596426.45,20038714.82,3414214.49,399889629.7,32133959.79,103197720.9,23828181.42,31351627.53,20489159.97,212745199.6,14013475.83,1819444.648,320189.911,400888.8974,259896.7409,1658350095,62407487.77,57697270.36,1845790851,35497169.36,2731258.002,7756822.016,12463974.09,2397392.861,66253676.93,2976926.995,6124514.964,190713811.9,23340314.31,900216.8078,110956.2055,984532.3727,3815554.92,257518.2202,706345.0755,154607.6568,158795.2781
6,glc6 21% 2 c,6044961.365,479601.9489,1507994.768,322452.5176,441414.3873,283814.8791,4685086.465,362456.8196,1107599.371,237622.2722,335316.5591,241708.0303,5352374.567,227714.9869,82079.37942,2327000.376,148871035.6,11326247.03,34132694.55,57612689.37,10655244.44,23287369.96,3732248.694,61133196.63,12364623.96,15072836.45,23172200.12,3873146.687,457466002.7,36195343.08,113512959.2,24870470.93,34706109.77,22707075.31,273622039.5,17758150.09,2132518.002,364237.5065,580174.1195,340603.8207,2136013700,79983873.03,83042637.26,2625443368,41035106.25,3071614.01,8924803.264,14777565.19,2664358.832,67885375.94,3085849.444,7193660.156,219168111.2,28972953.25,1110879.821,96082.64625,1226029.875,4453256.531,325439.3895,793682.6042,184172.7278,189629.7541
7,glc6 21% 3 a,23928251.2,1737256.286,3629832.97,651647.0922,1189043.618,885842.426,10772338.19,759359.7739,1494550.569,259410.0306,520501.7806,414505.8905,7591167.046,253399.2687,250977.1473,7119916.947,143171531.3,8965602.5,20202919.21,74375909.03,6938206.195,22601628.82,2919418.086,44324038.53,7790021.107,8600327.95,23379609.53,2578626.737,674018774.7,47533000.25,97440403.79,17397502.82,31221780.9,24018498.13,325994000,21025196.81,1712434.574,193371.0427,373420.7281,192352.5807,1521835373,59516657.76,194886421.7,6104643657,64861917.37,3933188.298,8454645.723,32444079.23,2876855.866,45344731.73,2175312.49,10568644.88,321529252.5,36805674.17,1518683.572,258226.5099,2588901.222,5548830.688,331169.5834,615492.4183,101869.8015,186456.2569
8,glc6 21% 3 b,28422093.91,2041980.941,4518719.796,847703.407,1594640.798,1159213.411,12704322.93,889188.7008,1893127.518,340524.1557,679882.3213,518343.2788,7968942.713,282364.2649,272332.1559,7715424.13,131256804.9,8665882.748,19373423.63,71271585.58,7009693.947,23247029.43,3090184.213,48111069.04,8397664.974,9793923.142,26877282.14,2963487.171,649819634.7,47169443.68,101768195.5,18681870.45,35870285.97,26783674.76,281398807.6,18658250.43,1611481.153,187427.4115,368195.1269,227403.6194,2281844483,88377089.25,214020284.6,6683519454,66768033.58,4181516.841,9561272.236,36578069.83,3315229.205,58346509.99,2754318.525,10987215.78,328101312.5,36346263.7,1519060.088,290934.5307,2746989.107,6010794.275,369658.8579,720318.0533,123829.941,255601.0433
9,glc6 21% 3 c,23138265.24,1686712.155,3444302.607,610427.7108,1163915.029,862680.1697,10748819.04,736100.9561,1458621.971,257250.7139,514766.9631,417043.1431,7934997.671,302765.9382,255989.1583,6857128.205,130215694.1,8227894.448,17698048.96,66164633.21,6354421.166,19814899,2678668.259,42614255.62,7513289.284,8473423.168,23129941.73,2551984.223,578557682.5,41584325.58,83403080.09,15051450.49,28160270.98,20957791.79,291324758.4,18891111.33,1510006.989,172961.314,391475.9116,203485.5265,2497493125,94241618.46,179500539,5562276406,55974273.74,3462078.913,7362644.951,28573804.86,2456242.089,53955407.17,2539310.475,9183965.252,279386924.7,38531840.04,1434006.231,255729.4196,2475315.321,5535532.724,329018.0239,588583.1817,105321.9063,200082.055
10,glc6 0.5% 1 a,943671.1393,82150.21048,85153.29977,27592.39309,18181.23383,34953.81792,944853.4383,80524.99435,294135.3706,82912.14859,70274.57981,65875.62508,2498519.031,6829.740788,10894.23958,295796.9753,50904148.99,3752147.781,7625737.887,17405692.24,1733353.191,22446006.87,2767047.181,18321894.75,8803690.116,3838568.473,5921709.176,538529.2309,111626006.5,11127433.05,39380013.54,11353696.13,8987035.246,5854651.798,105849077.6,6828690.558,477429.9341,71242.66621,54605.02071,33353.5548,1120344160,41523888.83,5415355.976,176154022.7,11191732.83,813514.5619,1519667.077,3112166.729,356883.9972,80398888.14,3347284.135,1172845.328,38262715.23,22550154.04,719843.8578,19228.46597,790409.8113,2666022.138,150112.9467,205589.9941,30963.19442,0
