filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,10454330.59,974716.4084,14565074.89,264439.6239,179551577.4,13736462.82,182958648.1,3959556.573,6986213.454,465780.1933,2936583.108,70260.43566,44182592.28,4083042.646,876745.8248,0,11700.59284,0,98067290.12,10235425.43,19310608.47,2035333.606,3488483.105,190607.4445,5665256.463,326916.5705,259315.3125,0,14227603.09,1373795.559,5481765.958,275307.0023,229289.7976,2537243.69,260820.7791,495441.9079,57566.32436,142666.8607,24491.3032,289059.0233,34807.45699,35288.84365,4378.742502,14039.51001,719792.4877,69750.86041,151303.034,0,36617.53102,0,19027717.28,1724580.711,6911441.396,405863.2068,291529.1226,1545289.915,234733.426,1716010.812,158486.6442,376073.0036,22079.54062,19541.25099
2,glc2 21% 3 b,12204503.58,1044797.565,15885433.44,495683.4268,207112143.3,15692214.38,201200771.1,4286279.2,6139443.808,416091.5933,2592505.341,0,38259455.07,3530759.706,758436.9853,0,8652.542984,0,97527849.87,9977760.653,19668004.56,2096702.083,3782378.953,194752.6574,4849005.152,281110.1345,232761.7656,12837.33435,14387891.19,1370449.752,5516944.309,257709.3528,230180.5306,2815268.591,289605.1503,623120.4204,66424.51912,111379.4488,30380.74046,327763.3782,28247.03285,42814.90573,2654.719996,56271.59378,781081.7025,78838.40358,169834.3371,0,33407.89165,0,19029663.62,1829112.373,7369033.866,436140.3191,362167.415,1767426.818,275896.4732,2044440.033,174054.396,438643.1619,22972.17463,14189.10236
3,glc2 21% 3 c,8955944.415,816451.7823,12586159.44,515199.8704,168593535.3,13036824.98,172899604,3859769.953,6652353.516,448453.1786,2927039.467,54283.274,40092471.83,3722752.492,846099.0537,0,37386.76761,0,95062095.17,10036159.08,18690355.88,1998043.101,3524152.938,165199.1167,5461607.397,321524.9272,279590.3861,11056.22872,14030221.91,1337403.279,5469441.41,261092.3374,207787.6095,2762010.331,282453.0543,622350.3712,64544.36604,163214.989,41536.05825,399924.6233,34699.49891,40053.68815,2187.394257,0,771897.6694,78610.71626,159909.3695,0,61714.08424,0,19501695.41,1756572.399,7280572.574,459805.4284,358161.7641,1630040.239,256661.3646,1898641.083,172408.3009,373085.2225,21569.8823,8480.70304
4,q5 21% 3 a,20444883.1,1115776.442,252230.5362,262686.3747,407695302.4,19454076.74,4122091.505,1798777.718,9193223.458,528537.6241,110024.9076,0,591190.6217,81192.76524,15984.08621,396151.0808,2788745.468,91042045.35,25625347.93,3922016.857,4657686.434,19557119.72,6205540.099,181874960.7,5982240.263,325226.6476,53957.85916,6039.114394,10058115.22,1040772.51,1883615.173,4475394.016,11921429.24,957589.7196,147157.1824,146296.2543,571249.8712,497705.9209,5449422.868,111324.8546,24560.24528,53949.25537,15646.44103,469972.0174,213744.1421,29968.3376,37727.47016,167660.5141,53409.77088,1715329.492,12736261.1,1288090.864,2498601.903,6340429.862,15806566.36,1735431.606,233735.4087,351644.3367,662058.7176,1829337.552,858236.2585,31380.63169
5,q5 21% 3 b,19642188.11,1024221.263,214172.502,241149.8512,378235549,18019071.15,4400463.679,1471244.859,7397963.75,445206.5416,100313.1331,0,506048.768,55653.08745,6475.996199,324164.051,2377776.01,79281957.72,24067896.66,3653064.217,3879875.006,17336575.84,5662695.57,162128514.5,5544799.73,297366.2107,74225.03751,0,9407224.79,997232.4875,1781348.503,3850075.211,11484888.77,816806.4403,125127.4425,144009.5464,502139.1638,533495.2479,4609180.644,118630.443,25612.17191,53543.31654,11898.86821,458231.4473,198849.4971,27999.58882,28975.91939,159001.95,36307.24526,1524645.684,13188349.41,1371878.341,2672813.313,6090809.15,17209300,2111600.096,272905.2784,317862.9431,646879.8778,1917372.986,748118.186,29977.0303
6,q5 21% 3 c,17944609.29,899832.685,262189.2968,257072.3947,300696115.7,14668636.88,4799798.947,1721306.383,8389495.245,509693.7893,122416.9774,70103.90745,750862.8853,85180.96115,30416.83023,380675.9872,2647137.729,86072722.66,24472063.67,3829672.143,4107418.728,18010059.45,5790356.694,169127298.1,5301912.16,277149.0307,62106.31878,0,9088736.383,970876.7172,2058661.269,3980527.442,11050720.71,828114.1718,131097.3773,149940.9025,521617.2404,338277.4249,5053001.893,136681.3231,18683.49669,42441.09685,13147.45589,476784.2061,205775.1658,31122.94401,34952.79525,160726.6258,49869.57279,1597755.74,12920314.58,1362779.899,2646114.145,6299725.204,16484638.8,1709556.894,244653.8084,346390.0548,698765.9953,1891809.202,866191.4236,31184.28737
7,glc2 0.5% 3 a,5865771.53,455043.6679,5885338.464,288800.7299,100051385.8,6208794.956,65954430.05,1124578.508,3423622.238,216724.3407,765245.4037,0,29727177.47,2669995.622,429899.0923,0,6140.712424,0,27663184.13,2903515.769,7379104.598,688024.729,1663875.314,98435.70396,5971862.636,301695.5825,236715.4385,20407.35807,5708818.85,514130.1664,2717688.838,108161.7145,99245.72289,829704.1952,85007.84602,193375.0758,20743.88499,46784.6471,17898.99699,198782.399,17051.89661,29515.85774,1819.853451,0,218981.5177,20714.8685,55775.99644,0,12245.71876,0,5179726.596,436627.5639,2291955.881,99187.80434,103089.6401,1124542.275,155955.5354,1279567.541,100882.9322,315784.3676,20509.7284,19111.73367
8,glc2 0.5% 3 b,5443484.426,403251.0213,4816225.093,367208.5488,172974896.4,9702682.509,73492589.38,1098171.292,3961027.408,243975.1811,749525.0218,0,30186923.98,2790995.203,540149.7667,0,14674.38649,0,29042045.76,3192189.506,9186077.733,943339.1198,2114184.479,163212.1993,6603507.183,347348.5922,259838.7653,0,6118422.729,569900.6701,2881609.515,110333.2772,137208.2171,828219.8775,91638.59847,267977.1808,24257.97374,66379.1613,15823.51378,229532.2434,20955.43382,49779.687,4362.638275,0,240605.5206,25604.4947,79629.94439,0,18805.16123,5174.6551,5464908.881,493078.7877,2522879.735,120582.1508,135613.0287,1705506.52,245484.9791,2046973.096,156880.9883,514031.1227,21305.19211,12799.99429
9,glc2 0.5% 3 c,4783508.697,346243.1994,4790983.044,251346.5605,114191872.1,7123764.591,72762956.36,1276498.909,3979172.389,259962.4383,874388.4113,0,36750534.89,3364692.646,715020.1786,0,21950.95961,0,31707075.66,3661451.499,10652374.58,1164806.763,2481094.813,166221.074,6470890.606,354279.5897,274098.8394,0,6545326.159,616658.9002,3200159.503,108541.0351,158188.7102,812926.553,88858.05658,273368.1189,33373.3664,104331.9226,26477.87567,246976.208,17223.83497,57670.66353,5757.240041,0,237810.6909,25232.37452,87609.14173,0,22030.91908,0,5532636.325,499145.8086,2573302.311,135159.4185,153874.0848,1768576.109,255290.5673,2177469.603,185055.0612,541128.9189,25487.29484,16557.20961
10,q5 0.5% 3 a,7654692.762,404424.1904,76608.07385,132537.1103,162033052.7,7670217.481,1717393.878,53622.23384,4485090.563,250215.3634,56216.27713,0,399257.8398,26463.60475,0,132414.1446,2217289.65,73544034.87,14532892.05,1616356.992,1092444.171,4599189.964,1814070.198,53711984.96,6633731.593,309769.9237,65726.53004,0,6325096.151,477317.2352,460790.4343,826021.0191,2911400.541,490262.7603,57278.80844,42804.98498,144351.3041,71445.37052,1406012.697,100938.5805,12441.03067,20368.12506,7812.791689,280432.2586,115752.1011,10556.93268,6928.685652,45704.89359,12226.21053,481995.3188,5698066.244,413757.5379,411728.3984,884011.0509,2846457.419,2039436.9,217094.2626,133782.1571,336184.9399,828497.4751,499500.2325,3798.779336
11,q5 0.5% 3 b,7923946.378,388666.2805,76317.35639,145502.7317,132625651.5,6242931.363,1564311.188,23013.6971,3617071.435,216479.2558,45888.49469,0,437897.9736,26718.34764,0,172719.7156,2007257.534,66607699.58,14907495.15,1713021.094,1260771.82,5309714.437,1647051.113,48317824.67,5697705.984,284100.0725,64491.4647,0,5829630.567,472093.3643,537463.3607,595114.8421,2811134.46,495855.1983,57315.24006,33340.42933,158411.8381,63833.59228,1172733.196,115564.6153,16003.24295,26539.16239,5744.765572,237780.5379,122029.6077,13084.51655,7216.207646,52289.71185,13107.30317,461881.0103,5290472.431,429004.3155,487081.9463,636584.0541,2846055.471,2388112.828,254840.1008,183857.0024,366681.5769,1045124.317,490681.876,10364.25057
12,q5 0.5% 3 c,6965772.651,381597.4331,67879.36873,138020.1666,172758063.4,8170585.085,1682113.856,28090.81667,4671220.68,275785.7898,71669.1719,0,544570.5376,35544.67965,0,181131.1847,2151008.593,70756975.84,15046414.5,1779379.89,1337688.514,5732416.623,1603964.993,47012585.27,6997994.261,338884.6761,69337.79581,10211.34647,6328807.148,515235.2751,640990.5991,648516.1297,3096093.497,466077.7392,58189.11726,21818.33565,149134.7504,44254.08951,1152422.477,198123.2811,17416.95224,38092.69412,8904.737519,291580.536,115725.9566,12639.94869,6111.913782,49847.33174,10005.51411,429421.5743,5557701.113,456137.2852,533033.6239,642613.2064,2976942.053,2215543.582,241707.8461,180429.1225,308404.1194,959197.2628,441792.2498,6489.410418
