metabolite,coefficient
AcCoA.c,1215.6643333333009
ALA,295.55555555554764
ASP.c,232.40518518517896
CO2,114.72481481481175
CYS,71.425925925924
DHAP,57.14074074073922
G6P,142.35925925925548
GLN,158.6148148148106
GLU,190.14074074073565
GLY,324.17518518517653
MEETHF,125.61111111110776
P5P,114.72481481481175
SER,217.23333333332752
