Pathway,NES
Pentose and glucuronate interconversions,1.719441929269635
Glycerolipid metabolism,1.6834513164918368
Glycolysis / Gluconeogenesis,1.618086523793116
Primary bile acid biosynthesis,-1.4363781152274584
cAMP signaling pathway,-1.4875773622703186
beta-Alanine metabolism,-1.4998078776920585
Aminoacyl-tRNA biosynthesis,-1.506304761517685
Protein digestion and absorption,-1.5819495034220814
Taste transduction,-1.6955883248450527
Neuroactive ligand-receptor interaction,-1.945631864919303
